tipo_celular,module_size,CLIP2_MM,CLIP2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,185,0.152,30.0,98,4,4.08,1.12 (0.60-1.64),94,95.92,3.34 (2.86-3.82)
T cells 18,349,0.193,53.0,68,11,16.18,4.07 (2.74-5.40),57,83.82,4.41 (3.80-5.02)
astrocytes 5,932,0.174,98.0,80,1,1.25,4.57 (NA-NA),79,98.75,3.66 (3.24-4.07)
oligodendrocyte progenitor cells 7,4285,0.075,2.0,353,17,4.82,1.24 (0.73-1.75),336,95.18,4.07 (3.89-4.24)
GABA neurons expressing GLU receptors 22,192,0.169,70.0,55,0,0.0,NA,55,100.0,4.03 (3.61-4.44)
GLU like neurons 17,1247,0.216,88.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20)
da like neurons 11,109,0.308,78.0,1,0,0.0,NA,1,100.0,1.71 (NA-NA)
GABA neurons expressing GABA receptors 13,288,0.15,41.0,93,4,4.3,2.91 (1.25-4.58),89,95.7,5.24 (4.74-5.75)
endothelial cells 9,450,0.152,31.0,74,8,10.81,4.19 (2.93-5.46),66,89.19,5.61 (5.02-6.19)
oligodendrocytes 20,279,0.134,21.0,16,1,6.25,4.17 (NA-NA),15,93.75,2.26 (1.50-3.01)
GABA like neurons 14,1300,0.356,97.0,306,10,3.27,2.80 (1.56-4.04),296,96.73,5.18 (4.92-5.45)
astrocytes 8,283,0.143,53.0,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,3303,0.144,98.0,276,7,2.54,1.74 (0.75-2.73),269,97.46,3.60 (3.39-3.82)
oligodendrocytes 10,1277,0.115,55.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,96,0.206,6.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1401,0.18,94.0,96,9,9.38,3.71 (2.73-4.69),87,90.62,3.60 (3.11-4.09)
oligodendrocytes 16,82,0.165,20.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,307,0.127,57.0,95,0,0.0,NA,95,100.0,4.85 (4.41-5.28)
astrocytes microglia 23,255,0.153,2.0,57,1,1.75,NA,56,98.25,2.65 (2.29-3.01)
astrocytes 4,161,0.134,20.0,45,0,0.0,NA,45,100.0,5.28 (4.66-5.91)
oligodendrocytes 0,1186,0.103,5.0,300,0,0.0,NA,300,100.0,3.79 (3.59-4.00)
microglia 1,958,0.13,76.0,290,5,1.72,2.14 (1.18-3.10),285,98.28,3.85 (3.62-4.08)
oligodendrocytes 3,357,0.249,95.0,127,3,2.36,6.67 (NA-NA),124,97.64,3.08 (2.76-3.41)
oligodendrocytes 2,407,0.279,100.0,122,10,8.2,0.89 (0.51-1.27),112,91.8,3.61 (3.23-4.00)
