tipo_celular,module_size,THRAP3_MM,THRAP3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,352,0.217,70.0,73,0,0.0,NA,73,100.0,3.56 (3.22-3.91)
T cells 18,518,0.162,57.0,131,8,6.11,3.23 (2.87-3.58),123,93.89,3.06 (2.77-3.36)
astrocytes 5,1141,0.111,23.0,166,55,33.13,2.94 (2.54-3.35),111,66.87,3.66 (3.35-3.97)
oligodendrocyte progenitor cells 7,4285,0.136,52.0,353,84,23.8,2.83 (2.49-3.17),269,76.2,4.33 (4.14-4.53)
GABA neurons expressing GLU receptors 22,714,0.185,52.0,17,5,29.41,2.70 (2.17-3.23),12,70.59,2.15 (1.35-2.94)
GLU like neurons 17,229,0.19,45.0,22,1,4.55,3.78 (NA-NA),21,95.45,2.46 (1.83-3.09)
da like neurons 11,200,0.143,31.0,8,0,0.0,NA,8,100.0,NA
GABA neurons expressing GABA receptors 13,80,0.13,17.0,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653,0.053,2.0,297,4,1.35,5.66 (4.85-6.48),293,98.65,3.65 (3.44-3.85)
oligodendrocytes 20,279,0.172,36.0,16,0,0.0,NA,16,100.0,2.38 (1.63-3.13)
GABA like neurons 14,2090,0.108,18.0,74,21,28.38,2.50 (2.06-2.93),53,71.62,3.09 (2.61-3.56)
astrocytes 8,577,0.031,3.0,83,9,10.84,3.54 (1.03-6.04),74,89.16,3.23 (2.78-3.68)
oligodendrocyte progenitor cells 12,3303,0.055,21.0,276,60,21.74,2.59 (2.24-2.93),216,78.26,3.91 (3.66-4.15)
oligodendrocytes 10,483,0.096,40.0,129,3,2.33,5.27 (2.99-7.55),126,97.67,3.37 (2.98-3.76)
connective tissue cells 21,91,0.307,64.0,4,0,0.0,NA,4,100.0,0.35 (0.26-0.44)
astrocytes 15,1768,0.102,65.0,105,41,39.05,2.87 (2.34-3.40),64,60.95,3.44 (3.02-3.87)
oligodendrocytes 16,113,0.162,17.0,10,1,10.0,1.82 (NA-NA),9,90.0,3.06 (2.20-3.93)
da neurons 6,448,0.076,18.0,43,6,13.95,3.88 (3.69-4.07),37,86.05,3.16 (2.54-3.78)
astrocytes microglia 23,125,0.234,9.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,787,0.159,65.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36)
oligodendrocytes 0,1186,0.111,10.0,300,15,5.0,4.37 (3.51-5.23),285,95.0,3.76 (3.55-3.97)
microglia 1,958,0.088,16.0,290,36,12.41,4.28 (3.60-4.95),254,87.59,3.74 (3.50-3.98)
oligodendrocytes 3,357,0.046,7.0,127,10,7.87,3.46 (2.48-4.44),117,92.13,3.09 (2.74-3.44)
oligodendrocytes 2,921,0.118,20.0,200,27,13.5,4.63 (4.01-5.26),173,86.5,3.46 (3.17-3.74)
