tipo_celular,module_size,SENP5_MM,SENP5_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,184,0.165,23.0,21,9,42.86,1.13 (0.54-1.72),12,57.14,3.26 (2.67-3.85)
T cells 18,349,0.102,18.0,68,0,0.0,NA,68,100.0,4.37 (3.81-4.93)
astrocytes 5,1141,0.087,5.0,166,19,11.45,2.27 (1.66-2.88),147,88.55,3.57 (3.31-3.83)
oligodendrocyte progenitor cells 7,4285,0.119,26.0,353,26,7.37,1.94 (1.41-2.48),327,92.63,4.09 (3.90-4.27)
GABA neurons expressing GLU receptors 22,400,0.258,81.0,24,6,25.0,0.68 (0.17-1.19),18,75.0,2.65 (2.17-3.12)
GLU like neurons 17,1247,0.031,1.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20)
da like neurons 11,289,0.085,7.0,6,2,33.33,NA,4,66.67,2.89 (2.54-3.24)
GABA neurons expressing GABA receptors 13,90,0.127,26.0,4,0,0.0,NA,4,100.0,5.34 (2.61-8.07)
endothelial cells 9,1653,0.118,43.0,297,6,2.02,3.74 (3.01-4.48),291,97.98,3.67 (3.46-3.88)
oligodendrocytes 20,348,0.146,54.0,33,3,9.09,3.12 (2.99-3.24),30,90.91,2.69 (2.15-3.23)
GABA like neurons 14,2090,0.18,68.0,74,1,1.35,2.53 (NA-NA),73,98.65,2.95 (2.57-3.33)
astrocytes 8,354,0.117,47.0,8,2,25.0,NA,6,75.0,0.78 (0.08-1.47)
oligodendrocyte progenitor cells 12,3303,0.088,62.0,276,21,7.61,2.62 (1.99-3.25),255,92.39,3.64 (3.41-3.87)
oligodendrocytes 10,2107,0.116,37.0,358,27,7.54,2.11 (1.50-2.71),331,92.46,4.05 (3.86-4.24)
connective tissue cells 21,91,0.271,39.0,4,0,0.0,NA,4,100.0,0.35 (0.26-0.44)
astrocytes 15,1401,0.108,70.0,96,0,0.0,NA,96,100.0,3.61 (3.16-4.06)
oligodendrocytes 16,74,0.167,32.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,553,0.116,41.0,124,5,4.03,3.18 (1.69-4.66),119,95.97,4.24 (3.84-4.65)
astrocytes microglia 23,42,0.416,88.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,721,0.152,51.0,61,0,0.0,NA,61,100.0,2.97 (2.55-3.38)
oligodendrocytes 0,1186,0.109,9.0,300,0,0.0,NA,300,100.0,3.79 (3.59-4.00)
microglia 1,958,0.103,36.0,290,2,0.69,2.84 (1.12-4.56),288,99.31,3.82 (3.59-4.05)
oligodendrocytes 3,639,0.095,49.0,15,5,33.33,1.36 (0.13-2.59),10,66.67,4.54 (2.94-6.13)
oligodendrocytes 2,407,0.106,6.0,122,15,12.3,1.41 (0.87-1.96),107,87.7,3.69 (3.28-4.09)
