tipo_celular,module_size,NBEA_MM,NBEA_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,249,0.14,42.0,35,0,0.0,NA,35,100.0,3.74 (2.80-4.69)
T cells 18,610,0.178,69.0,98,14,14.29,1.71 (0.90-2.51),84,85.71,3.36 (3.05-3.68)
astrocytes 5,156,0.14,46.0,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,436,0.104,31.0,219,0,0.0,NA,219,100.0,5.21 (4.92-5.50)
GABA neurons expressing GLU receptors 22,714,0.217,68.0,17,0,0.0,NA,17,100.0,2.31 (1.72-2.89)
GLU like neurons 17,795,0.365,97.0,80,2,2.5,2.53 (2.34-2.73),78,97.5,5.80 (5.40-6.19)
da like neurons 11,191,0.333,62.0,93,3,3.23,2.12 (1.30-2.94),90,96.77,5.81 (5.43-6.18)
GABA neurons expressing GABA receptors 13,200,0.178,68.0,34,0,0.0,NA,34,100.0,3.89 (3.01-4.76)
endothelial cells 9,1653,0.203,90.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88)
oligodendrocytes 20,330,0.251,77.0,36,0,0.0,NA,36,100.0,1.92 (1.57-2.27)
GABA like neurons 14,1300,0.267,77.0,306,10,3.27,2.21 (1.55-2.87),296,96.73,5.22 (4.96-5.48)
astrocytes 8,218,0.241,89.0,9,0,0.0,NA,9,100.0,2.12 (1.21-3.03)
oligodendrocyte progenitor cells 12,411,0.267,68.0,103,0,0.0,NA,103,100.0,5.55 (5.16-5.93)
oligodendrocytes 10,1277,0.082,32.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,114,0.209,25.0,19,0,0.0,NA,19,100.0,4.90 (4.18-5.61)
astrocytes 15,261,0.101,22.0,8,4,50.0,1.87 (0.12-3.62),4,50.0,6.09 (4.30-7.88)
oligodendrocytes 16,149,0.174,40.0,70,0,0.0,NA,70,100.0,5.65 (5.18-6.12)
da neurons 6,553,0.143,60.0,124,2,1.61,0.40 (NA-NA),122,98.39,4.23 (3.84-4.61)
astrocytes microglia 23,255,0.288,72.0,57,1,1.75,2.54 (NA-NA),56,98.25,2.65 (2.29-3.02)
astrocytes 4,752,0.15,45.0,96,0,0.0,NA,96,100.0,3.29 (2.96-3.62)
oligodendrocytes 0,1186,0.193,98.0,300,2,0.67,5.21 (5.21-5.21),298,99.33,3.78 (3.57-3.99)
microglia 1,1615,0.154,91.0,161,13,8.07,1.26 (0.56-1.96),148,91.93,3.47 (3.21-3.74)
oligodendrocytes 3,681,0.165,90.0,87,6,6.9,1.42 (0.26-2.58),81,93.1,2.66 (2.39-2.93)
oligodendrocytes 2,921,0.152,75.0,200,2,1.0,2.12 (1.88-2.35),198,99.0,3.64 (3.37-3.91)
