tipo_celular,module_size,DHX15_MM,DHX15_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,181,0.133,11.0,8,0,0.0,NA,8,100.0,1.27 (0.48-2.07)
T cells 18,477,0.164,52.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53)
astrocytes 5,1656,0.145,91.0,136,11,8.09,2.52 (1.67-3.37),125,91.91,3.28 (2.99-3.56)
oligodendrocyte progenitor cells 7,4285,0.136,51.0,353,47,13.31,2.17 (1.72-2.63),306,86.69,4.21 (4.04-4.39)
GABA neurons expressing GLU receptors 22,599,0.135,14.0,22,1,4.55,0.94 (NA-NA),21,95.45,2.31 (1.48-3.13)
GLU like neurons 17,637,0.157,50.0,91,7,7.69,0.61 (0.16-1.06),84,92.31,4.99 (4.54-5.45)
da like neurons 11,153,0.122,18.0,2,0,0.0,NA,2,100.0,5.80 (NA-NA)
GABA neurons expressing GABA receptors 13,73,0.284,96.0,16,4,25.0,3.51 (2.93-4.09),12,75.0,1.75 (0.59-2.92)
endothelial cells 9,385,0.083,25.0,275,49,17.82,2.18 (1.75-2.60),226,82.18,4.49 (4.23-4.75)
oligodendrocytes 20,298,0.199,70.0,6,0,0.0,NA,6,100.0,0.26 (NA-NA)
GABA like neurons 14,3052,0.224,97.0,125,1,0.8,5.16 (NA-NA),124,99.2,3.33 (3.01-3.66)
astrocytes 8,727,0.105,48.0,29,1,3.45,1.82 (NA-NA),28,96.55,2.39 (1.88-2.90)
oligodendrocyte progenitor cells 12,3303,0.077,48.0,276,34,12.32,1.99 (1.62-2.35),242,87.68,3.82 (3.60-4.05)
oligodendrocytes 10,2107,0.197,68.0,358,50,13.97,2.01 (1.65-2.36),308,86.03,4.27 (4.09-4.45)
connective tissue cells 21,106,0.221,19.0,4,0,0.0,NA,4,100.0,4.98 (4.91-5.06)
astrocytes 15,338,0.17,64.0,14,1,7.14,4.40 (NA-NA),13,92.86,1.55 (0.90-2.20)
oligodendrocytes 16,113,0.279,95.0,11,0,0.0,NA,11,100.0,1.74 (0.78-2.71)
da neurons 6,518,0.108,49.0,122,11,9.02,1.74 (0.85-2.63),111,90.98,4.26 (3.87-4.65)
astrocytes microglia 23,132,0.319,49.0,1,0,0.0,NA,1,100.0,NA
astrocytes 4,787,0.172,84.0,65,1,1.54,5.16 (NA-NA),64,98.46,2.92 (2.53-3.31)
oligodendrocytes 0,1186,0.171,87.0,300,6,2.0,3.50 (3.01-3.98),294,98.0,3.80 (3.59-4.01)
microglia 1,813,0.132,67.0,79,2,2.53,5.16 (5.16-5.16),77,97.47,3.04 (2.64-3.45)
oligodendrocytes 3,743,0.093,64.0,76,1,1.32,2.44 (NA-NA),75,98.68,3.17 (2.77-3.57)
oligodendrocytes 2,804,0.128,22.0,84,5,5.95,1.23 (0.42-2.04),79,94.05,2.81 (2.46-3.15)
