tipo_celular,module_size,PPP2R2B_MM,PPP2R2B_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,305,0.724,99.0,15,0,0.0,NA,15,100.0,5.79 (5.09-6.49)
T cells 18,349,0.233,66.0,68,0,0.0,NA,68,100.0,4.37 (3.81-4.93)
astrocytes 5,156,0.34,97.0,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,229,0.156,32.0,45,0,0.0,NA,45,100.0,5.01 (4.39-5.62)
GABA neurons expressing GLU receptors 22,567,0.275,77.0,16,1,6.25,1.95 (NA-NA),15,93.75,1.97 (1.25-2.70)
GLU like neurons 17,637,0.309,83.0,91,9,9.89,1.34 (0.47-2.22),82,90.11,5.03 (4.56-5.51)
da like neurons 11,108,0.432,96.0,5,0,0.0,NA,5,100.0,4.24 (3.33-5.15)
GABA neurons expressing GABA receptors 13,288,0.458,95.0,93,2,2.15,3.12 (2.26-3.98),91,97.85,5.21 (4.70-5.71)
endothelial cells 9,450,0.731,98.0,74,0,0.0,NA,74,100.0,5.46 (4.91-6.02)
oligodendrocytes 20,676,0.468,76.0,110,0,0.0,NA,110,100.0,4.99 (4.54-5.44)
GABA like neurons 14,1300,0.23,61.0,306,5,1.63,2.60 (1.73-3.47),301,98.37,5.15 (4.89-5.42)
astrocytes 8,1266,0.112,73.0,66,7,10.61,1.41 (0.33-2.50),59,89.39,3.48 (3.07-3.89)
oligodendrocyte progenitor cells 12,708,0.463,96.0,32,8,25.0,1.28 (0.39-2.17),24,75.0,4.03 (3.17-4.90)
oligodendrocytes 10,204,0.585,94.0,92,0,0.0,NA,92,100.0,5.70 (5.23-6.17)
connective tissue cells 21,250,0.707,93.0,117,3,2.56,2.51 (1.22-3.80),114,97.44,5.48 (5.09-5.87)
astrocytes 15,208,0.151,50.0,4,1,25.0,3.56 (NA-NA),3,75.0,2.90 (-0.92-6.72)
oligodendrocytes 16,75,0.136,13.0,1,0,0.0,NA,1,100.0,NA
da neurons 6,398,0.455,96.0,138,4,2.9,1.97 (0.19-3.75),134,97.1,4.93 (4.56-5.29)
astrocytes microglia 23,141,0.463,98.0,30,0,0.0,NA,30,100.0,5.66 (4.78-6.55)
astrocytes 4,161,0.397,99.0,45,0,0.0,NA,45,100.0,5.28 (4.66-5.91)
oligodendrocytes 0,479,0.429,100.0,40,0,0.0,NA,40,100.0,5.86 (5.35-6.38)
microglia 1,127,0.64,98.0,24,0,0.0,NA,24,100.0,5.17 (4.46-5.87)
oligodendrocytes 3,639,0.345,100.0,15,4,26.67,0.50 (0.20-0.80),11,73.33,4.56 (3.30-5.82)
oligodendrocytes 2,237,0.52,100.0,26,0,0.0,NA,26,100.0,5.22 (4.28-6.15)
