tipo_celular,module_size,TRPC4AP_MM,TRPC4AP_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,360,0.2,56.0,102,17,16.67,2.88 (2.32-3.45),85,83.33,3.62 (3.20-4.04)
T cells 18,518,0.206,78.0,131,1,0.76,3.50 (NA-NA),130,99.24,3.07 (2.79-3.35)
astrocytes 5,1141,0.084,4.0,166,23,13.86,3.15 (2.55-3.75),143,86.14,3.44 (3.16-3.72)
oligodendrocyte progenitor cells 7,4285,0.142,60.0,353,33,9.35,3.02 (2.53-3.51),320,90.65,4.01 (3.81-4.20)
GABA neurons expressing GLU receptors 22,400,0.151,24.0,24,5,20.83,2.33 (1.33-3.33),19,79.17,2.11 (1.51-2.71)
GLU like neurons 17,1316,0.105,34.0,101,3,2.97,3.90 (2.95-4.85),98,97.03,3.02 (2.66-3.38)
da like neurons 11,853,0.22,88.0,133,6,4.51,1.75 (0.48-3.03),127,95.49,3.34 (3.02-3.65)
GABA neurons expressing GABA receptors 13,265,0.05,0.0,78,6,7.69,3.07 (2.16-3.98),72,92.31,4.50 (4.07-4.94)
endothelial cells 9,1653,0.2,89.0,297,6,2.02,4.56 (3.96-5.16),291,97.98,3.65 (3.44-3.86)
oligodendrocytes 20,295,0.155,36.0,28,2,7.14,3.78 (3.78-3.78),26,92.86,2.06 (1.60-2.52)
GABA like neurons 14,2090,0.116,23.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32)
astrocytes 8,771,0.087,35.0,48,0,0.0,NA,48,100.0,4.43 (3.68-5.18)
oligodendrocyte progenitor cells 12,708,0.131,58.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99)
oligodendrocytes 10,2107,0.183,63.0,358,33,9.22,3.14 (2.62-3.66),325,90.78,3.96 (3.75-4.16)
connective tissue cells 21,103,0.274,50.0,2,0,0.0,NA,2,100.0,3.59 (3.46-3.72)
astrocytes 15,443,0.128,33.0,9,6,66.67,4.28 (3.35-5.21),3,33.33,1.58 (-0.37-3.52)
oligodendrocytes 16,82,0.152,23.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,300,0.08,8.0,159,1,0.63,3.76 (NA-NA),158,99.37,4.37 (4.06-4.68)
astrocytes microglia 23,89,0.237,22.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,721,0.146,39.0,61,7,11.48,4.13 (3.90-4.36),54,88.52,2.80 (2.35-3.25)
oligodendrocytes 0,479,0.153,52.0,40,0,0.0,NA,40,100.0,5.86 (5.35-6.38)
microglia 1,958,0.128,74.0,290,7,2.41,3.01 (2.31-3.72),283,97.59,3.84 (3.60-4.07)
oligodendrocytes 3,639,0.169,87.0,15,0,0.0,NA,15,100.0,3.31 (1.95-4.68)
oligodendrocytes 2,407,0.178,71.0,122,8,6.56,2.13 (1.21-3.05),114,93.44,3.44 (3.03-3.85)
