tipo_celular,module_size,HIPK2_MM,HIPK2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,352,0.381,99.0,73,14,19.18,4.04 (3.75-4.32),59,80.82,3.42 (2.99-3.85)
T cells 18,393,0.395,95.0,59,2,3.39,3.21 (2.29-4.12),57,96.61,3.10 (2.58-3.62)
astrocytes 5,932,0.134,81.0,80,3,3.75,3.48 (3.47-3.49),77,96.25,3.68 (3.26-4.10)
oligodendrocyte progenitor cells 7,436,0.093,25.0,219,13,5.94,3.84 (3.19-4.50),206,94.06,5.33 (5.03-5.63)
GABA neurons expressing GLU receptors 22,599,0.193,41.0,22,2,9.09,2.36 (-0.42-5.14),20,90.91,2.23 (1.38-3.08)
GLU like neurons 17,637,0.28,79.0,91,17,18.68,1.90 (1.18-2.63),74,81.32,5.43 (5.00-5.86)
da like neurons 11,408,0.307,74.0,25,9,36.0,1.42 (0.83-2.00),16,64.0,6.74 (5.82-7.67)
GABA neurons expressing GABA receptors 13,288,0.27,80.0,93,14,15.05,3.06 (2.23-3.89),79,84.95,5.66 (5.16-6.16)
endothelial cells 9,303,0.317,81.0,54,2,3.7,4.66 (3.53-5.79),52,96.3,4.85 (4.19-5.51)
oligodendrocytes 20,676,0.291,52.0,110,15,13.64,2.86 (2.00-3.73),95,86.36,5.46 (5.02-5.89)
GABA like neurons 14,2090,0.213,84.0,74,18,24.32,2.51 (2.08-2.95),56,75.68,3.08 (2.61-3.56)
astrocytes 8,771,0.225,70.0,48,1,2.08,0.79 (NA-NA),47,97.92,4.53 (3.78-5.27)
oligodendrocyte progenitor cells 12,708,0.343,89.0,32,11,34.38,1.46 (0.70-2.22),21,65.62,4.24 (3.33-5.14)
oligodendrocytes 10,236,0.368,21.0,82,17,20.73,4.42 (3.73-5.11),65,79.27,5.20 (4.55-5.86)
connective tissue cells 21,250,0.393,70.0,117,10,8.55,3.02 (2.45-3.59),107,91.45,5.69 (5.29-6.08)
astrocytes 15,458,0.123,65.0,36,0,0.0,NA,36,100.0,3.77 (2.68-4.85)
oligodendrocytes 16,287,0.307,51.0,105,16,15.24,3.01 (2.12-3.90),89,84.76,5.69 (5.29-6.08)
da neurons 6,398,0.27,83.0,138,40,28.99,3.18 (2.74-3.63),98,71.01,5.64 (5.25-6.04)
astrocytes microglia 23,118,0.108,0.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,514,0.121,11.0,95,8,8.42,2.65 (0.87-4.44),87,91.58,3.45 (3.02-3.87)
oligodendrocytes 0,479,0.122,25.0,40,2,5.0,4.03 (3.36-4.70),38,95.0,5.99 (5.47-6.51)
microglia 1,127,0.137,31.0,24,0,0.0,NA,24,100.0,5.17 (4.46-5.87)
oligodendrocytes 3,99,0.209,39.0,24,1,4.17,5.98 (NA-NA),23,95.83,6.53 (5.80-7.26)
oligodendrocytes 2,348,0.366,91.0,114,13,11.4,3.71 (3.10-4.32),101,88.6,5.36 (4.91-5.80)
