tipo_celular,module_size,CDC42BPB_MM,CDC42BPB_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,305.0,0.138,31.0,15,3,20.0,4.55 (4.27-4.84),12,80.0,6.25 (5.53-6.97)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,932.0,0.107,47.0,80,3,3.75,3.84 (3.13-4.55),77,96.25,3.66 (3.24-4.09)
oligodendrocyte progenitor cells 7,4285.0,0.151,74.0,353,37,10.48,2.25 (1.82-2.68),316,89.52,4.14 (3.95-4.33)
GABA neurons expressing GLU receptors 22,823.0,0.22,76.0,23,7,30.43,3.34 (2.45-4.23),16,69.57,1.80 (0.90-2.69)
GLU like neurons 17,685.0,0.09,21.0,135,19,14.07,1.92 (1.26-2.57),116,85.93,3.38 (3.06-3.70)
da like neurons 11,853.0,0.129,49.0,133,23,17.29,2.65 (1.93-3.37),110,82.71,3.41 (3.07-3.75)
GABA neurons expressing GABA receptors 13,88.0,0.269,98.0,2,0,0.0,NA,2,100.0,NA
endothelial cells 9,412.0,0.097,16.0,141,3,2.13,0.90 (0.75-1.04),138,97.87,3.01 (2.77-3.25)
oligodendrocytes 20,253.0,0.108,26.0,7,0,0.0,NA,7,100.0,0.94 (0.08-1.80)
GABA like neurons 14,2090.0,0.202,80.0,74,2,2.7,2.87 (2.19-3.55),72,97.3,2.94 (2.56-3.33)
astrocytes 8,771.0,0.038,5.0,48,3,6.25,3.96 (0.84-7.08),45,93.75,4.47 (3.68-5.25)
oligodendrocyte progenitor cells 12,3303.0,0.086,60.0,276,31,11.23,2.62 (2.18-3.05),245,88.77,3.70 (3.46-3.93)
oligodendrocytes 10,735.0,0.074,33.0,277,0,0.0,NA,277,100.0,3.89 (3.65-4.14)
connective tissue cells 21,103.0,0.299,59.0,2,0,0.0,NA,2,100.0,3.59 (3.46-3.72)
astrocytes 15,1401.0,0.064,30.0,96,13,13.54,4.19 (3.25-5.14),83,86.46,3.51 (3.01-4.01)
oligodendrocytes 16,81.0,0.2,62.0,1,0,0.0,NA,1,100.0,NA
da neurons 6,553.0,0.116,41.0,124,7,5.65,3.14 (2.07-4.22),117,94.35,4.27 (3.86-4.68)
astrocytes microglia 23,37.0,0.209,6.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,721.0,0.171,84.0,61,3,4.92,2.51 (0.99-4.04),58,95.08,2.99 (2.56-3.42)
oligodendrocytes 0,1186.0,0.148,57.0,300,5,1.67,4.17 (3.91-4.43),295,98.33,3.78 (3.58-3.99)
microglia 1,958.0,0.105,41.0,290,10,3.45,1.82 (1.23-2.42),280,96.55,3.90 (3.67-4.14)
oligodendrocytes 3,1003.0,0.081,34.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64)
oligodendrocytes 2,804.0,0.158,56.0,84,17,20.24,2.79 (2.15-3.43),67,79.76,2.65 (2.26-3.05)
