tipo_celular,module_size,OCIAD1_MM,OCIAD1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,206,0.177,32.0,10,0,0.0,NA,10,100.0,1.83 (0.82-2.85)
T cells 18,624,0.167,62.0,142,0,0.0,NA,142,100.0,3.21 (2.94-3.48)
astrocytes 5,1141,0.124,38.0,166,3,1.81,0.43 (0.21-0.66),163,98.19,3.46 (3.21-3.70)
oligodendrocyte progenitor cells 7,628,0.172,55.0,164,6,3.66,3.29 (2.44-4.15),158,96.34,4.13 (3.79-4.47)
GABA neurons expressing GLU receptors 22,848,0.178,36.0,262,12,4.58,2.69 (1.93-3.44),250,95.42,4.26 (4.01-4.51)
GLU like neurons 17,1316,0.087,17.0,101,1,0.99,3.38 (NA-NA),100,99.01,3.05 (2.69-3.40)
da like neurons 11,1220,0.169,47.0,410,13,3.17,2.84 (2.28-3.39),397,96.83,4.31 (4.12-4.50)
GABA neurons expressing GABA receptors 13,266,0.07,2.0,118,0,0.0,NA,118,100.0,4.74 (4.38-5.09)
endothelial cells 9,338,0.136,52.0,191,6,3.14,3.42 (2.79-4.05),185,96.86,3.90 (3.67-4.13)
oligodendrocytes 20,253,0.085,20.0,7,0,0.0,NA,7,100.0,0.94 (0.08-1.80)
GABA like neurons 14,2402,0.394,79.0,455,16,3.52,2.11 (1.37-2.86),439,96.48,4.46 (4.27-4.64)
astrocytes 8,520,0.121,52.0,288,14,4.86,2.82 (2.27-3.37),274,95.14,4.26 (4.06-4.47)
oligodendrocyte progenitor cells 12,1049,0.059,24.0,235,7,2.98,3.28 (2.56-4.00),228,97.02,3.85 (3.61-4.08)
oligodendrocytes 10,735,0.213,92.0,277,0,0.0,NA,277,100.0,3.89 (3.65-4.14)
connective tissue cells 21,86,0.317,73.0,7,0,0.0,NA,7,100.0,3.20 (2.46-3.95)
astrocytes 15,1768,0.142,89.0,105,4,3.81,1.23 (0.25-2.22),101,96.19,3.30 (2.96-3.63)
oligodendrocytes 16,75,0.243,82.0,1,0,0.0,NA,1,100.0,NA
da neurons 6,409,0.089,25.0,235,2,0.85,4.03 (4.03-4.03),233,99.15,3.97 (3.72-4.23)
astrocytes microglia 23,70,0.22,16.0,76,0,0.0,NA,76,100.0,4.20 (3.69-4.72)
astrocytes 4,721,0.148,44.0,61,1,1.64,5.10 (NA-NA),60,98.36,2.93 (2.52-3.34)
oligodendrocytes 0,613,0.127,34.0,127,0,0.0,NA,127,100.0,3.05 (2.64-3.46)
microglia 1,1615,0.117,61.0,161,11,6.83,1.09 (0.43-1.75),150,93.17,3.47 (3.21-3.73)
oligodendrocytes 3,457,0.079,28.0,345,14,4.06,2.96 (2.49-3.42),331,95.94,4.35 (4.14-4.57)
oligodendrocytes 2,528,0.169,28.0,175,14,8.0,2.90 (2.43-3.36),161,92.0,4.58 (4.21-4.96)
