tipo_celular,module_size,MGAT5_MM,MGAT5_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,500,0.225,76.0,32,3,9.38,2.82 (2.06-3.58),29,90.62,3.84 (2.97-4.70)
T cells 18,388,0.193,70.0,84,1,1.19,3.61 (NA-NA),83,98.81,2.97 (2.63-3.30)
astrocytes 5,322,0.143,36.0,58,15,25.86,3.54 (2.85-4.22),43,74.14,4.45 (3.94-4.96)
oligodendrocyte progenitor cells 7,448,0.126,39.0,108,0,0.0,NA,108,100.0,3.26 (2.82-3.69)
GABA neurons expressing GLU receptors 22,599,0.266,75.0,22,1,4.55,0.94 (NA-NA),21,95.45,2.31 (1.48-3.13)
GLU like neurons 17,795,0.184,72.0,80,0,0.0,NA,80,100.0,5.68 (5.27-6.09)
da like neurons 11,120,0.501,99.0,1,0,0.0,NA,1,100.0,NA
GABA neurons expressing GABA receptors 13,266,0.291,94.0,118,0,0.0,NA,118,100.0,4.74 (4.38-5.09)
endothelial cells 9,658,0.204,51.0,120,28,23.33,3.95 (3.34-4.57),92,76.67,4.84 (4.49-5.20)
oligodendrocytes 20,676,0.461,75.0,110,11,10.0,3.31 (2.15-4.46),99,90.0,5.27 (4.81-5.72)
GABA like neurons 14,1300,0.183,38.0,306,23,7.52,2.94 (2.34-3.54),283,92.48,5.36 (5.10-5.63)
astrocytes 8,771,0.201,67.0,48,1,2.08,0.79 (NA-NA),47,97.92,4.53 (3.78-5.27)
oligodendrocyte progenitor cells 12,138,0.473,56.0,5,0,0.0,NA,5,100.0,4.33 (4.33-4.33)
oligodendrocytes 10,236,0.335,15.0,82,13,15.85,5.07 (4.13-6.00),69,84.15,4.98 (4.37-5.59)
connective tissue cells 21,111,0.289,50.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1401,0.178,94.0,96,2,2.08,1.93 (1.64-2.21),94,97.92,3.66 (3.20-4.11)
oligodendrocytes 16,287,0.326,54.0,105,14,13.33,4.25 (2.92-5.58),91,86.67,5.28 (4.84-5.72)
da neurons 6,398,0.153,52.0,138,23,16.67,2.97 (2.32-3.61),115,83.33,5.28 (4.90-5.66)
astrocytes microglia 23,70,0.233,21.0,76,0,0.0,NA,76,100.0,4.20 (3.69-4.72)
astrocytes 4,752,0.127,15.0,96,0,0.0,NA,96,100.0,3.29 (2.96-3.62)
oligodendrocytes 0,261,0.319,99.0,42,5,11.9,1.31 (0.80-1.82),37,88.1,4.57 (3.92-5.22)
microglia 1,480,0.085,2.0,163,17,10.43,3.75 (3.24-4.25),146,89.57,3.70 (3.41-4.00)
oligodendrocytes 3,116,0.247,26.0,7,2,28.57,0.96 (0.79-1.12),5,71.43,5.55 (4.15-6.96)
oligodendrocytes 2,347,0.325,89.0,15,0,0.0,NA,15,100.0,4.87 (4.10-5.63)
