tipo_celular,module_size,PIAS1_MM,PIAS1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,235,0.109,10.0,140,5,3.57,2.19 (1.84-2.53),135,96.43,4.66 (4.38-4.94)
T cells 18,477,0.151,43.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53)
astrocytes 5,1141,0.147,73.0,166,59,35.54,2.90 (2.55-3.25),107,64.46,3.72 (3.39-4.05)
oligodendrocyte progenitor cells 7,4285,0.189,100.0,353,80,22.66,2.62 (2.33-2.90),273,77.34,4.37 (4.17-4.56)
GABA neurons expressing GLU receptors 22,823,0.163,40.0,23,6,26.09,2.83 (1.90-3.76),17,73.91,2.23 (1.29-3.17)
GLU like neurons 17,1316,0.098,26.0,101,3,2.97,3.19 (2.31-4.07),98,97.03,3.05 (2.68-3.41)
da like neurons 11,204,0.356,98.0,2,0,0.0,NA,2,100.0,1.89 (-1.31-5.09)
GABA neurons expressing GABA receptors 13,93,0.153,50.0,2,0,0.0,NA,2,100.0,NA
endothelial cells 9,1653,0.21,93.0,297,12,4.04,4.08 (3.43-4.72),285,95.96,3.66 (3.45-3.87)
oligodendrocytes 20,275,0.148,30.0,17,0,0.0,NA,17,100.0,1.72 (1.15-2.29)
GABA like neurons 14,1300,0.109,11.0,306,17,5.56,2.33 (1.78-2.88),289,94.44,5.33 (5.07-5.58)
astrocytes 8,771,0.07,25.0,48,1,2.08,0.79 (NA-NA),47,97.92,4.53 (3.78-5.27)
oligodendrocyte progenitor cells 12,3303,0.108,81.0,276,65,23.55,2.61 (2.32-2.89),211,76.45,3.92 (3.66-4.19)
oligodendrocytes 10,2107,0.363,96.0,358,92,25.7,2.65 (2.38-2.93),266,74.3,4.44 (4.24-4.65)
connective tissue cells 21,147,0.386,96.0,4,0,0.0,NA,4,100.0,5.34 (4.88-5.80)
astrocytes 15,367,0.114,32.0,17,0,0.0,NA,17,100.0,2.08 (1.12-3.04)
oligodendrocytes 16,107,0.142,6.0,11,3,27.27,1.55 (0.13-2.97),8,72.73,1.46 (0.64-2.28)
da neurons 6,448,0.112,63.0,43,6,13.95,3.88 (3.69-4.07),37,86.05,3.16 (2.54-3.78)
astrocytes microglia 23,94,0.118,0.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,752,0.194,95.0,96,18,18.75,3.36 (2.71-4.02),78,81.25,3.27 (2.90-3.65)
oligodendrocytes 0,1186,0.188,96.0,300,9,3.0,3.96 (3.39-4.54),291,97.0,3.79 (3.58-4.00)
microglia 1,315,0.051,1.0,144,1,0.69,1.62 (NA-NA),143,99.31,4.48 (4.18-4.79)
oligodendrocytes 3,681,0.131,78.0,87,55,63.22,2.57 (2.25-2.89),32,36.78,2.61 (2.10-3.12)
oligodendrocytes 2,921,0.123,27.0,200,4,2.0,2.26 (0.99-3.53),196,98.0,3.65 (3.38-3.92)
