tipo_celular,module_size,SCARB2_MM,SCARB2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,305,0.164,45.0,15,7,46.67,5.71 (4.80-6.62),8,53.33,5.93 (4.70-7.17)
T cells 18,349,0.162,43.0,68,20,29.41,3.63 (2.74-4.52),48,70.59,4.83 (4.16-5.50)
astrocytes 5,165,0.132,23.0,51,2,3.92,6.69 (3.58-9.81),49,96.08,5.27 (4.59-5.96)
oligodendrocyte progenitor cells 7,628,0.196,67.0,164,26,15.85,4.39 (3.91-4.88),138,84.15,4.00 (3.60-4.39)
GABA neurons expressing GLU receptors 22,567,0.372,88.0,16,4,25.0,2.47 (2.02-2.92),12,75.0,1.77 (0.87-2.68)
GLU like neurons 17,637,0.136,41.0,91,21,23.08,2.32 (1.61-3.04),70,76.92,5.55 (5.10-6.00)
da like neurons 11,153,0.166,27.0,2,0,0.0,NA,2,100.0,5.80 (NA-NA)
GABA neurons expressing GABA receptors 13,357,0.117,25.0,237,21,8.86,4.25 (3.68-4.81),216,91.14,4.43 (4.18-4.68)
endothelial cells 9,450,0.11,16.0,74,14,18.92,5.41 (4.50-6.31),60,81.08,5.49 (4.80-6.18)
oligodendrocytes 20,403,0.068,30.0,18,9,50.0,1.35 (0.37-2.32),9,50.0,2.41 (1.55-3.27)
GABA like neurons 14,2402,0.252,56.0,455,70,15.38,3.34 (2.98-3.70),385,84.62,4.58 (4.38-4.79)
astrocytes 8,771,0.15,55.0,48,4,8.33,5.16 (2.28-8.04),44,91.67,4.35 (3.56-5.13)
oligodendrocyte progenitor cells 12,218,0.238,48.0,1,0,0.0,NA,1,100.0,2.68 (NA-NA)
oligodendrocytes 10,236,0.464,41.0,82,5,6.1,3.61 (2.96-4.26),77,93.9,5.11 (4.56-5.66)
connective tissue cells 21,126,0.273,49.0,7,1,14.29,0.82 (NA-NA),6,85.71,1.64 (0.49-2.79)
astrocytes 15,261,0.172,62.0,8,4,50.0,2.06 (0.06-4.05),4,50.0,5.84 (3.57-8.12)
oligodendrocytes 16,153,0.398,64.0,14,1,7.14,3.79 (NA-NA),13,92.86,4.74 (3.97-5.52)
da neurons 6,518,0.106,47.0,122,51,41.8,3.35 (2.85-3.86),71,58.2,4.58 (4.03-5.13)
astrocytes microglia 23,255,0.317,89.0,57,6,10.53,2.79 (2.19-3.38),51,89.47,2.64 (2.24-3.03)
astrocytes 4,721,0.114,5.0,61,3,4.92,2.86 (0.66-5.06),58,95.08,2.97 (2.55-3.39)
oligodendrocytes 0,261,0.111,12.0,42,11,26.19,2.71 (1.62-3.81),31,73.81,4.77 (4.03-5.50)
microglia 1,346,0.177,65.0,43,14,32.56,4.76 (3.93-5.59),29,67.44,3.23 (2.69-3.77)
oligodendrocytes 3,116,0.267,47.0,7,4,57.14,3.09 (0.52-5.67),3,42.86,6.20 (NA-NA)
oligodendrocytes 2,528,0.176,34.0,175,45,25.71,3.82 (3.45-4.18),130,74.29,4.66 (4.18-5.14)
