tipo_celular,module_size,MDH1_MM,MDH1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,172,0.333,86.0,140,10,7.14,4.75 (3.85-5.65),130,92.86,4.47 (4.01-4.94)
T cells 18,282,0.336,91.0,241,14,5.81,4.49 (3.68-5.30),227,94.19,4.02 (3.76-4.28)
astrocytes 5,228,0.273,83.0,266,26,9.77,2.90 (2.27-3.53),240,90.23,4.25 (4.04-4.47)
oligodendrocyte progenitor cells 7,296,0.37,95.0,251,9,3.59,3.87 (3.70-4.04),242,96.41,4.08 (3.83-4.33)
GABA neurons expressing GLU receptors 22,848,0.394,90.0,262,15,5.73,2.96 (2.02-3.90),247,94.27,4.23 (3.98-4.49)
GLU like neurons 17,1316,0.26,100.0,101,1,0.99,2.53 (NA-NA),100,99.01,3.06 (2.70-3.41)
da like neurons 11,1220,0.475,97.0,410,22,5.37,3.51 (3.13-3.89),388,94.63,4.30 (4.10-4.49)
GABA neurons expressing GABA receptors 13,357,0.225,75.0,237,4,1.69,4.78 (4.78-4.78),233,98.31,4.40 (4.16-4.64)
endothelial cells 9,338,0.384,94.0,191,2,1.05,4.14 (3.31-4.97),189,98.95,3.88 (3.66-4.11)
oligodendrocytes 20,938,0.107,41.0,169,21,12.43,3.20 (2.59-3.80),148,87.57,3.52 (3.28-3.76)
GABA like neurons 14,2402,0.635,97.0,455,27,5.93,2.54 (1.90-3.18),428,94.07,4.48 (4.29-4.66)
astrocytes 8,520,0.412,96.0,288,21,7.29,3.44 (3.00-3.88),267,92.71,4.23 (4.01-4.44)
oligodendrocyte progenitor cells 12,3303,0.144,97.0,276,15,5.43,2.15 (1.45-2.84),261,94.57,3.63 (3.41-3.86)
oligodendrocytes 10,806,0.451,94.0,261,11,4.21,3.60 (3.17-4.02),250,95.79,4.39 (4.14-4.64)
connective tissue cells 21,101,0.488,88.0,116,14,12.07,3.16 (2.51-3.81),102,87.93,4.81 (4.37-5.26)
astrocytes 15,261,0.255,89.0,8,3,37.5,1.39 (-0.70-3.48),5,62.5,5.40 (3.54-7.25)
oligodendrocytes 16,313,0.417,89.0,291,8,2.75,3.52 (2.54-4.51),283,97.25,4.35 (4.12-4.58)
da neurons 6,409,0.422,100.0,235,31,13.19,4.17 (3.56-4.77),204,86.81,3.94 (3.67-4.22)
astrocytes microglia 23,70,0.316,50.0,76,2,2.63,4.43 (4.17-4.69),74,97.37,4.19 (3.65-4.73)
astrocytes 4,157,0.227,67.0,178,25,14.04,2.99 (2.36-3.62),153,85.96,4.36 (4.08-4.65)
oligodendrocytes 0,116,0.191,60.0,169,2,1.18,3.72 (NA-NA),167,98.82,4.28 (3.98-4.58)
microglia 1,214,0.35,89.0,227,22,9.69,3.80 (3.58-4.01),205,90.31,4.12 (3.86-4.39)
oligodendrocytes 3,457,0.325,94.0,345,12,3.48,3.89 (3.51-4.27),333,96.52,4.28 (4.07-4.50)
oligodendrocytes 2,99,0.278,60.0,116,4,3.45,3.46 (3.42-3.50),112,96.55,3.97 (3.66-4.28)
