tipo_celular,module_size,LNPEP_MM,LNPEP_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,211,0.207,75.0,47,2,4.26,3.93 (2.95-4.91),45,95.74,2.51 (2.01-3.01)
T cells 18,393,0.096,9.0,59,6,10.17,3.56 (3.08-4.05),53,89.83,3.05 (2.49-3.61)
astrocytes 5,1141,0.151,76.0,166,23,13.86,2.51 (1.90-3.12),143,86.14,3.56 (3.29-3.83)
oligodendrocyte progenitor cells 7,4285,0.145,65.0,353,37,10.48,2.32 (1.85-2.78),316,89.52,4.13 (3.94-4.31)
GABA neurons expressing GLU receptors 22,714,0.137,23.0,17,3,17.65,2.29 (2.29-2.29),14,82.35,2.31 (1.60-3.03)
GLU like neurons 17,1316,0.171,84.0,101,3,2.97,2.97 (2.48-3.45),98,97.03,3.06 (2.69-3.42)
da like neurons 11,137,0.291,52.0,2,0,0.0,NA,2,100.0,5.16 (NA-NA)
GABA neurons expressing GABA receptors 13,77,0.178,62.0,3,0,0.0,NA,3,100.0,1.59 (0.34-2.85)
endothelial cells 9,1653,0.139,59.0,297,6,2.02,4.16 (3.07-5.25),291,97.98,3.66 (3.46-3.87)
oligodendrocytes 20,275,0.19,45.0,17,0,0.0,NA,17,100.0,1.72 (1.15-2.29)
GABA like neurons 14,3052,0.205,94.0,125,2,1.6,3.00 (NA-NA),123,98.4,3.36 (3.03-3.68)
astrocytes 8,727,0.142,70.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86)
oligodendrocyte progenitor cells 12,3303,0.157,100.0,276,26,9.42,2.57 (2.05-3.09),250,90.58,3.67 (3.44-3.90)
oligodendrocytes 10,2107,0.079,17.0,358,36,10.06,2.14 (1.66-2.61),322,89.94,4.12 (3.93-4.31)
connective tissue cells 21,104,0.217,13.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,338,0.207,83.0,14,0,0.0,NA,14,100.0,1.77 (1.03-2.51)
oligodendrocytes 16,151,0.137,13.0,7,0,0.0,NA,7,100.0,1.31 (0.28-2.35)
da neurons 6,518,0.156,84.0,122,17,13.93,1.97 (1.43-2.52),105,86.07,4.44 (4.04-4.84)
astrocytes microglia 23,255,0.286,71.0,57,7,12.28,4.01 (3.27-4.75),50,87.72,2.44 (2.07-2.80)
astrocytes 4,752,0.162,63.0,96,6,6.25,3.97 (2.98-4.95),90,93.75,3.23 (2.89-3.58)
oligodendrocytes 0,1186,0.15,59.0,300,2,0.67,3.53 (1.59-5.47),298,99.33,3.79 (3.59-4.00)
microglia 1,1615,0.119,64.0,161,28,17.39,2.15 (1.56-2.73),133,82.61,3.56 (3.28-3.84)
oligodendrocytes 3,681,0.1,56.0,87,17,19.54,1.93 (1.43-2.43),70,80.46,2.76 (2.45-3.06)
oligodendrocytes 2,921,0.142,59.0,200,5,2.5,2.79 (1.76-3.83),195,97.5,3.65 (3.38-3.92)
