tipo_celular,module_size,UBR4_MM,UBR4_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,360,0.135,24.0,102,29,28.43,2.51 (2.09-2.93),73,71.57,3.92 (3.47-4.37)
T cells 18,477,0.211,79.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53)
astrocytes 5,1141,0.091,8.0,166,39,23.49,2.46 (2.06-2.86),127,76.51,3.67 (3.39-3.96)
oligodendrocyte progenitor cells 7,4285,0.15,73.0,353,53,15.01,2.28 (1.92-2.64),300,84.99,4.22 (4.03-4.40)
GABA neurons expressing GLU receptors 22,203,0.278,56.0,12,0,0.0,NA,12,100.0,2.44 (0.91-3.97)
GLU like neurons 17,380,0.126,20.0,39,10,25.64,3.48 (2.91-4.06),29,74.36,2.84 (2.18-3.51)
da like neurons 11,200,0.228,64.0,8,2,25.0,NA,6,75.0,NA
GABA neurons expressing GABA receptors 13,88,0.133,33.0,2,0,0.0,NA,2,100.0,NA
endothelial cells 9,1653,0.154,69.0,297,9,3.03,3.04 (2.03-4.05),288,96.97,3.68 (3.47-3.88)
oligodendrocytes 20,348,0.178,65.0,33,4,12.12,3.08 (2.62-3.53),29,87.88,2.68 (2.12-3.24)
GABA like neurons 14,3052,0.122,35.0,125,7,5.6,4.06 (3.07-5.04),118,94.4,3.34 (3.01-3.67)
astrocytes 8,1266,0.08,49.0,66,24,36.36,2.12 (1.55-2.68),42,63.64,3.92 (3.47-4.38)
oligodendrocyte progenitor cells 12,3303,0.141,97.0,276,40,14.49,2.43 (2.04-2.82),236,85.51,3.75 (3.51-3.99)
oligodendrocytes 10,2107,0.115,36.0,358,52,14.53,2.14 (1.77-2.50),306,85.47,4.21 (4.02-4.40)
connective tissue cells 21,110,0.237,35.0,13,4,30.77,2.77 (1.56-3.97),9,69.23,3.27 (2.17-4.37)
astrocytes 15,1401,0.107,69.0,96,5,5.21,2.59 (1.46-3.73),91,94.79,3.68 (3.21-4.15)
oligodendrocytes 16,82,0.278,86.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,518,0.105,45.0,122,23,18.85,2.45 (1.93-2.97),99,81.15,4.49 (4.06-4.93)
astrocytes microglia 23,190,0.276,56.0,7,1,14.29,3.22 (NA-NA),6,85.71,5.16 (4.09-6.24)
astrocytes 4,514,0.13,16.0,95,7,7.37,2.70 (1.23-4.17),88,92.63,3.44 (3.00-3.88)
oligodendrocytes 0,1186,0.136,34.0,300,5,1.67,3.19 (1.91-4.46),295,98.33,3.80 (3.59-4.00)
microglia 1,480,0.168,38.0,163,3,1.84,NA,160,98.16,3.71 (3.44-3.97)
oligodendrocytes 3,854,0.062,17.0,76,1,1.32,0.21 (NA-NA),75,98.68,2.82 (2.49-3.14)
oligodendrocytes 2,921,0.165,89.0,200,6,3.0,2.15 (1.43-2.88),194,97.0,3.67 (3.40-3.94)
