tipo_celular,module_size,DDX3X_MM,DDX3X_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,206,0.142,15.0,10,0,0.0,NA,10,100.0,1.83 (0.82-2.85)
T cells 18,518,0.225,85.0,131,7,5.34,5.17 (3.41-6.93),124,94.66,2.96 (2.70-3.22)
astrocytes 5,1141,0.126,42.0,166,62,37.35,2.79 (2.45-3.13),104,62.65,3.82 (3.49-4.15)
oligodendrocyte progenitor cells 7,4285,0.156,81.0,353,107,30.31,2.63 (2.37-2.90),246,69.69,4.55 (4.36-4.73)
GABA neurons expressing GLU receptors 22,487,0.211,50.0,73,15,20.55,2.87 (2.13-3.61),58,79.45,2.72 (2.27-3.17)
GLU like neurons 17,685,0.127,47.0,135,82,60.74,3.11 (2.76-3.46),53,39.26,3.32 (2.74-3.90)
da like neurons 11,1220,0.136,32.0,410,74,18.05,4.08 (3.67-4.50),336,81.95,4.28 (4.07-4.49)
GABA neurons expressing GABA receptors 13,88,0.086,6.0,2,1,50.0,NA,1,50.0,NA
endothelial cells 9,385,0.162,83.0,275,122,44.36,3.03 (2.71-3.35),153,55.64,4.93 (4.62-5.25)
oligodendrocytes 20,348,0.142,53.0,33,9,27.27,3.70 (2.94-4.45),24,72.73,2.49 (1.95-3.03)
GABA like neurons 14,2402,0.278,62.0,455,98,21.54,3.49 (3.03-3.95),357,78.46,4.58 (4.39-4.77)
astrocytes 8,727,0.064,21.0,29,2,6.9,3.81 (NA-NA),27,93.1,2.31 (1.81-2.81)
oligodendrocyte progenitor cells 12,3303,0.116,87.0,276,79,28.62,2.61 (2.33-2.89),197,71.38,4.02 (3.75-4.28)
oligodendrocytes 10,735,0.089,45.0,277,15,5.42,6.09 (5.30-6.88),262,94.58,3.81 (3.57-4.06)
connective tissue cells 21,100,0.303,70.0,8,0,0.0,NA,8,100.0,1.58 (-0.37-3.52)
astrocytes 15,377,0.219,87.0,14,8,57.14,1.94 (0.18-3.70),6,42.86,2.33 (0.39-4.28)
oligodendrocytes 16,313,0.157,24.0,291,33,11.34,3.61 (3.05-4.18),258,88.66,4.40 (4.16-4.64)
da neurons 6,518,0.136,75.0,122,34,27.87,2.44 (1.87-3.00),88,72.13,4.59 (4.17-5.01)
astrocytes microglia 23,110,0.187,1.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,752,0.157,55.0,96,27,28.12,3.36 (2.86-3.85),69,71.88,3.26 (2.83-3.69)
oligodendrocytes 0,613,0.194,88.0,127,31,24.41,3.30 (2.61-3.99),96,75.59,2.92 (2.41-3.44)
microglia 1,958,0.151,90.0,290,54,18.62,3.43 (2.97-3.89),236,81.38,3.90 (3.64-4.16)
oligodendrocytes 3,743,0.114,82.0,76,9,11.84,5.33 (3.49-7.18),67,88.16,2.99 (2.61-3.36)
oligodendrocytes 2,528,0.192,45.0,175,40,22.86,4.26 (3.60-4.93),135,77.14,4.40 (4.00-4.81)
