tipo_celular,module_size,LMO4_MM,LMO4_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,218,0.065,0.0,5,0,0.0,NA,5,100.0,2.33 (0.29-4.37)
T cells 18,624,0.101,14.0,142,0,0.0,NA,142,100.0,3.21 (2.94-3.48)
astrocytes 5,328,0.163,49.0,128,0,0.0,NA,128,100.0,3.57 (3.23-3.91)
oligodendrocyte progenitor cells 7,628,0.167,52.0,164,2,1.22,4.61 (4.14-5.08),162,98.78,4.08 (3.74-4.41)
GABA neurons expressing GLU receptors 22,848,0.218,53.0,262,9,3.44,2.71 (1.17-4.26),253,96.56,4.21 (3.97-4.46)
GLU like neurons 17,795,0.059,5.0,80,1,1.25,4.37 (NA-NA),79,98.75,5.70 (5.29-6.12)
da like neurons 11,1220,0.159,42.0,410,4,0.98,2.08 (0.48-3.67),406,99.02,4.28 (4.09-4.46)
GABA neurons expressing GABA receptors 13,417,0.106,10.0,213,5,2.35,0.86 (0.29-1.44),208,97.65,3.84 (3.60-4.08)
endothelial cells 9,916,0.132,26.0,302,1,0.33,0.21 (NA-NA),301,99.67,4.00 (3.77-4.22)
oligodendrocytes 20,271,0.125,24.0,8,0,0.0,NA,8,100.0,3.49 (2.00-4.99)
GABA like neurons 14,2402,0.328,71.0,455,3,0.66,0.72 (0.55-0.89),452,99.34,4.37 (4.19-4.56)
astrocytes 8,603,0.084,55.0,89,1,1.12,0.82 (NA-NA),88,98.88,2.79 (2.44-3.14)
oligodendrocyte progenitor cells 12,1049,0.145,74.0,235,0,0.0,NA,235,100.0,3.82 (3.59-4.06)
oligodendrocytes 10,806,0.113,32.0,261,1,0.38,4.85 (NA-NA),260,99.62,4.36 (4.12-4.61)
connective tissue cells 21,116,0.311,68.0,2,0,0.0,NA,2,100.0,0.40 (0.12-0.68)
astrocytes 15,1401,0.14,86.0,96,4,4.17,1.90 (1.73-2.07),92,95.83,3.68 (3.22-4.14)
oligodendrocytes 16,158,0.146,11.0,30,1,3.33,1.95 (NA-NA),29,96.67,2.35 (1.67-3.02)
da neurons 6,448,0.141,81.0,43,0,0.0,NA,43,100.0,3.28 (2.76-3.80)
astrocytes microglia 23,110,0.389,89.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,787,0.125,11.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36)
oligodendrocytes 0,613,0.104,11.0,127,3,2.36,1.85 (NA-NA),124,97.64,3.07 (2.65-3.48)
microglia 1,1615,0.064,2.0,161,7,4.35,1.26 (0.60-1.91),154,95.65,3.39 (3.12-3.65)
oligodendrocytes 3,743,0.081,49.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55)
oligodendrocytes 2,528,0.157,23.0,175,2,1.14,1.93 (1.64-2.21),173,98.86,4.42 (4.07-4.77)
