tipo_celular,module_size,TBC1D5_MM,TBC1D5_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,500,0.275,88.0,32,12,37.5,4.49 (3.85-5.13),20,62.5,3.11 (1.87-4.35)
T cells 18,610,0.092,10.0,98,27,27.55,2.89 (2.04-3.75),71,72.45,3.21 (2.94-3.49)
astrocytes 5,118,0.117,1.0,8,0,0.0,NA,8,100.0,4.18 (2.41-5.94)
oligodendrocyte progenitor cells 7,229,0.066,5.0,45,0,0.0,NA,45,100.0,5.01 (4.39-5.62)
GABA neurons expressing GLU receptors 22,192,0.071,8.0,55,0,0.0,NA,55,100.0,4.03 (3.61-4.44)
GLU like neurons 17,637,0.135,40.0,91,20,21.98,2.53 (1.62-3.45),71,78.02,5.33 (4.85-5.81)
da like neurons 11,289,0.339,95.0,6,0,0.0,NA,6,100.0,2.89 (2.54-3.24)
GABA neurons expressing GABA receptors 13,288,0.328,88.0,93,12,12.9,2.83 (1.94-3.72),81,87.1,5.62 (5.13-6.11)
endothelial cells 9,1653,0.264,99.0,297,4,1.35,6.26 (5.53-6.98),293,98.65,3.63 (3.43-3.83)
oligodendrocytes 20,676,0.303,54.0,110,10,9.09,2.58 (1.46-3.70),100,90.91,5.35 (4.92-5.77)
GABA like neurons 14,1300,0.125,15.0,306,26,8.5,2.77 (2.21-3.33),280,91.5,5.43 (5.17-5.68)
astrocytes 8,279,0.221,28.0,78,5,6.41,2.11 (1.73-2.48),73,93.59,4.49 (4.08-4.91)
oligodendrocyte progenitor cells 12,708,0.095,40.0,25,6,24.0,5.01 (3.00-7.03),19,76.0,2.01 (1.23-2.79)
oligodendrocytes 10,2107,0.359,95.0,358,40,11.17,2.86 (2.20-3.53),318,88.83,4.04 (3.85-4.22)
connective tissue cells 21,250,0.09,0.0,117,14,11.97,3.62 (2.80-4.44),103,88.03,5.72 (5.31-6.12)
astrocytes 15,208,0.309,65.0,4,1,25.0,3.56 (NA-NA),3,75.0,2.90 (-0.92-6.72)
oligodendrocytes 16,287,0.114,5.0,105,10,9.52,1.85 (1.34-2.37),95,90.48,5.61 (5.24-5.98)
da neurons 6,398,0.266,83.0,138,16,11.59,2.85 (1.96-3.75),122,88.41,5.14 (4.77-5.51)
astrocytes microglia 23,58,0.227,13.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,255,0.118,8.0,12,0,0.0,NA,12,100.0,4.62 (3.76-5.48)
oligodendrocytes 0,261,0.055,0.0,42,7,16.67,1.43 (1.05-1.81),35,83.33,4.80 (4.18-5.42)
microglia 1,315,0.133,30.0,144,3,2.08,3.13 (1.11-5.15),141,97.92,4.49 (4.18-4.80)
oligodendrocytes 3,127,0.058,0.0,45,5,11.11,1.94 (1.31-2.58),40,88.89,4.88 (4.00-5.76)
oligodendrocytes 2,347,0.059,1.0,15,0,0.0,NA,15,100.0,4.87 (4.10-5.63)
