tipo_celular,module_size,NPEPPS_MM,NPEPPS_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,125,0.109,5.0,1,0,0.0,NA,1,100.0,0.55 (NA-NA)
T cells 18,727,0.108,23.0,49,6,12.24,4.16 (3.07-5.25),43,87.76,2.21 (1.83-2.59)
astrocytes 5,1141,0.083,3.0,166,16,9.64,2.65 (1.82-3.49),150,90.36,3.48 (3.22-3.74)
oligodendrocyte progenitor cells 7,4285,0.073,2.0,353,31,8.78,2.63 (2.08-3.19),322,91.22,4.04 (3.85-4.23)
GABA neurons expressing GLU receptors 22,400,0.181,39.0,24,12,50.0,2.20 (1.42-2.98),12,50.0,2.11 (1.42-2.81)
GLU like neurons 17,229,0.134,16.0,22,0,0.0,NA,22,100.0,2.52 (1.91-3.13)
da like neurons 11,853,0.199,83.0,133,10,7.52,1.66 (0.82-2.51),123,92.48,3.41 (3.09-3.73)
GABA neurons expressing GABA receptors 13,357,0.144,39.0,237,6,2.53,3.45 (2.69-4.21),231,97.47,4.44 (4.20-4.68)
endothelial cells 9,1653,0.173,80.0,297,6,2.02,4.16 (3.07-5.25),291,97.98,3.66 (3.46-3.87)
oligodendrocytes 20,279,0.133,21.0,16,1,6.25,3.48 (NA-NA),15,93.75,2.30 (1.52-3.09)
GABA like neurons 14,1300,0.185,39.0,306,11,3.59,1.94 (1.28-2.59),295,96.41,5.27 (5.02-5.52)
astrocytes 8,1266,0.104,69.0,66,8,12.12,1.48 (0.59-2.37),58,87.88,3.51 (3.10-3.93)
oligodendrocyte progenitor cells 12,143,0.425,48.0,1,0,0.0,NA,1,100.0,7.70 (NA-NA)
oligodendrocytes 10,735,0.096,50.0,277,4,1.44,6.97 (6.52-7.41),273,98.56,3.83 (3.59-4.07)
connective tissue cells 21,110,0.242,36.0,13,7,53.85,3.12 (2.37-3.88),6,46.15,3.10 (1.44-4.77)
astrocytes 15,443,0.109,17.0,9,6,66.67,3.73 (2.40-5.05),3,33.33,1.89 (-1.31-5.09)
oligodendrocytes 16,123,0.157,16.0,4,0,0.0,NA,4,100.0,2.02 (0.43-3.61)
da neurons 6,300,0.17,53.0,159,3,1.89,5.22 (2.73-7.71),156,98.11,4.34 (4.03-4.65)
astrocytes microglia 23,253,0.171,8.0,47,1,2.13,0.94 (NA-NA),46,97.87,2.89 (2.57-3.22)
astrocytes 4,255,0.155,35.0,12,0,0.0,NA,12,100.0,4.62 (3.76-5.48)
oligodendrocytes 0,1186,0.159,73.0,300,1,0.33,2.06 (NA-NA),299,99.67,3.80 (3.59-4.01)
microglia 1,958,0.103,37.0,290,23,7.93,3.47 (2.56-4.38),267,92.07,3.85 (3.61-4.08)
oligodendrocytes 3,681,0.087,42.0,87,10,11.49,2.10 (1.07-3.12),77,88.51,2.65 (2.38-2.93)
oligodendrocytes 2,921,0.125,30.0,200,7,3.5,3.28 (2.51-4.05),193,96.5,3.64 (3.36-3.91)
