tipo_celular,module_size,ITPK1_MM,ITPK1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,352,0.328,94.0,73,3,4.11,3.97 (3.78-4.16),70,95.89,3.54 (3.18-3.91)
T cells 18,727,0.144,51.0,49,1,2.04,2.53 (NA-NA),48,97.96,2.43 (2.02-2.83)
astrocytes 5,932,0.117,63.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08)
oligodendrocyte progenitor cells 7,666,0.094,7.0,127,8,6.3,1.87 (1.28-2.46),119,93.7,4.03 (3.70-4.37)
GABA neurons expressing GLU receptors 22,823,0.296,95.0,23,1,4.35,4.07 (NA-NA),22,95.65,2.30 (1.56-3.04)
GLU like neurons 17,685,0.106,33.0,135,5,3.7,2.46 (1.01-3.91),130,96.3,3.22 (2.91-3.54)
da like neurons 11,172,0.082,4.0,8,1,12.5,NA,7,87.5,3.69 (3.52-3.86)
GABA neurons expressing GABA receptors 13,93,0.102,6.0,2,0,0.0,NA,2,100.0,NA
endothelial cells 9,450,0.17,38.0,74,0,0.0,NA,74,100.0,5.46 (4.91-6.02)
oligodendrocytes 20,358,0.176,60.0,31,0,0.0,NA,31,100.0,2.36 (1.93-2.79)
GABA like neurons 14,2090,0.231,91.0,74,1,1.35,2.53 (NA-NA),73,98.65,2.95 (2.57-3.33)
astrocytes 8,1266,0.12,78.0,66,8,12.12,2.54 (1.45-3.63),58,87.88,3.34 (2.89-3.79)
oligodendrocyte progenitor cells 12,3303,0.094,69.0,276,6,2.17,2.72 (1.54-3.91),270,97.83,3.57 (3.34-3.79)
oligodendrocytes 10,1277,0.098,43.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,85,0.397,89.0,3,0,0.0,NA,3,100.0,1.74 (1.73-1.75)
astrocytes 15,1401,0.093,57.0,96,2,2.08,4.07 (4.07-4.07),94,97.92,3.60 (3.14-4.06)
oligodendrocytes 16,91,0.193,45.0,1,0,0.0,NA,1,100.0,7.70 (NA-NA)
da neurons 6,307,0.097,28.0,95,1,1.05,2.92 (NA-NA),94,98.95,4.87 (4.43-5.31)
astrocytes microglia 23,255,0.269,59.0,57,4,7.02,3.20 (2.35-4.04),53,92.98,2.61 (2.22-2.99)
astrocytes 4,201,0.163,44.0,18,0,0.0,NA,18,100.0,4.54 (3.65-5.42)
oligodendrocytes 0,1186,0.168,85.0,300,3,1.0,3.97 (3.78-4.16),297,99.0,3.79 (3.58-4.00)
microglia 1,1615,0.122,66.0,161,10,6.21,2.45 (1.41-3.49),151,93.79,3.33 (3.06-3.61)
oligodendrocytes 3,681,0.148,86.0,87,1,1.15,3.52 (NA-NA),86,98.85,2.57 (2.30-2.84)
oligodendrocytes 2,348,0.107,5.0,114,2,1.75,2.67 (2.19-3.16),112,98.25,5.18 (4.76-5.59)
