tipo_celular,module_size,MARF1_MM,MARF1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,352,0.127,22.0,73,0,0.0,NA,73,100.0,3.56 (3.22-3.91)
T cells 18,624,0.142,41.0,142,2,1.41,3.04 (2.82-3.27),140,98.59,3.21 (2.94-3.48)
astrocytes 5,1656,0.102,28.0,136,6,4.41,1.88 (0.94-2.82),130,95.59,3.25 (2.98-3.53)
oligodendrocyte progenitor cells 7,4285,0.147,68.0,353,28,7.93,1.53 (1.17-1.88),325,92.07,4.14 (3.96-4.32)
GABA neurons expressing GLU receptors 22,848,0.224,56.0,262,8,3.05,1.72 (0.64-2.79),254,96.95,4.27 (4.03-4.51)
GLU like neurons 17,380,0.211,77.0,39,0,0.0,NA,39,100.0,2.97 (2.41-3.52)
da like neurons 11,1220,0.092,12.0,410,2,0.49,1.39 (-0.26-3.05),408,99.51,4.27 (4.08-4.45)
GABA neurons expressing GABA receptors 13,238,0.218,74.0,36,0,0.0,NA,36,100.0,3.88 (3.35-4.40)
endothelial cells 9,303,0.071,13.0,54,0,0.0,NA,54,100.0,4.84 (4.22-5.46)
oligodendrocytes 20,221,0.156,33.0,12,0,0.0,NA,12,100.0,2.42 (0.83-4.00)
GABA like neurons 14,3052,0.162,69.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,1266,0.05,15.0,66,10,15.15,0.98 (0.54-1.41),56,84.85,3.70 (3.33-4.08)
oligodendrocyte progenitor cells 12,3303,0.073,43.0,276,16,5.8,1.66 (1.30-2.02),260,94.2,3.70 (3.48-3.92)
oligodendrocytes 10,735,0.086,42.0,277,0,0.0,NA,277,100.0,3.89 (3.65-4.14)
connective tissue cells 21,112,0.247,55.0,7,1,14.29,1.85 (NA-NA),6,85.71,1.97 (1.05-2.89)
astrocytes 15,418,0.071,40.0,54,1,1.85,1.29 (NA-NA),53,98.15,3.73 (3.30-4.17)
oligodendrocytes 16,78,0.202,56.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,448,0.184,93.0,43,0,0.0,NA,43,100.0,3.28 (2.76-3.80)
astrocytes microglia 23,118,0.255,11.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807,0.134,30.0,104,10,9.62,1.26 (0.71-1.81),94,90.38,3.05 (2.77-3.33)
oligodendrocytes 0,2078,0.098,19.0,238,4,1.68,2.01 (0.74-3.29),234,98.32,3.67 (3.45-3.89)
microglia 1,1615,0.112,54.0,161,21,13.04,1.33 (0.96-1.70),140,86.96,3.64 (3.38-3.90)
oligodendrocytes 3,357,0.059,19.0,127,0,0.0,NA,127,100.0,3.12 (2.79-3.45)
oligodendrocytes 2,921,0.11,11.0,200,2,1.0,1.78 (0.88-2.68),198,99.0,3.64 (3.38-3.91)
