tipo_celular,module_size,PPM1L_MM,PPM1L_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,360,0.19,53.0,102,4,3.92,1.01 (0.80-1.22),98,96.08,3.61 (3.24-3.97)
T cells 18,393,0.331,90.0,59,0,0.0,NA,59,100.0,3.10 (2.60-3.61)
astrocytes 5,118,0.248,75.0,8,0,0.0,NA,8,100.0,4.18 (2.41-5.94)
oligodendrocyte progenitor cells 7,666,0.179,60.0,127,6,4.72,4.23 (2.18-6.29),121,95.28,3.82 (3.48-4.17)
GABA neurons expressing GLU receptors 22,823,0.199,63.0,23,1,4.35,3.22 (NA-NA),22,95.65,2.35 (1.59-3.11)
GLU like neurons 17,795,0.256,88.0,80,0,0.0,NA,80,100.0,5.68 (5.27-6.09)
da like neurons 11,289,0.37,99.0,6,0,0.0,NA,6,100.0,2.89 (2.54-3.24)
GABA neurons expressing GABA receptors 13,93,0.176,65.0,2,0,0.0,NA,2,100.0,NA
endothelial cells 9,303,0.416,91.0,54,0,0.0,NA,54,100.0,4.84 (4.22-5.46)
oligodendrocytes 20,403,0.129,52.0,18,8,44.44,0.89 (0.40-1.37),10,55.56,2.67 (1.77-3.57)
GABA like neurons 14,1300,0.203,49.0,306,3,0.98,1.57 (-0.16-3.30),303,99.02,5.14 (4.88-5.40)
astrocytes 8,279,0.305,66.0,78,0,0.0,NA,78,100.0,4.31 (3.90-4.73)
oligodendrocyte progenitor cells 12,3303,0.108,81.0,276,8,2.9,2.09 (1.28-2.91),268,97.1,3.59 (3.37-3.81)
oligodendrocytes 10,2107,0.18,63.0,358,12,3.35,1.01 (0.48-1.54),346,96.65,4.00 (3.81-4.18)
connective tissue cells 21,91,0.229,20.0,4,0,0.0,NA,4,100.0,0.35 (0.26-0.44)
astrocytes 15,208,0.315,65.0,4,0,0.0,NA,4,100.0,3.12 (0.87-5.36)
oligodendrocytes 16,156,0.175,33.0,3,0,0.0,NA,3,100.0,0.40 (0.24-0.56)
da neurons 6,518,0.079,14.0,122,22,18.03,2.38 (1.58-3.19),100,81.97,4.32 (3.91-4.73)
astrocytes microglia 23,59,0.133,0.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,220,0.152,41.0,63,0,0.0,NA,63,100.0,5.13 (4.57-5.69)
oligodendrocytes 0,2078,0.115,51.0,238,3,1.26,1.98 (0.20-3.77),235,98.74,3.66 (3.44-3.88)
microglia 1,346,0.105,17.0,43,1,2.33,4.41 (NA-NA),42,97.67,3.75 (3.23-4.27)
oligodendrocytes 3,854,0.092,52.0,76,1,1.32,0.21 (NA-NA),75,98.68,2.82 (2.49-3.14)
oligodendrocytes 2,131,0.13,17.0,20,0,0.0,NA,20,100.0,4.51 (3.77-5.25)
