tipo_celular,module_size,IPO9_MM,IPO9_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,184,0.152,16.0,21,10,47.62,1.53 (0.67-2.38),11,52.38,3.07 (2.42-3.73)
T cells 18,624,0.066,2.0,142,2,1.41,4.52 (4.52-4.52),140,98.59,3.19 (2.92-3.46)
astrocytes 5,1141,0.104,17.0,166,8,4.82,2.73 (1.15-4.31),158,95.18,3.43 (3.18-3.68)
oligodendrocyte progenitor cells 7,4285,0.164,90.0,353,35,9.92,2.78 (2.21-3.36),318,90.08,4.04 (3.85-4.23)
GABA neurons expressing GLU receptors 22,1069,0.188,67.0,37,1,2.7,5.16 (NA-NA),36,97.3,2.06 (1.63-2.48)
GLU like neurons 17,489,0.13,43.0,42,0,0.0,NA,42,100.0,5.99 (5.44-6.55)
da like neurons 11,142,0.302,72.0,2,0,0.0,NA,2,100.0,4.56 (NA-NA)
GABA neurons expressing GABA receptors 13,288,0.089,5.0,93,0,0.0,NA,93,100.0,5.15 (4.65-5.64)
endothelial cells 9,303,0.116,28.0,54,0,0.0,NA,54,100.0,4.84 (4.22-5.46)
oligodendrocytes 20,279,0.197,48.0,16,2,12.5,3.83 (3.16-4.50),14,87.5,2.16 (1.37-2.96)
GABA like neurons 14,3052,0.175,79.0,125,2,1.6,4.52 (4.52-4.52),123,98.4,3.33 (3.00-3.66)
astrocytes 8,1266,0.046,12.0,66,9,13.64,1.08 (0.38-1.78),57,86.36,3.63 (3.24-4.02)
oligodendrocyte progenitor cells 12,3303,0.081,53.0,276,26,9.42,3.32 (2.75-3.89),250,90.58,3.57 (3.33-3.80)
oligodendrocytes 10,2107,0.085,20.0,358,30,8.38,2.69 (2.06-3.33),328,91.62,3.99 (3.80-4.19)
connective tissue cells 21,91,0.425,98.0,4,0,0.0,NA,4,100.0,0.35 (0.26-0.44)
astrocytes 15,1768,0.085,49.0,105,14,13.33,2.95 (2.13-3.77),91,86.67,3.26 (2.89-3.62)
oligodendrocytes 16,156,0.285,92.0,3,0,0.0,NA,3,100.0,0.40 (0.24-0.56)
da neurons 6,553,0.08,12.0,124,2,1.61,1.26 (-0.42-2.94),122,98.39,4.25 (3.86-4.64)
astrocytes microglia 23,107,0.258,16.0,1,0,0.0,NA,1,100.0,3.12 (NA-NA)
astrocytes 4,721,0.144,36.0,61,3,4.92,4.73 (4.31-5.16),58,95.08,2.87 (2.45-3.29)
oligodendrocytes 0,1186,0.132,30.0,300,2,0.67,3.61 (0.57-6.65),298,99.33,3.79 (3.59-4.00)
microglia 1,813,0.092,18.0,79,1,1.27,2.24 (NA-NA),78,98.73,3.11 (2.71-3.52)
oligodendrocytes 3,681,0.061,16.0,87,6,6.9,1.38 (0.43-2.33),81,93.1,2.68 (2.41-2.95)
oligodendrocytes 2,407,0.156,52.0,122,13,10.66,1.75 (0.96-2.53),109,89.34,3.58 (3.17-3.98)
