tipo_celular,module_size,MTCH1_MM,MTCH1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,185,0.199,51.0,17,0,0.0,NA,17,100.0,1.90 (1.29-2.52)
T cells 18,282,0.168,53.0,241,8,3.32,3.68 (2.86-4.49),233,96.68,4.07 (3.81-4.33)
astrocytes 5,423,0.191,73.0,80,1,1.25,1.04 (NA-NA),79,98.75,3.44 (2.96-3.91)
oligodendrocyte progenitor cells 7,666,0.285,91.0,127,15,11.81,2.20 (1.75-2.64),112,88.19,4.18 (3.83-4.53)
GABA neurons expressing GLU receptors 22,848,0.343,84.0,262,22,8.4,3.84 (3.12-4.57),240,91.6,4.20 (3.94-4.46)
GLU like neurons 17,1316,0.17,83.0,101,1,0.99,4.19 (NA-NA),100,99.01,3.04 (2.68-3.39)
da like neurons 11,1220,0.362,89.0,410,27,6.59,3.96 (3.48-4.44),383,93.41,4.28 (4.08-4.48)
GABA neurons expressing GABA receptors 13,417,0.243,88.0,213,13,6.1,1.24 (0.61-1.87),200,93.9,3.97 (3.74-4.20)
endothelial cells 9,338,0.166,63.0,191,4,2.09,3.65 (1.95-5.35),187,97.91,3.89 (3.67-4.12)
oligodendrocytes 20,938,0.218,84.0,169,12,7.1,2.89 (2.03-3.76),157,92.9,3.54 (3.31-3.76)
GABA like neurons 14,2402,0.717,99.0,455,30,6.59,3.25 (2.62-3.88),425,93.41,4.45 (4.26-4.64)
astrocytes 8,577,0.176,87.0,83,1,1.2,0.87 (NA-NA),82,98.8,3.29 (2.84-3.74)
oligodendrocyte progenitor cells 12,3303,0.083,56.0,276,17,6.16,2.64 (2.03-3.25),259,93.84,3.62 (3.39-3.85)
oligodendrocytes 10,806,0.309,81.0,261,14,5.36,4.00 (3.03-4.97),247,94.64,4.39 (4.14-4.64)
connective tissue cells 21,106,0.303,62.0,4,0,0.0,NA,4,100.0,4.98 (4.91-5.06)
astrocytes 15,338,0.133,37.0,14,0,0.0,NA,14,100.0,1.77 (1.03-2.51)
oligodendrocytes 16,313,0.195,42.0,291,27,9.28,3.83 (3.32-4.34),264,90.72,4.39 (4.15-4.64)
da neurons 6,729,0.178,63.0,182,0,0.0,NA,182,100.0,3.64 (3.38-3.89)
astrocytes microglia 23,327,0.242,19.0,120,29,24.17,2.60 (2.10-3.11),91,75.83,4.03 (3.70-4.36)
astrocytes 4,514,0.331,90.0,95,4,4.21,1.16 (0.64-1.68),91,95.79,3.50 (3.07-3.92)
oligodendrocytes 0,546,0.135,30.0,252,14,5.56,1.98 (0.98-2.98),238,94.44,4.26 (4.02-4.50)
microglia 1,214,0.183,52.0,227,8,3.52,4.34 (3.13-5.55),219,96.48,4.08 (3.84-4.32)
oligodendrocytes 3,457,0.109,47.0,345,23,6.67,3.40 (2.91-3.88),322,93.33,4.36 (4.14-4.58)
oligodendrocytes 2,526,0.308,63.0,213,1,0.47,4.26 (NA-NA),212,99.53,3.98 (3.70-4.25)
