tipo_celular,module_size,GSPT1_MM,GSPT1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,395,0.238,84.0,97,5,5.15,3.63 (2.36-4.90),92,94.85,3.02 (2.61-3.43)
T cells 18,518,0.145,43.0,131,3,2.29,3.32 (2.27-4.37),128,97.71,3.07 (2.79-3.35)
astrocytes 5,1656,0.092,16.0,136,7,5.15,2.01 (0.98-3.03),129,94.85,3.28 (3.01-3.56)
oligodendrocyte progenitor cells 7,4285,0.132,44.0,353,52,14.73,2.41 (2.01-2.82),301,85.27,4.24 (4.06-4.42)
GABA neurons expressing GLU receptors 22,714,0.157,36.0,17,0,0.0,NA,17,100.0,2.31 (1.72-2.89)
GLU like neurons 17,1316,0.09,19.0,101,3,2.97,2.82 (2.53-3.11),98,97.03,3.06 (2.70-3.42)
da like neurons 11,215,0.174,45.0,9,0,0.0,NA,9,100.0,0.85 (0.17-1.52)
GABA neurons expressing GABA receptors 13,101,0.132,20.0,3,1,33.33,NA,2,66.67,1.59 (0.34-2.85)
endothelial cells 9,412,0.06,3.0,141,4,2.84,1.53 (0.29-2.76),137,97.16,3.01 (2.77-3.25)
oligodendrocytes 20,938,0.103,39.0,169,12,7.1,2.35 (1.64-3.07),157,92.9,3.59 (3.36-3.81)
GABA like neurons 14,2090,0.127,30.0,74,5,6.76,1.85 (1.47-2.22),69,93.24,3.03 (2.64-3.43)
astrocytes 8,603,0.059,34.0,89,11,12.36,1.79 (1.16-2.43),78,87.64,2.96 (2.57-3.34)
oligodendrocyte progenitor cells 12,3303,0.073,43.0,276,38,13.77,2.33 (1.89-2.77),238,86.23,3.81 (3.58-4.04)
oligodendrocytes 10,483,0.121,51.0,129,7,5.43,3.11 (2.59-3.63),122,94.57,3.45 (3.03-3.87)
connective tissue cells 21,118,0.293,45.0,2,0,0.0,NA,2,100.0,6.60 (NA-NA)
astrocytes 15,261,0.133,40.0,8,3,37.5,1.39 (-0.70-3.48),5,62.5,5.40 (3.54-7.25)
oligodendrocytes 16,64,0.31,96.0,1,0,0.0,NA,1,100.0,2.12 (NA-NA)
da neurons 6,409,0.097,30.0,235,8,3.4,2.10 (1.45-2.75),227,96.6,4.07 (3.82-4.32)
astrocytes microglia 23,96,0.285,29.0,3,0,0.0,NA,3,100.0,1.95 (-1.12-5.03)
astrocytes 4,787,0.182,95.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36)
oligodendrocytes 0,613,0.135,44.0,127,13,10.24,2.48 (1.75-3.20),114,89.76,3.16 (2.69-3.63)
microglia 1,958,0.112,50.0,290,22,7.59,3.45 (2.63-4.26),268,92.41,3.85 (3.61-4.09)
oligodendrocytes 3,743,0.076,41.0,76,3,3.95,3.97 (1.29-6.65),73,96.05,3.14 (2.73-3.54)
oligodendrocytes 2,528,0.187,42.0,175,8,4.57,4.73 (2.56-6.91),167,95.43,4.36 (4.01-4.72)
