tipo_celular,module_size,PHIP_MM,PHIP_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,218,0.122,4.0,5,2,40.0,NA,3,60.0,2.33 (0.29-4.37)
T cells 18,624,0.125,27.0,142,7,4.93,3.34 (3.13-3.55),135,95.07,3.20 (2.92-3.48)
astrocytes 5,1141,0.192,98.0,166,34,20.48,2.23 (1.87-2.59),132,79.52,3.76 (3.48-4.04)
oligodendrocyte progenitor cells 7,448,0.144,52.0,108,0,0.0,NA,108,100.0,3.26 (2.82-3.69)
GABA neurons expressing GLU receptors 22,192,0.131,52.0,55,6,10.91,2.10 (1.82-2.39),49,89.09,4.30 (3.88-4.71)
GLU like neurons 17,489,0.12,37.0,42,1,2.38,8.28 (NA-NA),41,97.62,5.91 (5.36-6.47)
da like neurons 11,77,0.41,79.0,3,0,0.0,NA,3,100.0,0.40 (0.24-0.56)
GABA neurons expressing GABA receptors 13,288,0.128,25.0,93,13,13.98,3.38 (2.08-4.68),80,86.02,5.51 (5.02-6.00)
endothelial cells 9,1653,0.214,93.0,297,12,4.04,3.80 (3.25-4.34),285,95.96,3.67 (3.46-3.88)
oligodendrocytes 20,676,0.574,86.0,110,15,13.64,3.28 (2.18-4.37),95,86.36,5.40 (4.96-5.84)
GABA like neurons 14,1300,0.142,20.0,306,31,10.13,3.36 (2.69-4.03),275,89.87,5.39 (5.13-5.65)
astrocytes 8,771,0.177,61.0,48,2,4.17,4.53 (-2.81-11.88),46,95.83,4.42 (3.68-5.16)
oligodendrocyte progenitor cells 12,153,0.369,33.0,27,1,3.7,3.41 (NA-NA),26,96.3,4.87 (3.81-5.93)
oligodendrocytes 10,236,0.371,23.0,82,11,13.41,4.15 (3.11-5.19),71,86.59,5.17 (4.59-5.75)
connective tissue cells 21,106,0.239,38.0,2,0,0.0,NA,2,100.0,4.57 (NA-NA)
astrocytes 15,1768,0.104,66.0,105,16,15.24,1.53 (1.15-1.92),89,84.76,3.54 (3.19-3.90)
oligodendrocytes 16,153,0.412,69.0,14,1,7.14,3.79 (NA-NA),13,92.86,4.74 (3.97-5.52)
da neurons 6,398,0.208,70.0,138,28,20.29,2.69 (2.12-3.25),110,79.71,5.43 (5.08-5.79)
astrocytes microglia 23,44,0.169,0.0,2,0,0.0,NA,2,100.0,4.12 (4.00-4.25)
astrocytes 4,752,0.175,83.0,96,14,14.58,2.91 (2.52-3.29),82,85.42,3.38 (2.98-3.77)
oligodendrocytes 0,261,0.199,60.0,42,12,28.57,2.49 (1.47-3.50),30,71.43,5.01 (4.36-5.65)
microglia 1,1615,0.114,57.0,161,48,29.81,2.07 (1.77-2.38),113,70.19,3.94 (3.64-4.23)
oligodendrocytes 3,116,0.297,72.0,7,3,42.86,2.70 (-0.72-6.13),4,57.14,5.23 (3.06-7.40)
oligodendrocytes 2,237,0.093,2.0,26,0,0.0,NA,26,100.0,5.22 (4.28-6.15)
