tipo_celular,module_size,DNAJB14_MM,DNAJB14_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,184,0.167,26.0,21,7,33.33,0.95 (0.24-1.66),14,66.67,3.03 (2.44-3.61)
T cells 18,727,0.148,54.0,49,0,0.0,NA,49,100.0,2.43 (2.03-2.82)
astrocytes 5,1141,0.127,44.0,166,9,5.42,1.40 (0.68-2.13),157,94.58,3.53 (3.28-3.78)
oligodendrocyte progenitor cells 7,4285,0.131,43.0,353,25,7.08,1.65 (1.08-2.21),328,92.92,4.12 (3.94-4.29)
GABA neurons expressing GLU receptors 22,823,0.096,7.0,23,1,4.35,1.01 (NA-NA),22,95.65,2.48 (1.73-3.23)
GLU like neurons 17,1316,0.192,91.0,101,1,0.99,2.85 (NA-NA),100,99.01,3.05 (2.70-3.41)
da like neurons 11,153,0.187,35.0,2,0,0.0,NA,2,100.0,5.80 (NA-NA)
GABA neurons expressing GABA receptors 13,238,0.212,71.0,36,0,0.0,NA,36,100.0,3.88 (3.35-4.40)
endothelial cells 9,1653,0.095,23.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88)
oligodendrocytes 20,358,0.161,54.0,31,5,16.13,3.58 (3.19-3.96),26,83.87,2.12 (1.66-2.57)
GABA like neurons 14,2402,0.271,60.0,455,35,7.69,2.48 (1.74-3.21),420,92.31,4.52 (4.34-4.70)
astrocytes 8,727,0.125,61.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86)
oligodendrocyte progenitor cells 12,3303,0.089,63.0,276,14,5.07,1.84 (1.36-2.33),262,94.93,3.66 (3.44-3.88)
oligodendrocytes 10,806,0.123,36.0,261,10,3.83,3.02 (2.43-3.61),251,96.17,4.44 (4.19-4.69)
connective tissue cells 21,126,0.246,26.0,7,1,14.29,0.82 (NA-NA),6,85.71,1.64 (0.49-2.79)
astrocytes 15,1768,0.101,64.0,105,19,18.1,1.94 (1.43-2.45),86,81.9,3.52 (3.16-3.89)
oligodendrocytes 16,199,0.129,15.0,3,0,0.0,NA,3,100.0,5.28 (1.90-8.66)
da neurons 6,553,0.181,78.0,124,1,0.81,0.40 (NA-NA),123,99.19,4.23 (3.84-4.61)
astrocytes microglia 23,37,0.319,37.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,721,0.158,63.0,61,3,4.92,2.12 (1.37-2.87),58,95.08,3.01 (2.58-3.44)
oligodendrocytes 0,1186,0.117,13.0,300,1,0.33,2.89 (NA-NA),299,99.67,3.80 (3.59-4.00)
microglia 1,1615,0.102,39.0,161,16,9.94,0.97 (0.63-1.31),145,90.06,3.59 (3.34-3.84)
oligodendrocytes 3,1003,0.07,21.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64)
oligodendrocytes 2,804,0.122,15.0,84,5,5.95,1.09 (0.52-1.66),79,94.05,2.82 (2.48-3.16)
