tipo_celular,module_size,TMSB10_MM,TMSB10_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,185,0.242,52.0,98,2,2.04,1.70 (-0.56-3.96),96,97.96,3.26 (2.78-3.73)
T cells 18,506,0.584,97.0,225,9,4.0,3.18 (2.09-4.27),216,96.0,3.64 (3.38-3.89)
astrocytes 5,328,0.219,71.0,128,0,0.0,NA,128,100.0,3.57 (3.23-3.91)
oligodendrocyte progenitor cells 7,448,0.235,83.0,108,1,0.93,3.55 (NA-NA),107,99.07,3.25 (2.81-3.70)
GABA neurons expressing GLU receptors 22,487,0.278,71.0,73,1,1.37,3.22 (NA-NA),72,98.63,2.75 (2.36-3.14)
GLU like neurons 17,685,0.52,100.0,135,8,5.93,2.33 (1.41-3.25),127,94.07,3.25 (2.94-3.57)
da like neurons 11,1220,0.376,90.0,410,9,2.2,2.81 (2.06-3.55),401,97.8,4.29 (4.10-4.48)
GABA neurons expressing GABA receptors 13,417,0.251,90.0,213,10,4.69,1.94 (1.17-2.71),203,95.31,3.87 (3.62-4.12)
endothelial cells 9,559,0.676,100.0,155,0,0.0,NA,155,100.0,4.34 (3.97-4.70)
oligodendrocytes 20,271,0.254,79.0,8,0,0.0,NA,8,100.0,3.49 (2.00-4.99)
GABA like neurons 14,2402,0.676,98.0,455,12,2.64,2.60 (1.86-3.33),443,97.36,4.41 (4.22-4.60)
astrocytes 8,603,0.338,99.0,89,1,1.12,3.55 (NA-NA),88,98.88,2.75 (2.39-3.10)
oligodendrocyte progenitor cells 12,1049,0.17,80.0,235,0,0.0,NA,235,100.0,3.82 (3.59-4.06)
oligodendrocytes 10,483,0.435,93.0,129,1,0.78,3.55 (NA-NA),128,99.22,3.43 (3.03-3.82)
connective tissue cells 21,301,0.626,95.0,158,6,3.8,3.89 (2.35-5.43),152,96.2,4.27 (3.89-4.65)
astrocytes 15,367,0.113,31.0,17,0,0.0,NA,17,100.0,2.08 (1.12-3.04)
oligodendrocytes 16,96,0.403,99.0,102,1,0.98,0.95 (NA-NA),101,99.02,3.37 (3.04-3.70)
da neurons 6,729,0.453,100.0,182,2,1.1,2.87 (2.83-2.90),180,98.9,3.65 (3.39-3.90)
astrocytes microglia 23,137,0.449,79.0,188,4,2.13,2.54 (1.21-3.88),184,97.87,4.40 (4.05-4.74)
astrocytes 4,208,0.287,80.0,173,4,2.31,4.49 (3.20-5.77),169,97.69,3.77 (3.47-4.08)
oligodendrocytes 0,546,0.182,58.0,252,8,3.17,2.32 (1.14-3.49),244,96.83,4.17 (3.92-4.42)
microglia 1,406,0.573,96.0,278,1,0.36,2.92 (NA-NA),277,99.64,4.37 (4.10-4.64)
oligodendrocytes 3,303,0.298,96.0,154,0,0.0,NA,154,100.0,3.62 (3.30-3.94)
oligodendrocytes 2,526,0.153,16.0,213,0,0.0,NA,213,100.0,3.98 (3.70-4.25)
