tipo_celular,module_size,NIPBL_MM,NIPBL_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,235,0.117,12.0,140,22,15.71,3.90 (3.33-4.48),118,84.29,4.68 (4.37-5.00)
T cells 18,349,0.055,3.0,68,11,16.18,2.84 (1.66-4.03),57,83.82,4.73 (4.15-5.31)
astrocytes 5,1141,0.19,98.0,166,51,30.72,2.83 (2.40-3.27),115,69.28,3.68 (3.39-3.97)
oligodendrocyte progenitor cells 7,448,0.109,26.0,108,0,0.0,NA,108,100.0,3.26 (2.82-3.69)
GABA neurons expressing GLU receptors 22,823,0.077,3.0,23,2,8.7,2.39 (-0.32-5.11),21,91.3,2.40 (1.62-3.18)
GLU like neurons 17,1316,0.11,38.0,101,2,1.98,2.73 (2.33-3.12),99,98.02,3.06 (2.70-3.42)
da like neurons 11,137,0.357,79.0,2,0,0.0,NA,2,100.0,5.16 (NA-NA)
GABA neurons expressing GABA receptors 13,288,0.18,55.0,93,23,24.73,4.43 (3.49-5.36),70,75.27,5.49 (4.93-6.05)
endothelial cells 9,1653,0.227,96.0,297,18,6.06,3.97 (3.39-4.55),279,93.94,3.65 (3.44-3.87)
oligodendrocytes 20,676,0.583,86.0,110,22,20.0,3.80 (3.00-4.60),88,80.0,5.46 (4.97-5.95)
GABA like neurons 14,1300,0.194,44.0,306,40,13.07,3.84 (3.17-4.51),266,86.93,5.38 (5.11-5.64)
astrocytes 8,727,0.174,83.0,29,1,3.45,1.82 (NA-NA),28,96.55,2.39 (1.88-2.90)
oligodendrocyte progenitor cells 12,254,0.3,57.0,37,8,21.62,4.26 (2.82-5.70),29,78.38,4.57 (3.93-5.20)
oligodendrocytes 10,130,0.255,22.0,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,147,0.17,17.0,4,0,0.0,NA,4,100.0,5.34 (4.88-5.80)
astrocytes 15,1401,0.085,49.0,96,7,7.29,2.47 (1.85-3.10),89,92.71,3.72 (3.24-4.20)
oligodendrocytes 16,153,0.433,81.0,14,0,0.0,NA,14,100.0,4.67 (3.94-5.40)
da neurons 6,398,0.2,66.0,138,32,23.19,3.47 (2.82-4.12),106,76.81,5.31 (4.92-5.71)
astrocytes microglia 23,166,0.217,20.0,7,0,0.0,NA,7,100.0,4.32 (3.39-5.25)
astrocytes 4,752,0.171,77.0,96,14,14.58,3.47 (2.74-4.20),82,85.42,3.25 (2.88-3.62)
oligodendrocytes 0,261,0.187,51.0,42,14,33.33,2.94 (1.89-4.00),28,66.67,4.93 (4.22-5.64)
microglia 1,315,0.129,29.0,144,15,10.42,3.95 (2.97-4.94),129,89.58,4.52 (4.20-4.84)
oligodendrocytes 3,116,0.326,91.0,7,2,28.57,0.96 (0.79-1.12),5,71.43,5.55 (4.15-6.96)
oligodendrocytes 2,348,0.088,3.0,114,22,19.3,4.79 (4.12-5.46),92,80.7,5.24 (4.73-5.74)
