tipo_celular,module_size,NBR1_MM,NBR1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,305,0.115,17.0,15,0,0.0,NA,15,100.0,5.79 (5.09-6.49)
T cells 18,393,0.191,70.0,59,3,5.08,3.21 (2.40-4.02),56,94.92,3.10 (2.57-3.63)
astrocytes 5,1656,0.105,33.0,136,6,4.41,NA,130,95.59,3.21 (2.94-3.48)
oligodendrocyte progenitor cells 7,4285,0.11,18.0,353,40,11.33,2.32 (1.69-2.95),313,88.67,4.09 (3.91-4.27)
GABA neurons expressing GLU receptors 22,848,0.088,4.0,262,15,5.73,2.78 (1.74-3.82),247,94.27,4.26 (4.01-4.51)
GLU like neurons 17,1247,0.06,5.0,51,1,1.96,NA,50,98.04,3.62 (3.05-4.20)
da like neurons 11,853,0.117,39.0,133,15,11.28,1.67 (1.03-2.31),118,88.72,3.48 (3.16-3.80)
GABA neurons expressing GABA receptors 13,86,0.204,77.0,4,0,0.0,NA,4,100.0,3.07 (1.41-4.72)
endothelial cells 9,586,0.083,13.0,62,5,8.06,2.90 (2.44-3.36),57,91.94,4.12 (3.65-4.58)
oligodendrocytes 20,403,0.081,35.0,18,9,50.0,0.95 (0.43-1.47),9,50.0,2.81 (1.88-3.73)
GABA like neurons 14,3052,0.158,66.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,1266,0.062,28.0,66,17,25.76,1.89 (1.27-2.51),49,74.24,3.79 (3.36-4.23)
oligodendrocyte progenitor cells 12,3303,0.152,99.0,276,19,6.88,2.01 (1.54-2.49),257,93.12,3.68 (3.45-3.90)
oligodendrocytes 10,735,0.056,16.0,277,2,0.72,NA,275,99.28,3.89 (3.65-4.14)
connective tissue cells 21,145,0.296,51.0,1,0,0.0,NA,1,100.0,NA
astrocytes 15,1768,0.058,21.0,105,20,19.05,2.59 (1.71-3.47),85,80.95,3.36 (3.01-3.72)
oligodendrocytes 16,75,0.17,32.0,1,0,0.0,NA,1,100.0,NA
da neurons 6,518,0.096,34.0,122,15,12.3,1.76 (1.17-2.35),107,87.7,4.42 (4.03-4.81)
astrocytes microglia 23,76,0.284,39.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,787,0.162,70.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36)
oligodendrocytes 0,2078,0.123,67.0,238,9,3.78,4.94 (1.76-8.12),229,96.22,3.61 (3.39-3.83)
microglia 1,1615,0.098,31.0,161,28,17.39,2.27 (1.49-3.05),133,82.61,3.51 (3.25-3.77)
oligodendrocytes 3,743,0.045,6.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55)
oligodendrocytes 2,921,0.134,44.0,200,5,2.5,3.59 (0.95-6.24),195,97.5,3.62 (3.36-3.89)
