tipo_celular,module_size,UBA1_MM,UBA1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,172,0.149,38.0,140,2,1.43,3.18 (3.18-3.18),138,98.57,4.54 (4.11-4.97)
T cells 18,518,0.085,6.0,131,2,1.53,2.77 (1.34-4.20),129,98.47,3.08 (2.80-3.36)
astrocytes 5,1656,0.094,19.0,136,9,6.62,3.01 (2.30-3.72),127,93.38,3.22 (2.94-3.51)
oligodendrocyte progenitor cells 7,4285,0.115,22.0,353,49,13.88,2.43 (2.05-2.80),304,86.12,4.21 (4.02-4.40)
GABA neurons expressing GLU receptors 22,848,0.233,59.0,262,44,16.79,3.45 (3.09-3.81),218,83.21,4.35 (4.06-4.64)
GLU like neurons 17,380,0.244,91.0,39,8,20.51,3.50 (3.00-4.00),31,79.49,2.81 (2.13-3.50)
da like neurons 11,1220,0.135,31.0,410,43,10.49,3.58 (3.27-3.90),367,89.51,4.35 (4.14-4.56)
GABA neurons expressing GABA receptors 13,357,0.141,38.0,237,4,1.69,3.75 (3.30-4.21),233,98.31,4.42 (4.19-4.66)
endothelial cells 9,385,0.138,74.0,275,38,13.82,2.14 (1.71-2.57),237,86.18,4.35 (4.08-4.61)
oligodendrocytes 20,938,0.064,20.0,169,33,19.53,3.36 (2.92-3.80),136,80.47,3.51 (3.26-3.77)
GABA like neurons 14,2402,0.26,58.0,455,61,13.41,2.89 (2.54-3.24),394,86.59,4.65 (4.45-4.84)
astrocytes 8,520,0.125,54.0,288,39,13.54,3.41 (3.10-3.72),249,86.46,4.32 (4.09-4.54)
oligodendrocyte progenitor cells 12,3303,0.055,21.0,276,41,14.86,2.79 (2.42-3.16),235,85.14,3.72 (3.47-3.97)
oligodendrocytes 10,735,0.072,31.0,277,2,0.72,NA,275,99.28,3.89 (3.65-4.14)
connective tissue cells 21,93,0.342,84.0,1,0,0.0,NA,1,100.0,0.26 (NA-NA)
astrocytes 15,1768,0.071,34.0,105,33,31.43,2.53 (2.14-2.92),72,68.57,3.57 (3.12-4.01)
oligodendrocytes 16,104,0.187,28.0,1,1,100.0,0.26 (NA-NA),0,0.0,NA
da neurons 6,300,0.161,49.0,159,5,3.14,3.96 (3.67-4.26),154,96.86,4.38 (4.06-4.70)
astrocytes microglia 23,161,0.367,83.0,7,0,0.0,NA,7,100.0,1.58 (0.74-2.41)
astrocytes 4,787,0.168,80.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36)
oligodendrocytes 0,613,0.106,13.0,127,5,3.94,3.48 (1.56-5.41),122,96.06,3.02 (2.60-3.45)
microglia 1,958,0.084,11.0,290,8,2.76,2.70 (2.04-3.37),282,97.24,3.85 (3.62-4.09)
oligodendrocytes 3,457,0.076,25.0,345,35,10.14,3.75 (3.48-4.03),310,89.86,4.35 (4.11-4.58)
oligodendrocytes 2,921,0.148,70.0,200,9,4.5,3.29 (2.25-4.32),191,95.5,3.64 (3.37-3.92)
