tipo_celular,module_size,CPE_MM,CPE_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,218,0.255,76.0,5,0,0.0,NA,5,100.0,2.33 (0.29-4.37)
T cells 18,282,0.384,93.0,241,0,0.0,NA,241,100.0,4.05 (3.80-4.31)
astrocytes 5,328,0.185,60.0,128,0,0.0,NA,128,100.0,3.57 (3.23-3.91)
oligodendrocyte progenitor cells 7,628,0.241,81.0,164,6,3.66,3.98 (2.87-5.09),158,96.34,4.09 (3.75-4.43)
GABA neurons expressing GLU receptors 22,848,0.266,69.0,262,17,6.49,2.93 (2.00-3.86),245,93.51,4.25 (4.00-4.50)
GLU like neurons 17,1316,0.17,84.0,101,2,1.98,2.76 (2.30-3.22),99,98.02,3.06 (2.70-3.42)
da like neurons 11,1220,0.272,76.0,410,17,4.15,3.39 (2.64-4.13),393,95.85,4.29 (4.10-4.48)
GABA neurons expressing GABA receptors 13,357,0.273,85.0,237,3,1.27,4.36 (3.24-5.48),234,98.73,4.41 (4.17-4.64)
endothelial cells 9,586,0.407,82.0,62,1,1.61,2.43 (NA-NA),61,98.39,4.08 (3.63-4.53)
oligodendrocytes 20,228,0.074,12.0,5,2,40.0,1.10 (-0.55-2.76),3,60.0,4.69 (2.53-6.85)
GABA like neurons 14,2402,0.367,76.0,455,27,5.93,2.14 (1.47-2.80),428,94.07,4.51 (4.33-4.69)
astrocytes 8,727,0.18,84.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86)
oligodendrocyte progenitor cells 12,153,0.473,79.0,27,1,3.7,0.95 (NA-NA),26,96.3,5.08 (4.23-5.92)
oligodendrocytes 10,806,0.471,95.0,261,10,3.83,3.12 (1.85-4.39),251,96.17,4.40 (4.16-4.65)
connective tissue cells 21,301,0.222,9.0,158,4,2.53,2.06 (0.88-3.25),154,97.47,4.34 (3.97-4.71)
astrocytes 15,418,0.285,70.0,54,1,1.85,1.29 (NA-NA),53,98.15,3.73 (3.30-4.17)
oligodendrocytes 16,313,0.483,93.0,291,10,3.44,3.32 (2.40-4.24),281,96.56,4.37 (4.14-4.60)
da neurons 6,300,0.333,92.0,159,2,1.26,5.01 (4.82-5.19),157,98.74,4.35 (4.04-4.67)
astrocytes microglia 23,166,0.416,90.0,7,2,28.57,2.53 (2.34-2.73),5,71.43,5.03 (4.70-5.36)
astrocytes 4,255,0.142,25.0,12,0,0.0,NA,12,100.0,4.62 (3.76-5.48)
oligodendrocytes 0,116,0.192,63.0,169,0,0.0,NA,169,100.0,4.28 (3.98-4.57)
microglia 1,214,0.347,88.0,227,10,4.41,3.50 (2.46-4.54),217,95.59,4.11 (3.87-4.35)
oligodendrocytes 3,457,0.248,89.0,345,19,5.51,3.47 (2.91-4.03),326,94.49,4.33 (4.11-4.54)
oligodendrocytes 2,99,0.274,57.0,116,0,0.0,NA,116,100.0,3.96 (3.66-4.26)
