tipo_celular,module_size,RAP1GDS1_MM,RAP1GDS1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,401,0.124,24.0,19,0,0.0,NA,19,100.0,2.52 (1.81-3.24)
T cells 18,388,0.296,91.0,84,1,1.19,NA,83,98.81,2.97 (2.65-3.30)
astrocytes 5,1141,0.145,70.0,166,11,6.63,2.08 (0.94-3.22),155,93.37,3.50 (3.26-3.75)
oligodendrocyte progenitor cells 7,666,0.282,90.0,127,10,7.87,2.37 (0.99-3.76),117,92.13,3.94 (3.60-4.28)
GABA neurons expressing GLU receptors 22,459,0.124,31.0,165,3,1.82,0.90 (0.75-1.04),162,98.18,5.18 (4.85-5.51)
GLU like neurons 17,795,0.116,41.0,80,0,0.0,NA,80,100.0,5.68 (5.27-6.09)
da like neurons 11,153,0.345,84.0,2,0,0.0,NA,2,100.0,5.80 (NA-NA)
GABA neurons expressing GABA receptors 13,357,0.18,60.0,237,9,3.8,4.03 (3.79-4.26),228,96.2,4.43 (4.18-4.67)
endothelial cells 9,450,0.15,30.0,74,1,1.35,1.74 (NA-NA),73,98.65,5.54 (5.00-6.08)
oligodendrocytes 20,676,0.36,63.0,110,6,5.45,1.68 (0.87-2.49),104,94.55,5.27 (4.85-5.69)
GABA like neurons 14,1300,0.119,13.0,306,16,5.23,2.42 (1.66-3.19),290,94.77,5.30 (5.05-5.56)
astrocytes 8,727,0.209,92.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86)
oligodendrocyte progenitor cells 12,708,0.128,57.0,25,4,16.0,3.19 (0.82-5.57),21,84.0,2.79 (1.69-3.89)
oligodendrocytes 10,130,0.326,32.0,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,126,0.239,24.0,7,1,14.29,0.82 (NA-NA),6,85.71,1.64 (0.49-2.79)
astrocytes 15,261,0.126,34.0,8,3,37.5,1.39 (-0.70-3.48),5,62.5,5.40 (3.54-7.25)
oligodendrocytes 16,153,0.347,45.0,14,1,7.14,3.79 (NA-NA),13,92.86,4.74 (3.97-5.52)
da neurons 6,409,0.282,93.0,235,8,3.4,3.14 (1.99-4.29),227,96.6,4.02 (3.76-4.27)
astrocytes microglia 23,37,0.18,0.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,514,0.184,50.0,95,4,4.21,1.91 (-0.08-3.90),91,95.79,3.45 (3.03-3.88)
oligodendrocytes 0,261,0.145,25.0,42,6,14.29,1.22 (0.89-1.56),36,85.71,4.72 (4.10-5.33)
microglia 1,958,0.088,16.0,290,12,4.14,2.29 (1.55-3.02),278,95.86,3.89 (3.66-4.12)
oligodendrocytes 3,116,0.208,7.0,7,2,28.57,0.96 (0.79-1.12),5,71.43,5.55 (4.15-6.96)
oligodendrocytes 2,237,0.164,25.0,26,0,0.0,NA,26,100.0,5.22 (4.28-6.15)
