tipo_celular,module_size,RTF1_MM,RTF1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,211,0.114,20.0,47,0,0.0,NA,47,100.0,2.59 (2.10-3.08)
T cells 18,477,0.112,17.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53)
astrocytes 5,1656,0.091,15.0,136,13,9.56,3.06 (2.14-3.99),123,90.44,3.22 (2.94-3.51)
oligodendrocyte progenitor cells 7,628,0.111,12.0,164,0,0.0,NA,164,100.0,4.08 (3.76-4.41)
GABA neurons expressing GLU receptors 22,1069,0.068,2.0,37,5,13.51,2.19 (1.75-2.64),32,86.49,2.15 (1.61-2.69)
GLU like neurons 17,380,0.165,44.0,39,3,7.69,2.50 (1.67-3.34),36,92.31,3.01 (2.41-3.61)
da like neurons 11,1220,0.178,50.0,410,5,1.22,1.78 (0.77-2.79),405,98.78,4.29 (4.10-4.48)
GABA neurons expressing GABA receptors 13,200,0.105,11.0,34,2,5.88,3.66 (3.64-3.69),32,94.12,3.91 (2.95-4.87)
endothelial cells 9,916,0.102,15.0,302,1,0.33,0.21 (NA-NA),301,99.67,4.00 (3.77-4.22)
oligodendrocytes 20,221,0.205,54.0,12,0,0.0,NA,12,100.0,2.42 (0.83-4.00)
GABA like neurons 14,2402,0.289,64.0,455,24,5.27,1.49 (1.10-1.88),431,94.73,4.57 (4.39-4.74)
astrocytes 8,603,0.034,5.0,89,8,8.99,1.22 (1.03-1.40),81,91.01,2.98 (2.61-3.34)
oligodendrocyte progenitor cells 12,3303,0.037,6.0,276,43,15.58,2.06 (1.78-2.33),233,84.42,3.92 (3.69-4.16)
oligodendrocytes 10,735,0.176,83.0,277,0,0.0,NA,277,100.0,3.89 (3.65-4.14)
connective tissue cells 21,112,0.24,49.0,7,2,28.57,2.00 (1.71-2.28),5,71.43,1.94 (0.81-3.06)
astrocytes 15,1768,0.049,13.0,105,22,20.95,1.70 (1.34-2.06),83,79.05,3.66 (3.29-4.02)
oligodendrocytes 16,113,0.137,6.0,10,1,10.0,1.82 (NA-NA),9,90.0,3.06 (2.20-3.93)
da neurons 6,448,0.089,35.0,43,6,13.95,3.78 (3.48-4.08),37,86.05,3.18 (2.56-3.80)
astrocytes microglia 23,43,0.301,22.0,3,1,33.33,1.82 (NA-NA),2,66.67,NA
astrocytes 4,1807,0.128,21.0,104,31,29.81,1.91 (1.53-2.29),73,70.19,3.32 (3.00-3.64)
oligodendrocytes 0,2078,0.089,8.0,238,15,6.3,2.75 (2.15-3.35),223,93.7,3.70 (3.47-3.93)
microglia 1,214,0.065,0.0,227,0,0.0,NA,227,100.0,4.09 (3.86-4.33)
oligodendrocytes 3,357,0.057,15.0,127,1,0.79,2.33 (NA-NA),126,99.21,3.13 (2.79-3.46)
oligodendrocytes 2,1630,0.104,4.0,154,3,1.95,4.47 (4.47-4.47),151,98.05,3.23 (2.96-3.49)
