tipo_celular,module_size,ANKRD17_MM,ANKRD17_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,181,0.126,8.0,8,0,0.0,NA,8,100.0,1.27 (0.48-2.07)
T cells 18,388,0.16,55.0,84,4,4.76,3.13 (2.09-4.16),80,95.24,2.97 (2.63-3.31)
astrocytes 5,1141,0.155,80.0,166,25,15.06,1.87 (1.49-2.25),141,84.94,3.71 (3.46-3.97)
oligodendrocyte progenitor cells 7,448,0.079,8.0,108,0,0.0,NA,108,100.0,3.26 (2.82-3.69)
GABA neurons expressing GLU receptors 22,400,0.092,3.0,24,8,33.33,0.87 (0.38-1.35),16,66.67,2.80 (2.33-3.27)
GLU like neurons 17,229,0.204,54.0,22,0,0.0,NA,22,100.0,2.52 (1.91-3.13)
da like neurons 11,153,0.41,93.0,2,0,0.0,NA,2,100.0,5.80 (NA-NA)
GABA neurons expressing GABA receptors 13,88,0.139,42.0,2,0,0.0,NA,2,100.0,NA
endothelial cells 9,1653,0.174,80.0,297,16,5.39,3.67 (3.30-4.04),281,94.61,3.67 (3.46-3.89)
oligodendrocytes 20,676,0.488,78.0,110,5,4.55,1.31 (0.80-1.82),105,95.45,5.24 (4.83-5.66)
GABA like neurons 14,1300,0.123,14.0,306,15,4.9,2.12 (1.51-2.73),291,95.1,5.31 (5.06-5.56)
astrocytes 8,727,0.244,97.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86)
oligodendrocyte progenitor cells 12,254,0.154,22.0,37,7,18.92,2.87 (2.43-3.31),30,81.08,4.97 (4.35-5.59)
oligodendrocytes 10,130,0.296,28.0,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,147,0.247,57.0,4,0,0.0,NA,4,100.0,5.34 (4.88-5.80)
astrocytes 15,367,0.126,39.0,17,0,0.0,NA,17,100.0,2.08 (1.12-3.04)
oligodendrocytes 16,153,0.377,54.0,14,0,0.0,NA,14,100.0,4.67 (3.94-5.40)
da neurons 6,518,0.13,70.0,122,10,8.2,1.30 (0.70-1.91),112,91.8,4.31 (3.93-4.69)
astrocytes microglia 23,112,0.15,2.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,752,0.156,53.0,96,7,7.29,2.22 (1.68-2.76),89,92.71,3.40 (3.05-3.75)
oligodendrocytes 0,261,0.158,34.0,42,8,19.05,1.36 (1.04-1.68),34,80.95,4.96 (4.41-5.52)
microglia 1,315,0.119,22.0,144,1,0.69,1.62 (NA-NA),143,99.31,4.48 (4.18-4.79)
oligodendrocytes 3,116,0.277,56.0,7,2,28.57,0.96 (0.79-1.12),5,71.43,5.55 (4.15-6.96)
oligodendrocytes 2,804,0.147,45.0,84,3,3.57,0.66 (0.21-1.11),81,96.43,2.78 (2.45-3.12)
