tipo_celular,module_size,VPS51_MM,VPS51_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,184,0.235,68.0,21,13,61.9,1.73 (0.99-2.46),8,38.1,3.37 (2.71-4.02)
T cells 18,624,0.164,60.0,142,1,0.7,6.89 (NA-NA),141,99.3,3.18 (2.92-3.44)
astrocytes 5,932,0.086,16.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08)
oligodendrocyte progenitor cells 7,4285,0.119,26.0,353,47,13.31,2.99 (2.41-3.58),306,86.69,4.08 (3.89-4.26)
GABA neurons expressing GLU receptors 22,599,0.173,30.0,22,0,0.0,NA,22,100.0,2.24 (1.45-3.03)
GLU like neurons 17,1247,0.079,14.0,51,2,3.92,2.04 (1.96-2.12),49,96.08,3.70 (3.11-4.30)
da like neurons 11,408,0.09,17.0,25,5,20.0,1.73 (0.88-2.57),20,80.0,5.58 (4.15-7.00)
GABA neurons expressing GABA receptors 13,90,0.118,17.0,4,1,25.0,2.24 (NA-NA),3,75.0,6.38 (3.80-8.96)
endothelial cells 9,338,0.05,1.0,191,7,3.66,3.81 (2.61-5.01),184,96.34,3.89 (3.66-4.12)
oligodendrocytes 20,322,0.08,29.0,10,0,0.0,NA,10,100.0,1.41 (0.38-2.43)
GABA like neurons 14,2090,0.13,32.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32)
astrocytes 8,1266,0.062,28.0,66,19,28.79,1.76 (1.22-2.30),47,71.21,3.96 (3.56-4.36)
oligodendrocyte progenitor cells 12,708,0.048,15.0,32,9,28.12,1.10 (0.55-1.65),23,71.88,4.26 (3.43-5.10)
oligodendrocytes 10,483,0.096,41.0,129,0,0.0,NA,129,100.0,3.43 (3.04-3.82)
connective tissue cells 21,96,0.371,88.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1401,0.096,59.0,96,4,4.17,1.84 (1.52-2.16),92,95.83,3.71 (3.24-4.17)
oligodendrocytes 16,105,0.246,67.0,12,0,0.0,NA,12,100.0,2.24 (1.48-3.00)
da neurons 6,409,0.086,22.0,235,6,2.55,3.28 (1.54-5.01),229,97.45,4.00 (3.75-4.25)
astrocytes microglia 23,107,0.275,23.0,1,0,0.0,NA,1,100.0,3.12 (NA-NA)
astrocytes 4,787,0.131,16.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36)
oligodendrocytes 0,2078,0.093,12.0,238,13,5.46,3.88 (2.86-4.90),225,94.54,3.62 (3.39-3.84)
microglia 1,1615,0.072,4.0,161,26,16.15,2.15 (1.51-2.79),135,83.85,3.55 (3.28-3.82)
oligodendrocytes 3,1003,0.039,2.0,111,2,1.8,5.76 (3.97-7.55),109,98.2,3.25 (2.91-3.59)
oligodendrocytes 2,921,0.122,25.0,200,7,3.5,3.00 (2.10-3.90),193,96.5,3.65 (3.38-3.92)
