tipo_celular,module_size,TBL1XR1_MM,TBL1XR1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,235,0.155,27.0,140,7,5.0,2.55 (2.04-3.06),133,95.0,4.68 (4.39-4.96)
T cells 18,388,0.207,74.0,84,9,10.71,2.54 (2.25-2.83),75,89.29,3.03 (2.66-3.39)
astrocytes 5,1141,0.186,97.0,166,52,31.33,2.68 (2.35-3.00),114,68.67,3.83 (3.50-4.15)
oligodendrocyte progenitor cells 7,448,0.084,10.0,108,2,1.85,6.11 (5.67-6.55),106,98.15,3.18 (2.75-3.62)
GABA neurons expressing GLU receptors 22,459,0.125,32.0,165,8,4.85,2.12 (1.36-2.88),157,95.15,5.29 (4.96-5.62)
GLU like neurons 17,1316,0.112,39.0,101,1,0.99,4.05 (NA-NA),100,99.01,3.04 (2.69-3.39)
da like neurons 11,289,0.244,74.0,6,0,0.0,NA,6,100.0,2.89 (2.54-3.24)
GABA neurons expressing GABA receptors 13,200,0.142,43.0,34,3,8.82,3.58 (3.41-3.75),31,91.18,3.93 (2.92-4.94)
endothelial cells 9,1653,0.183,84.0,297,5,1.68,4.93 (4.47-5.39),292,98.32,3.65 (3.45-3.86)
oligodendrocytes 20,233,0.199,53.0,5,0,0.0,NA,5,100.0,0.63 (-0.10-1.37)
GABA like neurons 14,1300,0.223,58.0,306,16,5.23,2.45 (1.85-3.06),290,94.77,5.31 (5.06-5.57)
astrocytes 8,354,0.235,93.0,8,0,0.0,NA,8,100.0,0.78 (0.08-1.47)
oligodendrocyte progenitor cells 12,254,0.306,59.0,37,9,24.32,4.05 (2.91-5.19),28,75.68,4.68 (4.01-5.35)
oligodendrocytes 10,2107,0.315,91.0,358,90,25.14,2.54 (2.28-2.81),268,74.86,4.53 (4.34-4.72)
connective tissue cells 21,147,0.139,7.0,4,2,50.0,5.73 (5.42-6.03),2,50.0,4.95 (4.74-5.17)
astrocytes 15,377,0.165,60.0,14,6,42.86,1.90 (0.46-3.34),8,57.14,2.49 (0.01-4.97)
oligodendrocytes 16,108,0.158,42.0,5,1,20.0,2.46 (NA-NA),4,80.0,4.35 (3.43-5.27)
da neurons 6,398,0.179,60.0,138,22,15.94,2.57 (1.98-3.17),116,84.06,5.35 (4.99-5.70)
astrocytes microglia 23,229,0.25,33.0,99,0,0.0,NA,99,100.0,4.30 (3.96-4.63)
astrocytes 4,752,0.175,82.0,96,16,16.67,2.75 (2.36-3.14),80,83.33,3.43 (3.03-3.83)
oligodendrocytes 0,1186,0.201,99.0,300,17,5.67,3.53 (3.22-3.83),283,94.33,3.81 (3.59-4.03)
microglia 1,315,0.183,57.0,144,1,0.69,1.62 (NA-NA),143,99.31,4.48 (4.18-4.79)
oligodendrocytes 3,1003,0.174,91.0,111,2,1.8,3.47 (1.98-4.96),109,98.2,3.30 (2.95-3.65)
oligodendrocytes 2,804,0.128,22.0,84,14,16.67,3.10 (2.32-3.88),70,83.33,2.58 (2.21-2.95)
