tipo_celular,module_size,GSK3B_MM,GSK3B_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,401,0.192,72.0,19,0,0.0,NA,19,100.0,2.52 (1.81-3.24)
T cells 18,388,0.156,53.0,84,4,4.76,2.97 (2.20-3.74),80,95.24,2.97 (2.63-3.32)
astrocytes 5,1141,0.158,83.0,166,65,39.16,3.16 (2.80-3.52),101,60.84,3.58 (3.23-3.92)
oligodendrocyte progenitor cells 7,448,0.105,23.0,108,5,4.63,5.84 (4.19-7.49),103,95.37,3.12 (2.69-3.56)
GABA neurons expressing GLU receptors 22,459,0.035,1.0,165,31,18.79,3.76 (3.04-4.48),134,81.21,5.45 (5.09-5.81)
GLU like neurons 17,380,0.228,85.0,39,13,33.33,3.41 (2.97-3.85),26,66.67,2.72 (1.90-3.53)
da like neurons 11,289,0.292,88.0,6,0,0.0,NA,6,100.0,2.89 (2.54-3.24)
GABA neurons expressing GABA receptors 13,200,0.2,79.0,34,4,11.76,4.35 (2.83-5.87),30,88.24,3.79 (2.77-4.81)
endothelial cells 9,412,0.265,81.0,141,19,13.48,3.96 (3.02-4.90),122,86.52,2.81 (2.58-3.03)
oligodendrocytes 20,403,0.18,70.0,18,13,72.22,1.41 (0.80-2.02),5,27.78,3.09 (1.61-4.58)
GABA like neurons 14,1300,0.107,10.0,306,125,40.85,4.55 (4.15-4.94),181,59.15,5.60 (5.27-5.93)
astrocytes 8,354,0.209,89.0,8,0,0.0,NA,8,100.0,0.78 (0.08-1.47)
oligodendrocyte progenitor cells 12,153,0.336,25.0,27,6,22.22,3.48 (1.66-5.30),21,77.78,5.33 (4.28-6.38)
oligodendrocytes 10,2107,0.187,65.0,358,114,31.84,2.97 (2.67-3.27),244,68.16,4.42 (4.21-4.63)
connective tissue cells 21,114,0.15,4.0,19,10,52.63,4.25 (3.18-5.31),9,47.37,5.63 (4.96-6.30)
astrocytes 15,377,0.157,53.0,14,10,71.43,2.59 (1.20-3.98),4,28.57,0.32 (0.20-0.45)
oligodendrocytes 16,78,0.133,12.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,553,0.194,83.0,124,22,17.74,4.46 (3.71-5.22),102,82.26,4.11 (3.65-4.56)
astrocytes microglia 23,253,0.248,45.0,47,7,14.89,2.71 (1.85-3.58),40,85.11,2.87 (2.51-3.23)
astrocytes 4,752,0.191,95.0,96,37,38.54,3.91 (3.40-4.43),59,61.46,2.91 (2.52-3.31)
oligodendrocytes 0,1186,0.151,61.0,300,46,15.33,4.61 (4.08-5.14),254,84.67,3.64 (3.43-3.86)
microglia 1,1615,0.059,1.0,161,72,44.72,2.91 (2.52-3.30),89,55.28,3.68 (3.34-4.03)
oligodendrocytes 3,854,0.112,73.0,76,15,19.74,3.74 (2.96-4.52),61,80.26,2.60 (2.25-2.95)
oligodendrocytes 2,804,0.206,92.0,84,40,47.62,3.30 (2.87-3.73),44,52.38,2.06 (1.64-2.48)
