tipo_celular,module_size,PSMA7_MM,PSMA7_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,211,0.258,89.0,47,0,0.0,NA,47,100.0,2.59 (2.10-3.08)
T cells 18,506,0.178,48.0,225,12,5.33,3.43 (2.45-4.42),213,94.67,3.62 (3.36-3.88)
astrocytes 5,328,0.147,40.0,128,0,0.0,NA,128,100.0,3.57 (3.23-3.91)
oligodendrocyte progenitor cells 7,628,0.191,65.0,164,4,2.44,4.02 (3.77-4.27),160,97.56,4.09 (3.75-4.43)
GABA neurons expressing GLU receptors 22,848,0.176,35.0,262,22,8.4,3.14 (2.51-3.77),240,91.6,4.27 (4.01-4.53)
GLU like neurons 17,229,0.252,81.0,22,0,0.0,NA,22,100.0,2.52 (1.91-3.13)
da like neurons 11,1220,0.347,88.0,410,25,6.1,3.28 (2.81-3.75),385,93.9,4.32 (4.13-4.52)
GABA neurons expressing GABA receptors 13,417,0.207,74.0,213,37,17.37,2.45 (1.92-2.97),176,82.63,4.08 (3.83-4.33)
endothelial cells 9,916,0.426,87.0,302,9,2.98,3.40 (2.47-4.33),293,97.02,4.00 (3.77-4.23)
oligodendrocytes 20,938,0.142,57.0,169,18,10.65,3.17 (2.48-3.86),151,89.35,3.52 (3.28-3.75)
GABA like neurons 14,2402,0.663,98.0,455,40,8.79,2.48 (2.01-2.95),415,91.21,4.57 (4.39-4.76)
astrocytes 8,520,0.144,59.0,288,23,7.99,3.22 (2.71-3.74),265,92.01,4.26 (4.05-4.47)
oligodendrocyte progenitor cells 12,1049,0.175,81.0,235,10,4.26,3.92 (3.58-4.25),225,95.74,3.82 (3.58-4.06)
oligodendrocytes 10,735,0.267,97.0,277,4,1.44,4.03 (3.69-4.37),273,98.56,3.89 (3.65-4.14)
connective tissue cells 21,301,0.333,39.0,158,4,2.53,1.70 (0.38-3.02),154,97.47,4.35 (3.99-4.72)
astrocytes 15,418,0.054,30.0,54,0,0.0,NA,54,100.0,3.68 (3.24-4.12)
oligodendrocytes 16,313,0.152,20.0,291,2,0.69,1.94 (-0.79-4.68),289,99.31,4.35 (4.12-4.57)
da neurons 6,729,0.264,90.0,182,1,0.55,NA,181,99.45,3.64 (3.38-3.89)
astrocytes microglia 23,41,0.334,53.0,2,0,0.0,NA,2,100.0,1.57 (1.57-1.57)
astrocytes 4,1807,0.133,28.0,104,22,21.15,2.09 (1.58-2.59),82,78.85,3.09 (2.78-3.41)
oligodendrocytes 0,546,0.219,72.0,252,36,14.29,2.51 (1.99-3.03),216,85.71,4.40 (4.15-4.65)
microglia 1,406,0.183,50.0,278,0,0.0,NA,278,100.0,4.36 (4.09-4.63)
oligodendrocytes 3,457,0.09,34.0,345,19,5.51,3.88 (3.72-4.04),326,94.49,4.30 (4.08-4.52)
oligodendrocytes 2,526,0.288,57.0,213,3,1.41,4.03 (3.69-4.37),210,98.59,3.98 (3.70-4.26)
