tipo_celular,module_size,CRBN_MM,CRBN_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,211,0.132,32.0,47,2,4.26,3.93 (2.95-4.91),45,95.74,2.51 (2.01-3.01)
T cells 18,624,0.112,19.0,142,0,0.0,NA,142,100.0,3.21 (2.94-3.48)
astrocytes 5,1656,0.106,34.0,136,3,2.21,3.37 (1.84-4.90),133,97.79,3.20 (2.93-3.48)
oligodendrocyte progenitor cells 7,4285,0.167,92.0,353,37,10.48,2.56 (2.04-3.08),316,89.52,4.10 (3.91-4.29)
GABA neurons expressing GLU receptors 22,599,0.15,22.0,22,1,4.55,0.94 (NA-NA),21,95.45,2.31 (1.48-3.13)
GLU like neurons 17,1316,0.095,24.0,101,3,2.97,3.90 (2.95-4.85),98,97.03,3.02 (2.66-3.38)
da like neurons 11,1220,0.108,19.0,410,18,4.39,3.22 (2.66-3.77),392,95.61,4.31 (4.12-4.51)
GABA neurons expressing GABA receptors 13,88,0.167,63.0,2,0,0.0,NA,2,100.0,NA
endothelial cells 9,658,0.105,14.0,120,12,10.0,2.76 (2.41-3.12),108,90.0,4.85 (4.52-5.17)
oligodendrocytes 20,322,0.101,38.0,10,0,0.0,NA,10,100.0,1.41 (0.38-2.43)
GABA like neurons 14,2402,0.223,48.0,455,29,6.37,2.44 (1.83-3.04),426,93.63,4.53 (4.34-4.71)
astrocytes 8,354,0.123,51.0,8,0,0.0,NA,8,100.0,0.78 (0.08-1.47)
oligodendrocyte progenitor cells 12,708,0.095,40.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99)
oligodendrocytes 10,806,0.148,46.0,261,0,0.0,NA,261,100.0,4.36 (4.12-4.61)
connective tissue cells 21,93,0.221,22.0,1,0,0.0,NA,1,100.0,0.26 (NA-NA)
astrocytes 15,458,0.098,54.0,36,0,0.0,NA,36,100.0,3.77 (2.68-4.85)
oligodendrocytes 16,107,0.206,38.0,11,2,18.18,0.85 (0.21-1.49),9,81.82,1.63 (0.84-2.42)
da neurons 6,228,0.094,45.0,2,0,0.0,NA,2,100.0,2.12 (-0.17-4.40)
astrocytes microglia 23,58,0.361,85.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,787,0.173,86.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36)
oligodendrocytes 0,613,0.154,60.0,127,3,2.36,1.78 (0.87-2.70),124,97.64,3.10 (2.68-3.53)
microglia 1,1615,0.136,81.0,161,32,19.88,2.43 (1.85-3.01),129,80.12,3.54 (3.26-3.83)
oligodendrocytes 3,681,0.113,65.0,87,17,19.54,1.92 (1.31-2.53),70,80.46,2.76 (2.47-3.05)
oligodendrocytes 2,921,0.134,43.0,200,4,2.0,3.32 (2.24-4.41),196,98.0,3.63 (3.36-3.90)
