tipo_celular,module_size,STARD7_MM,STARD7_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,351,0.262,98.0,71,0,0.0,NA,71,100.0,2.62 (2.21-3.03)
T cells 18,624,0.148,46.0,142,0,0.0,NA,142,100.0,3.21 (2.94-3.48)
astrocytes 5,1656,0.109,39.0,136,0,0.0,NA,136,100.0,3.21 (2.94-3.48)
oligodendrocyte progenitor cells 7,4285,0.139,56.0,353,12,3.4,1.18 (0.68-1.67),341,96.6,4.01 (3.83-4.19)
GABA neurons expressing GLU receptors 22,487,0.184,37.0,73,0,0.0,NA,73,100.0,2.75 (2.37-3.14)
GLU like neurons 17,1316,0.102,30.0,101,1,0.99,2.12 (NA-NA),100,99.01,3.06 (2.71-3.42)
da like neurons 11,1220,0.089,10.0,410,10,2.44,2.79 (1.87-3.70),400,97.56,4.30 (4.11-4.49)
GABA neurons expressing GABA receptors 13,238,0.163,50.0,36,0,0.0,NA,36,100.0,3.88 (3.35-4.40)
endothelial cells 9,559,0.089,18.0,155,0,0.0,NA,155,100.0,4.34 (3.97-4.70)
oligodendrocytes 20,275,0.121,20.0,17,0,0.0,NA,17,100.0,1.72 (1.15-2.29)
GABA like neurons 14,2402,0.113,12.0,455,14,3.08,1.53 (0.86-2.20),441,96.92,4.47 (4.29-4.65)
astrocytes 8,520,0.069,23.0,288,11,3.82,2.65 (1.78-3.52),277,96.18,4.25 (4.05-4.45)
oligodendrocyte progenitor cells 12,3303,0.085,58.0,276,4,1.45,1.61 (0.91-2.31),272,98.55,3.58 (3.36-3.80)
oligodendrocytes 10,735,0.119,63.0,277,0,0.0,NA,277,100.0,3.89 (3.65-4.14)
connective tissue cells 21,139,0.373,83.0,4,0,0.0,NA,4,100.0,3.51 (2.25-4.78)
astrocytes 15,443,0.225,90.0,9,1,11.11,0.95 (NA-NA),8,88.89,3.60 (2.32-4.88)
oligodendrocytes 16,71,0.196,63.0,1,0,0.0,NA,1,100.0,0.26 (NA-NA)
da neurons 6,553,0.11,35.0,124,2,1.61,1.26 (-0.42-2.94),122,98.39,4.25 (3.86-4.64)
astrocytes microglia 23,124,0.258,20.0,1,0,0.0,NA,1,100.0,4.05 (NA-NA)
astrocytes 4,1807,0.154,68.0,104,4,3.85,1.48 (0.36-2.59),100,96.15,2.92 (2.64-3.21)
oligodendrocytes 0,613,0.185,82.0,127,0,0.0,NA,127,100.0,3.05 (2.64-3.46)
microglia 1,958,0.099,29.0,290,0,0.0,NA,290,100.0,3.81 (3.58-4.04)
oligodendrocytes 3,743,0.067,27.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55)
oligodendrocytes 2,528,0.191,44.0,175,2,1.14,2.08 (0.54-3.61),173,98.86,4.42 (4.07-4.77)
