tipo_celular,module_size,MTDH_MM,MTDH_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,395,0.156,48.0,97,4,4.12,3.77 (3.66-3.88),93,95.88,3.02 (2.61-3.43)
T cells 18,518,0.219,83.0,131,5,3.82,4.64 (2.66-6.61),126,96.18,3.00 (2.73-3.27)
astrocytes 5,423,0.104,17.0,80,2,2.5,1.04 (NA-NA),78,97.5,3.44 (2.96-3.91)
oligodendrocyte progenitor cells 7,628,0.12,18.0,164,6,3.66,3.48 (2.60-4.36),158,96.34,4.12 (3.78-4.46)
GABA neurons expressing GLU receptors 22,400,0.25,79.0,24,9,37.5,1.42 (0.41-2.43),15,62.5,2.60 (2.17-3.03)
GLU like neurons 17,685,0.122,43.0,135,45,33.33,2.67 (2.25-3.10),90,66.67,3.51 (3.11-3.92)
da like neurons 11,197,0.256,64.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,357,0.129,32.0,237,5,2.11,5.28 (4.15-6.41),232,97.89,4.38 (4.15-4.62)
endothelial cells 9,586,0.085,14.0,62,3,4.84,5.03 (2.45-7.60),59,95.16,3.99 (3.54-4.44)
oligodendrocytes 20,271,0.097,15.0,8,2,25.0,5.98 (5.98-5.98),6,75.0,2.50 (1.33-3.67)
GABA like neurons 14,1300,0.111,11.0,306,33,10.78,3.03 (2.54-3.52),273,89.22,5.46 (5.20-5.72)
astrocytes 8,577,0.088,53.0,83,7,8.43,2.12 (0.91-3.33),76,91.57,3.32 (2.86-3.79)
oligodendrocyte progenitor cells 12,218,0.368,80.0,1,0,0.0,NA,1,100.0,2.68 (NA-NA)
oligodendrocytes 10,130,0.107,7.0,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,110,0.248,39.0,13,3,23.08,2.96 (0.85-5.08),10,76.92,3.16 (2.22-4.10)
astrocytes 15,458,0.044,13.0,36,1,2.78,NA,35,97.22,3.77 (2.68-4.85)
oligodendrocytes 16,81,0.202,63.0,1,0,0.0,NA,1,100.0,NA
da neurons 6,518,0.173,88.0,122,16,13.11,2.20 (1.51-2.89),106,86.89,4.36 (3.95-4.77)
astrocytes microglia 23,89,0.201,7.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,514,0.158,33.0,95,7,7.37,1.30 (0.81-1.78),88,92.63,3.52 (3.09-3.95)
oligodendrocytes 0,613,0.152,57.0,127,21,16.54,2.54 (2.07-3.01),106,83.46,3.20 (2.69-3.71)
microglia 1,813,0.124,59.0,79,8,10.13,3.40 (2.77-4.03),71,89.87,3.06 (2.62-3.51)
oligodendrocytes 3,743,0.097,69.0,76,5,6.58,3.76 (3.68-3.85),71,93.42,3.11 (2.69-3.54)
oligodendrocytes 2,528,0.296,84.0,175,14,8.0,3.61 (3.04-4.19),161,92.0,4.48 (4.10-4.87)
