tipo_celular,module_size,SPIRE1_MM,SPIRE1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,401.0,0.366,99.0,19,0,0.0,NA,19,100.0,2.52 (1.81-3.24)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,118.0,0.25,77.0,8,1,12.5,8.28 (NA-NA),7,87.5,3.59 (2.04-5.14)
oligodendrocyte progenitor cells 7,666.0,0.141,29.0,127,12,9.45,2.21 (1.55-2.87),115,90.55,4.09 (3.75-4.44)
GABA neurons expressing GLU receptors 22,1069.0,0.253,94.0,37,1,2.7,1.52 (NA-NA),36,97.3,2.18 (1.71-2.64)
GLU like neurons 17,489.0,0.089,17.0,42,0,0.0,NA,42,100.0,5.99 (5.44-6.55)
da like neurons 11,209.0,0.43,93.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,77.0,0.184,54.0,8,3,37.5,2.34 (0.87-3.81),5,62.5,3.97 (3.44-4.51)
endothelial cells 9,1653.0,0.145,64.0,297,10,3.37,3.86 (3.32-4.40),287,96.63,3.67 (3.45-3.88)
oligodendrocytes 20,295.0,0.111,19.0,28,1,3.57,1.43 (NA-NA),27,96.43,2.22 (1.75-2.70)
GABA like neurons 14,1300.0,0.259,74.0,306,29,9.48,3.08 (2.44-3.71),277,90.52,5.42 (5.17-5.68)
astrocytes 8,140.0,0.255,80.0,1,0,0.0,NA,1,100.0,NA
oligodendrocyte progenitor cells 12,3303.0,0.133,95.0,276,41,14.86,2.32 (2.03-2.61),235,85.14,3.84 (3.60-4.08)
oligodendrocytes 10,1277.0,0.115,55.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,114.0,0.253,35.0,11,2,18.18,0.79 (0.03-1.55),9,81.82,1.81 (0.52-3.10)
astrocytes 15,268.0,0.237,81.0,10,3,30.0,2.54 (1.92-3.15),7,70.0,4.38 (1.80-6.97)
oligodendrocytes 16,151.0,0.183,44.0,7,0,0.0,NA,7,100.0,1.31 (0.28-2.35)
da neurons 6,448.0,0.118,68.0,43,0,0.0,NA,43,100.0,3.28 (2.76-3.80)
astrocytes microglia 23,166.0,0.226,23.0,7,2,28.57,2.53 (2.34-2.73),5,71.43,5.03 (4.70-5.36)
astrocytes 4,255.0,0.115,6.0,12,1,8.33,5.72 (NA-NA),11,91.67,4.40 (3.48-5.32)
oligodendrocytes 0,1186.0,0.161,76.0,300,16,5.33,3.84 (3.34-4.34),284,94.67,3.79 (3.57-4.01)
microglia 1,346.0,0.393,98.0,43,2,4.65,3.91 (3.91-3.91),41,95.35,3.76 (3.22-4.29)
oligodendrocytes 3,854.0,0.113,75.0,76,2,2.63,2.13 (-1.64-5.89),74,97.37,2.80 (2.47-3.13)
oligodendrocytes 2,347.0,0.189,47.0,15,0,0.0,NA,15,100.0,4.87 (4.10-5.63)
