tipo_celular,module_size,PPA1_MM,PPA1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,305,0.206,59.0,15,0,0.0,NA,15,100.0,5.79 (5.09-6.49)
T cells 18,282,0.261,83.0,241,5,2.07,3.48 (3.47-3.49),236,97.93,4.06 (3.81-4.32)
astrocytes 5,228,0.193,58.0,266,15,5.64,2.13 (0.92-3.34),251,94.36,4.19 (3.99-4.40)
oligodendrocyte progenitor cells 7,296,0.259,80.0,251,3,1.2,NA,248,98.8,4.07 (3.83-4.30)
GABA neurons expressing GLU receptors 22,567,0.325,84.0,16,0,0.0,NA,16,100.0,1.97 (1.30-2.64)
GLU like neurons 17,685,0.155,63.0,135,9,6.67,2.00 (-0.32-4.32),126,93.33,3.21 (2.90-3.52)
da like neurons 11,1220,0.323,85.0,410,12,2.93,3.67 (3.30-4.05),398,97.07,4.26 (4.07-4.45)
GABA neurons expressing GABA receptors 13,357,0.133,34.0,237,0,0.0,NA,237,100.0,4.41 (4.18-4.64)
endothelial cells 9,559,0.331,87.0,155,0,0.0,NA,155,100.0,4.34 (3.97-4.70)
oligodendrocytes 20,938,0.177,72.0,169,8,4.73,2.90 (1.09-4.72),161,95.27,3.50 (3.28-3.72)
GABA like neurons 14,2402,0.569,93.0,455,15,3.3,1.79 (0.61-2.97),440,96.7,4.40 (4.22-4.59)
astrocytes 8,520,0.252,81.0,288,12,4.17,3.67 (3.30-4.05),276,95.83,4.18 (3.98-4.39)
oligodendrocyte progenitor cells 12,708,0.234,82.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99)
oligodendrocytes 10,130,0.301,28.0,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,136,0.242,25.0,3,0,0.0,NA,3,100.0,0.26 (NA-NA)
astrocytes 15,377,0.138,41.0,14,1,7.14,0.52 (NA-NA),13,92.86,2.32 (0.98-3.65)
oligodendrocytes 16,313,0.198,43.0,291,3,1.03,NA,288,98.97,4.33 (4.10-4.55)
da neurons 6,409,0.325,96.0,235,3,1.28,3.01 (0.86-5.17),232,98.72,3.99 (3.74-4.24)
astrocytes microglia 23,70,0.251,31.0,76,0,0.0,NA,76,100.0,4.20 (3.69-4.72)
astrocytes 4,157,0.115,5.0,178,12,6.74,2.13 (0.92-3.34),166,93.26,4.27 (4.01-4.54)
oligodendrocytes 0,613,0.384,100.0,127,0,0.0,NA,127,100.0,3.05 (2.64-3.46)
microglia 1,214,0.185,53.0,227,7,3.08,3.80 (3.17-4.43),220,96.92,4.10 (3.86-4.34)
oligodendrocytes 3,743,0.209,98.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55)
oligodendrocytes 2,528,0.443,96.0,175,10,5.71,3.80 (3.17-4.43),165,94.29,4.39 (4.04-4.75)
