tipo_celular,module_size,NCAM1_MM,NCAM1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,305,0.628,97.0,15,5,33.33,6.20 (5.24-7.16),10,66.67,5.45 (4.46-6.44)
T cells 18,349,0.384,87.0,68,19,27.94,4.79 (3.59-6.00),49,72.06,4.13 (3.59-4.66)
astrocytes 5,117,0.157,53.0,28,7,25.0,3.71 (2.66-4.76),21,75.0,5.93 (5.47-6.38)
oligodendrocyte progenitor cells 7,628,0.148,38.0,164,4,2.44,3.74 (2.12-5.35),160,97.56,4.10 (3.76-4.43)
GABA neurons expressing GLU receptors 22,459,0.144,44.0,165,21,12.73,2.91 (2.35-3.46),144,87.27,5.50 (5.16-5.84)
GLU like neurons 17,637,0.073,9.0,91,16,17.58,1.94 (1.15-2.74),75,82.42,5.35 (4.90-5.80)
da like neurons 11,191,0.214,39.0,93,25,26.88,5.27 (4.35-6.20),68,73.12,5.80 (5.37-6.22)
GABA neurons expressing GABA receptors 13,265,0.182,65.0,78,2,2.56,3.09 (2.64-3.53),76,97.44,4.40 (3.98-4.83)
endothelial cells 9,450,0.668,97.0,74,15,20.27,5.89 (4.72-7.06),59,79.73,5.33 (4.70-5.95)
oligodendrocytes 20,676,0.119,36.0,110,25,22.73,4.85 (3.84-5.87),85,77.27,5.05 (4.56-5.53)
GABA like neurons 14,1300,0.146,21.0,306,46,15.03,3.78 (3.11-4.45),260,84.97,5.42 (5.16-5.68)
astrocytes 8,771,0.179,62.0,48,7,14.58,6.85 (4.45-9.25),41,85.42,3.99 (3.30-4.68)
oligodendrocyte progenitor cells 12,708,0.06,22.0,32,11,34.38,2.00 (0.61-3.39),21,65.62,4.05 (3.25-4.85)
oligodendrocytes 10,204,0.42,44.0,92,3,3.26,3.15 (1.93-4.37),89,96.74,5.84 (5.38-6.31)
connective tissue cells 21,250,0.504,78.0,117,31,26.5,4.55 (3.69-5.40),86,73.5,5.74 (5.34-6.14)
astrocytes 15,418,0.282,68.0,54,3,5.56,2.72 (1.32-4.13),51,94.44,3.75 (3.29-4.20)
oligodendrocytes 16,64,0.088,5.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,518,0.304,100.0,122,25,20.49,3.87 (2.60-5.14),97,79.51,4.02 (3.68-4.36)
astrocytes microglia 23,141,0.365,88.0,30,13,43.33,5.91 (4.63-7.18),17,56.67,5.31 (4.12-6.50)
astrocytes 4,161,0.167,47.0,45,0,0.0,NA,45,100.0,5.28 (4.66-5.91)
oligodendrocytes 0,613,0.179,79.0,127,0,0.0,NA,127,100.0,3.05 (2.64-3.46)
microglia 1,127,0.507,94.0,24,8,33.33,5.06 (3.76-6.36),16,66.67,5.25 (4.41-6.08)
oligodendrocytes 3,681,0.158,89.0,87,5,5.75,1.42 (0.26-2.58),82,94.25,2.66 (2.39-2.93)
oligodendrocytes 2,348,0.232,64.0,114,29,25.44,4.94 (4.13-5.76),85,74.56,5.19 (4.71-5.66)
