tipo_celular,module_size,HECTD1_MM,HECTD1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,125,0.213,51.0,1,0,0.0,NA,1,100.0,0.55 (NA-NA)
T cells 18,518,0.159,55.0,131,3,2.29,4.23 (2.81-5.64),128,97.71,3.05 (2.78-3.33)
astrocytes 5,1141,0.122,36.0,166,46,27.71,2.96 (2.48-3.45),120,72.29,3.55 (3.26-3.85)
oligodendrocyte progenitor cells 7,4285,0.155,80.0,353,52,14.73,2.64 (2.21-3.08),301,85.27,4.13 (3.94-4.32)
GABA neurons expressing GLU receptors 22,848,0.175,34.0,262,18,6.87,3.48 (2.81-4.16),244,93.13,4.23 (3.97-4.49)
GLU like neurons 17,380,0.106,8.0,39,10,25.64,3.83 (3.68-3.97),29,74.36,2.76 (2.09-3.42)
da like neurons 11,209,0.062,2.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,357,0.103,16.0,237,2,0.84,3.98 (2.73-5.23),235,99.16,4.41 (4.18-4.65)
endothelial cells 9,1653,0.098,25.0,297,12,4.04,4.06 (3.15-4.97),285,95.96,3.66 (3.46-3.87)
oligodendrocytes 20,322,0.132,55.0,10,0,0.0,NA,10,100.0,1.41 (0.38-2.43)
GABA like neurons 14,3052,0.16,68.0,125,6,4.8,3.28 (2.73-3.82),119,95.2,3.35 (3.02-3.68)
astrocytes 8,283,0.053,12.0,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,3303,0.11,83.0,276,47,17.03,2.83 (2.45-3.22),229,82.97,3.71 (3.46-3.95)
oligodendrocytes 10,735,0.077,36.0,277,1,0.36,4.81 (NA-NA),276,99.64,3.89 (3.65-4.13)
connective tissue cells 21,100,0.283,56.0,8,0,0.0,NA,8,100.0,1.58 (-0.37-3.52)
astrocytes 15,1768,0.072,35.0,105,28,26.67,2.66 (2.18-3.15),77,73.33,3.41 (3.00-3.83)
oligodendrocytes 16,113,0.167,19.0,10,0,0.0,NA,10,100.0,2.94 (2.13-3.75)
da neurons 6,518,0.152,82.0,122,17,13.93,2.61 (1.89-3.32),105,86.07,4.28 (3.85-4.70)
astrocytes microglia 23,253,0.282,68.0,47,5,10.64,2.24 (0.55-3.93),42,89.36,2.89 (2.56-3.23)
astrocytes 4,752,0.157,55.0,96,12,12.5,3.95 (2.54-5.36),84,87.5,3.21 (2.88-3.54)
oligodendrocytes 0,1186,0.149,59.0,300,2,0.67,NA,298,99.33,3.79 (3.59-4.00)
microglia 1,1615,0.114,58.0,161,47,29.19,2.49 (2.03-2.94),114,70.81,3.60 (3.29-3.91)
oligodendrocytes 3,1003,0.064,15.0,111,5,4.5,3.13 (2.31-3.96),106,95.5,3.31 (2.96-3.65)
oligodendrocytes 2,528,0.13,11.0,175,2,1.14,1.93 (1.64-2.21),173,98.86,4.42 (4.07-4.77)
