tipo_celular,module_size,MAEA_MM,MAEA_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,351,0.222,91.0,71,5,7.04,2.19 (1.08-3.29),66,92.96,2.66 (2.22-3.10)
T cells 18,727,0.117,30.0,49,6,12.24,3.51 (2.42-4.59),43,87.76,2.35 (1.94-2.76)
astrocytes 5,1656,0.105,33.0,136,2,1.47,2.73 (1.22-4.24),134,98.53,3.22 (2.94-3.49)
oligodendrocyte progenitor cells 7,4285,0.105,12.0,353,49,13.88,2.46 (2.06-2.87),304,86.12,4.18 (3.99-4.37)
GABA neurons expressing GLU receptors 22,703,0.208,63.0,23,4,17.39,2.83 (1.50-4.16),19,82.61,1.93 (1.11-2.74)
GLU like neurons 17,1316,0.11,38.0,101,3,2.97,3.17 (2.28-4.06),98,97.03,3.05 (2.69-3.41)
da like neurons 11,1220,0.072,4.0,410,21,5.12,3.37 (2.84-3.90),389,94.88,4.31 (4.12-4.51)
GABA neurons expressing GABA receptors 13,357,0.092,10.0,237,1,0.42,3.34 (NA-NA),236,99.58,4.41 (4.18-4.65)
endothelial cells 9,338,0.085,22.0,191,1,0.52,4.56 (NA-NA),190,99.48,3.88 (3.66-4.11)
oligodendrocytes 20,228,0.243,66.0,5,3,60.0,1.95 (0.03-3.87),2,40.0,5.21 (1.90-8.51)
GABA like neurons 14,2090,0.087,8.0,74,1,1.35,2.53 (NA-NA),73,98.65,2.95 (2.57-3.33)
astrocytes 8,727,0.201,90.0,29,1,3.45,3.17 (NA-NA),28,96.55,2.33 (1.82-2.84)
oligodendrocyte progenitor cells 12,3303,0.072,41.0,276,37,13.41,2.58 (2.16-3.00),239,86.59,3.73 (3.49-3.96)
oligodendrocytes 10,806,0.128,39.0,261,5,1.92,3.80 (2.13-5.47),256,98.08,4.38 (4.13-4.62)
connective tissue cells 21,102,0.354,83.0,5,3,60.0,1.38 (1.02-1.75),2,40.0,NA
astrocytes 15,1768,0.059,22.0,105,30,28.57,2.60 (2.16-3.04),75,71.43,3.49 (3.06-3.92)
oligodendrocytes 16,75,0.216,64.0,1,1,100.0,NA,0,0.0,NA
da neurons 6,518,0.119,59.0,122,20,16.39,2.46 (1.80-3.12),102,83.61,4.41 (3.99-4.83)
astrocytes microglia 23,132,0.322,51.0,1,0,0.0,NA,1,100.0,NA
astrocytes 4,1807,0.156,71.0,104,25,24.04,2.15 (1.71-2.60),79,75.96,3.11 (2.78-3.44)
oligodendrocytes 0,2078,0.108,38.0,238,11,4.62,2.96 (2.08-3.84),227,95.38,3.66 (3.44-3.89)
microglia 1,480,0.1,5.0,163,1,0.61,7.00 (NA-NA),162,99.39,3.68 (3.42-3.95)
oligodendrocytes 3,357,0.078,35.0,127,0,0.0,NA,127,100.0,3.12 (2.79-3.45)
oligodendrocytes 2,1630,0.161,87.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
