tipo_celular,module_size,XRCC5_MM,XRCC5_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,351,0.16,56.0,71,12,16.9,2.05 (1.58-2.52),59,83.1,2.76 (2.27-3.26)
T cells 18,610,0.169,62.0,98,50,51.02,2.24 (1.88-2.61),48,48.98,4.12 (3.79-4.45)
astrocytes 5,1141,0.123,36.0,166,63,37.95,2.84 (2.49-3.19),103,62.05,3.82 (3.49-4.15)
oligodendrocyte progenitor cells 7,4285,0.166,91.0,353,99,28.05,2.62 (2.35-2.89),254,71.95,4.56 (4.38-4.74)
GABA neurons expressing GLU receptors 22,848,0.202,46.0,262,38,14.5,2.81 (2.26-3.36),224,85.5,4.37 (4.11-4.63)
GLU like neurons 17,685,0.178,70.0,135,52,38.52,2.34 (2.04-2.64),83,61.48,3.79 (3.36-4.21)
da like neurons 11,59,0.317,66.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,265,0.213,74.0,78,6,7.69,2.96 (2.32-3.61),72,92.31,4.46 (4.03-4.89)
endothelial cells 9,385,0.106,54.0,275,114,41.45,3.17 (2.83-3.51),161,58.55,4.90 (4.59-5.20)
oligodendrocytes 20,348,0.128,50.0,33,8,24.24,3.70 (2.94-4.45),25,75.76,2.49 (1.95-3.03)
GABA like neurons 14,2402,0.191,38.0,455,69,15.16,2.75 (2.32-3.19),386,84.84,4.66 (4.47-4.84)
astrocytes 8,520,0.064,21.0,288,39,13.54,3.06 (2.63-3.50),249,86.46,4.32 (4.11-4.53)
oligodendrocyte progenitor cells 12,3303,0.129,93.0,276,72,26.09,2.43 (2.19-2.66),204,73.91,4.10 (3.84-4.36)
oligodendrocytes 10,483,0.141,58.0,129,14,10.85,4.90 (4.14-5.66),115,89.15,3.26 (2.85-3.68)
connective tissue cells 21,125,0.254,27.0,10,0,0.0,NA,10,100.0,1.32 (0.64-1.99)
astrocytes 15,1401,0.109,70.0,96,15,15.62,3.07 (2.39-3.75),81,84.38,3.74 (3.21-4.27)
oligodendrocytes 16,91,0.157,18.0,5,2,40.0,NA,3,60.0,1.75 (0.02-3.49)
da neurons 6,409,0.208,80.0,235,36,15.32,4.41 (3.62-5.20),199,84.68,3.89 (3.64-4.15)
astrocytes microglia 23,255,0.242,35.0,57,10,17.54,2.87 (2.52-3.23),47,82.46,2.60 (2.16-3.04)
astrocytes 4,752,0.155,53.0,96,23,23.96,3.18 (2.76-3.59),73,76.04,3.33 (2.90-3.77)
oligodendrocytes 0,1186,0.124,20.0,300,27,9.0,4.14 (3.68-4.60),273,91.0,3.75 (3.53-3.97)
microglia 1,813,0.117,52.0,79,7,8.86,4.10 (3.08-5.12),72,91.14,2.99 (2.57-3.42)
oligodendrocytes 3,1003,0.081,34.0,111,4,3.6,4.97 (3.14-6.79),107,96.4,3.23 (2.89-3.58)
oligodendrocytes 2,528,0.118,7.0,175,33,18.86,4.78 (3.93-5.63),142,81.14,4.29 (3.91-4.68)
