tipo_celular,module_size,FBXO28_MM,FBXO28_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,206,0.146,16.0,10,0,0.0,NA,10,100.0,1.83 (0.82-2.85)
T cells 18,477,0.085,5.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53)
astrocytes 5,932,0.116,61.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08)
oligodendrocyte progenitor cells 7,4285,0.136,51.0,353,19,5.38,2.00 (1.22-2.78),334,94.62,4.02 (3.84-4.20)
GABA neurons expressing GLU receptors 22,703,0.187,52.0,23,0,0.0,NA,23,100.0,2.09 (1.38-2.80)
GLU like neurons 17,1247,0.114,35.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20)
da like neurons 11,101,0.3,65.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,93,0.188,75.0,2,0,0.0,NA,2,100.0,NA
endothelial cells 9,1653,0.096,24.0,297,7,2.36,4.04 (3.03-5.05),290,97.64,3.66 (3.46-3.87)
oligodendrocytes 20,348,0.213,77.0,33,2,6.06,3.07 (2.93-3.20),31,93.94,2.71 (2.19-3.23)
GABA like neurons 14,2090,0.181,69.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32)
astrocytes 8,577,0.067,34.0,83,2,2.41,3.07 (2.93-3.20),81,97.59,3.26 (2.79-3.72)
oligodendrocyte progenitor cells 12,3303,0.078,49.0,276,17,6.16,2.58 (1.77-3.39),259,93.84,3.62 (3.39-3.84)
oligodendrocytes 10,2107,0.103,30.0,358,21,5.87,2.10 (1.37-2.83),337,94.13,4.00 (3.81-4.19)
connective tissue cells 21,111,0.311,57.0,10,0,0.0,NA,10,100.0,2.44 (1.89-3.00)
astrocytes 15,1401,0.065,30.0,96,3,3.12,2.41 (0.76-4.05),93,96.88,3.66 (3.20-4.12)
oligodendrocytes 16,90,0.174,24.0,2,0,0.0,NA,2,100.0,1.33 (0.57-2.09)
da neurons 6,553,0.088,20.0,124,7,5.65,3.61 (2.13-5.09),117,94.35,4.22 (3.82-4.63)
astrocytes microglia 23,118,0.273,25.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,721,0.141,31.0,61,0,0.0,NA,61,100.0,2.97 (2.55-3.38)
oligodendrocytes 0,1186,0.116,13.0,300,2,0.67,2.98 (1.14-4.81),298,99.33,3.80 (3.59-4.01)
microglia 1,958,0.121,65.0,290,4,1.38,2.30 (1.11-3.48),286,98.62,3.84 (3.61-4.07)
oligodendrocytes 3,187,0.084,37.0,2,0,0.0,NA,2,100.0,3.78 (NA-NA)
oligodendrocytes 2,921,0.129,35.0,200,2,1.0,2.94 (1.03-4.85),198,99.0,3.63 (3.36-3.90)
