tipo_celular,module_size,KPNA5_MM,KPNA5_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,172,0.145,36.0,140,4,2.86,2.55 (1.56-3.54),136,97.14,4.60 (4.17-5.03)
T cells 18,388,0.119,31.0,84,0,0.0,NA,84,100.0,2.97 (2.65-3.30)
astrocytes 5,1141,0.14,64.0,166,12,7.23,2.51 (1.56-3.47),154,92.77,3.47 (3.22-3.73)
oligodendrocyte progenitor cells 7,4285,0.109,16.0,353,37,10.48,2.57 (2.04-3.10),316,89.52,4.07 (3.88-4.26)
GABA neurons expressing GLU receptors 22,487,0.301,77.0,73,0,0.0,NA,73,100.0,2.75 (2.37-3.14)
GLU like neurons 17,1316,0.112,40.0,101,1,0.99,4.19 (NA-NA),100,99.01,3.04 (2.68-3.39)
da like neurons 11,89,0.178,33.0,1,0,0.0,NA,1,100.0,0.26 (NA-NA)
GABA neurons expressing GABA receptors 13,80,0.162,44.0,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,586,0.102,20.0,62,0,0.0,NA,62,100.0,4.05 (3.60-4.49)
oligodendrocytes 20,403,0.019,2.0,18,9,50.0,1.16 (0.52-1.81),9,50.0,2.59 (1.57-3.62)
GABA like neurons 14,2402,0.217,47.0,455,25,5.49,2.42 (1.83-3.01),430,94.51,4.50 (4.32-4.69)
astrocytes 8,262,0.12,42.0,11,0,0.0,NA,11,100.0,1.91 (1.09-2.74)
oligodendrocyte progenitor cells 12,3303,0.053,19.0,276,28,10.14,2.99 (2.46-3.52),248,89.86,3.61 (3.37-3.84)
oligodendrocytes 10,2107,0.063,10.0,358,35,9.78,2.51 (1.97-3.04),323,90.22,4.04 (3.84-4.24)
connective tissue cells 21,106,0.203,12.0,9,1,11.11,0.26 (NA-NA),8,88.89,4.64 (2.19-7.09)
astrocytes 15,1768,0.161,95.0,105,17,16.19,2.75 (2.03-3.47),88,83.81,3.31 (2.94-3.69)
oligodendrocytes 16,104,0.191,30.0,1,1,100.0,0.26 (NA-NA),0,0.0,NA
da neurons 6,448,0.097,44.0,43,0,0.0,NA,43,100.0,3.28 (2.76-3.80)
astrocytes microglia 23,101,0.274,26.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,787,0.164,73.0,65,2,3.08,NA,63,96.92,2.96 (2.57-3.36)
oligodendrocytes 0,2078,0.106,33.0,238,10,4.2,3.35 (2.25-4.44),228,95.8,3.65 (3.42-3.87)
microglia 1,1615,0.107,46.0,161,19,11.8,1.59 (1.06-2.12),142,88.2,3.56 (3.29-3.82)
oligodendrocytes 3,854,0.075,31.0,76,4,5.26,3.08 (0.26-5.90),72,94.74,2.77 (2.44-3.09)
oligodendrocytes 2,921,0.119,21.0,200,20,10.0,3.89 (3.38-4.40),180,90.0,3.60 (3.32-3.88)
