tipo_celular,module_size,EIF1AX_MM,EIF1AX_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,206,0.229,62.0,10,0,0.0,NA,10,100.0,1.83 (0.82-2.85)
T cells 18,518,0.16,56.0,131,0,0.0,NA,131,100.0,3.07 (2.80-3.35)
astrocytes 5,1656,0.162,99.0,136,9,6.62,2.02 (1.40-2.63),127,93.38,3.31 (3.02-3.59)
oligodendrocyte progenitor cells 7,628,0.168,52.0,164,0,0.0,NA,164,100.0,4.08 (3.76-4.41)
GABA neurons expressing GLU receptors 22,848,0.339,83.0,262,14,5.34,2.11 (1.37-2.85),248,94.66,4.30 (4.05-4.55)
GLU like neurons 17,1316,0.15,72.0,101,1,0.99,2.85 (NA-NA),100,99.01,3.05 (2.70-3.41)
da like neurons 11,1220,0.2,57.0,410,15,3.66,2.87 (2.15-3.59),395,96.34,4.32 (4.13-4.51)
GABA neurons expressing GABA receptors 13,238,0.162,49.0,36,0,0.0,NA,36,100.0,3.88 (3.35-4.40)
endothelial cells 9,916,0.125,22.0,302,4,1.32,2.76 (-0.85-6.37),298,98.68,4.00 (3.77-4.22)
oligodendrocytes 20,938,0.147,61.0,169,15,8.88,2.63 (1.79-3.48),154,91.12,3.58 (3.36-3.80)
GABA like neurons 14,2402,0.47,86.0,455,29,6.37,2.34 (1.73-2.95),426,93.63,4.51 (4.33-4.70)
astrocytes 8,520,0.15,60.0,288,11,3.82,2.49 (1.82-3.16),277,96.18,4.26 (4.06-4.46)
oligodendrocyte progenitor cells 12,708,0.058,17.0,25,2,8.0,1.22 (-0.77-3.20),23,92.0,3.04 (2.01-4.08)
oligodendrocytes 10,735,0.216,92.0,277,1,0.36,NA,276,99.64,3.89 (3.65-4.14)
connective tissue cells 21,106,0.271,41.0,4,0,0.0,NA,4,100.0,4.98 (4.91-5.06)
astrocytes 15,367,0.202,84.0,17,0,0.0,NA,17,100.0,2.08 (1.12-3.04)
oligodendrocytes 16,151,0.205,54.0,7,0,0.0,NA,7,100.0,1.31 (0.28-2.35)
da neurons 6,553,0.14,59.0,124,0,0.0,NA,124,100.0,4.18 (3.79-4.58)
astrocytes microglia 23,157,0.355,75.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,514,0.23,70.0,95,0,0.0,NA,95,100.0,3.37 (2.95-3.79)
oligodendrocytes 0,2078,0.135,88.0,238,3,1.26,1.68 (0.22-3.14),235,98.74,3.67 (3.45-3.89)
microglia 1,406,0.103,18.0,278,4,1.44,3.31 (1.92-4.70),274,98.56,4.38 (4.10-4.65)
oligodendrocytes 3,743,0.085,56.0,76,3,3.95,3.25 (1.81-4.70),73,96.05,3.16 (2.75-3.56)
oligodendrocytes 2,528,0.288,83.0,175,2,1.14,3.66 (1.58-5.75),173,98.86,4.39 (4.04-4.74)
