tipo_celular,module_size,MAPRE2_MM,MAPRE2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,305,0.239,67.0,15,2,13.33,4.48 (4.05-4.91),13,86.67,6.08 (5.36-6.80)
T cells 18,349,0.2,55.0,68,15,22.06,2.97 (1.78-4.16),53,77.94,4.70 (4.11-5.29)
astrocytes 5,322,0.44,98.0,58,21,36.21,3.91 (3.22-4.60),37,63.79,4.36 (3.82-4.90)
oligodendrocyte progenitor cells 7,666,0.14,28.0,127,21,16.54,2.87 (2.29-3.46),106,83.46,4.10 (3.73-4.48)
GABA neurons expressing GLU receptors 22,848,0.117,10.0,262,13,4.96,2.76 (1.87-3.66),249,95.04,4.25 (3.99-4.50)
GLU like neurons 17,685,0.199,77.0,135,22,16.3,2.74 (2.10-3.37),113,83.7,3.28 (2.94-3.62)
da like neurons 11,209,0.453,96.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,238,0.166,53.0,36,0,0.0,NA,36,100.0,3.88 (3.35-4.40)
endothelial cells 9,303,0.253,69.0,54,5,9.26,4.53 (4.14-4.92),49,90.74,4.88 (4.17-5.59)
oligodendrocytes 20,676,0.174,40.0,110,30,27.27,4.00 (3.16-4.84),80,72.73,5.38 (4.89-5.88)
GABA like neurons 14,1300,0.112,11.0,306,39,12.75,3.78 (3.10-4.47),267,87.25,5.36 (5.09-5.63)
astrocytes 8,140,0.172,66.0,1,0,0.0,NA,1,100.0,NA
oligodendrocyte progenitor cells 12,708,0.26,84.0,25,3,12.0,1.22 (-0.77-3.20),22,88.0,3.04 (2.01-4.08)
oligodendrocytes 10,236,0.416,30.0,82,15,18.29,5.03 (4.16-5.90),67,81.71,4.98 (4.36-5.61)
connective tissue cells 21,101,0.21,17.0,1,0,0.0,NA,1,100.0,8.28 (NA-NA)
astrocytes 15,1401,0.198,97.0,96,19,19.79,3.38 (2.77-3.99),77,80.21,3.68 (3.13-4.22)
oligodendrocytes 16,287,0.294,48.0,105,30,28.57,3.94 (3.03-4.84),75,71.43,5.60 (5.16-6.03)
da neurons 6,307,0.166,81.0,95,0,0.0,NA,95,100.0,4.85 (4.41-5.28)
astrocytes microglia 23,91,0.243,40.0,3,0,0.0,NA,3,100.0,4.26 (NA-NA)
astrocytes 4,171,0.343,96.0,22,2,9.09,5.07 (0.12-10.01),20,90.91,4.47 (3.55-5.39)
oligodendrocytes 0,261,0.222,77.0,42,16,38.1,2.37 (1.57-3.17),26,61.9,5.22 (4.59-5.85)
microglia 1,480,0.113,10.0,163,27,16.56,4.09 (3.67-4.51),136,83.44,3.63 (3.32-3.94)
oligodendrocytes 3,127,0.267,55.0,45,3,6.67,1.55 (0.78-2.31),42,93.33,4.68 (3.83-5.53)
oligodendrocytes 2,347,0.214,59.0,15,0,0.0,NA,15,100.0,4.87 (4.10-5.63)
