tipo_celular,module_size,SORT1_MM,SORT1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,305.0,0.31,81.0,15,0,0.0,NA,15,100.0,5.79 (5.09-6.49)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,165.0,0.196,55.0,51,0,0.0,NA,51,100.0,5.35 (4.68-6.01)
oligodendrocyte progenitor cells 7,229.0,0.289,82.0,45,0,0.0,NA,45,100.0,5.01 (4.39-5.62)
GABA neurons expressing GLU receptors 22,567.0,0.469,96.0,16,4,25.0,2.47 (2.02-2.92),12,75.0,1.77 (0.87-2.68)
GLU like neurons 17,637.0,0.412,92.0,91,20,21.98,2.23 (1.42-3.04),71,78.02,5.45 (5.01-5.89)
da like neurons 11,408.0,0.446,88.0,25,9,36.0,1.69 (0.64-2.74),16,64.0,6.56 (5.47-7.65)
GABA neurons expressing GABA receptors 13,288.0,0.164,47.0,93,10,10.75,2.15 (1.56-2.75),83,89.25,5.64 (5.17-6.10)
endothelial cells 9,658.0,0.235,61.0,120,19,15.83,3.15 (2.60-3.70),101,84.17,4.91 (4.58-5.24)
oligodendrocytes 20,228.0,0.038,7.0,5,3,60.0,1.91 (0.06-3.75),2,40.0,5.27 (2.10-8.45)
GABA like neurons 14,3052.0,0.174,78.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,771.0,0.402,88.0,48,1,2.08,0.79 (NA-NA),47,97.92,4.53 (3.78-5.27)
oligodendrocyte progenitor cells 12,708.0,0.464,96.0,25,2,8.0,1.22 (-0.77-3.20),23,92.0,3.04 (2.01-4.08)
oligodendrocytes 10,204.0,0.428,46.0,92,2,2.17,2.53 (2.34-2.73),90,97.83,5.82 (5.36-6.28)
connective tissue cells 21,250.0,0.284,40.0,117,14,11.97,3.05 (2.33-3.78),103,88.03,5.75 (5.37-6.14)
astrocytes 15,458.0,0.152,74.0,36,3,8.33,3.95 (2.83-5.06),33,91.67,3.75 (2.56-4.94)
oligodendrocytes 16,287.0,0.189,23.0,105,10,9.52,1.89 (1.32-2.46),95,90.48,5.54 (5.16-5.93)
da neurons 6,398.0,0.35,90.0,138,15,10.87,2.36 (1.46-3.25),123,89.13,5.16 (4.80-5.51)
astrocytes microglia 23,67.0,0.14,0.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,255.0,0.176,55.0,12,1,8.33,5.51 (NA-NA),11,91.67,4.44 (3.48-5.41)
oligodendrocytes 0,613.0,0.151,57.0,127,8,6.3,2.02 (1.60-2.45),119,93.7,3.16 (2.71-3.62)
microglia 1,1615.0,0.152,90.0,161,27,16.77,1.70 (1.27-2.14),134,83.23,3.66 (3.39-3.93)
oligodendrocytes 3,681.0,0.117,69.0,87,16,18.39,1.58 (1.16-2.00),71,81.61,2.81 (2.52-3.11)
oligodendrocytes 2,921.0,0.127,33.0,200,12,6.0,3.63 (2.59-4.67),188,94.0,3.62 (3.35-3.90)
