tipo_celular,module_size,MAP2K4_MM,MAP2K4_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,395,0.117,21.0,97,2,2.06,2.40 (2.14-2.65),95,97.94,3.07 (2.67-3.47)
T cells 18,610,0.156,54.0,98,14,14.29,2.61 (1.82-3.40),84,85.71,3.21 (2.87-3.56)
astrocytes 5,1141,0.149,75.0,166,10,6.02,2.87 (1.64-4.11),156,93.98,3.43 (3.18-3.69)
oligodendrocyte progenitor cells 7,666,0.114,12.0,127,9,7.09,2.02 (1.39-2.65),118,92.91,4.04 (3.70-4.38)
GABA neurons expressing GLU receptors 22,714,0.127,17.0,17,1,5.88,2.68 (NA-NA),16,94.12,2.28 (1.66-2.91)
GLU like neurons 17,1316,0.141,66.0,101,1,0.99,2.53 (NA-NA),100,99.01,3.06 (2.70-3.41)
da like neurons 11,853,0.12,41.0,133,9,6.77,3.10 (2.11-4.09),124,93.23,3.27 (2.94-3.60)
GABA neurons expressing GABA receptors 13,88,0.187,72.0,2,0,0.0,NA,2,100.0,NA
endothelial cells 9,1653,0.188,86.0,297,1,0.34,2.53 (NA-NA),296,99.66,3.68 (3.47-3.88)
oligodendrocytes 20,348,0.092,42.0,33,6,18.18,3.71 (3.19-4.24),27,81.82,2.49 (1.93-3.04)
GABA like neurons 14,1300,0.151,24.0,306,19,6.21,2.64 (2.04-3.23),287,93.79,5.33 (5.07-5.59)
astrocytes 8,771,0.157,57.0,48,1,2.08,0.79 (NA-NA),47,97.92,4.53 (3.78-5.27)
oligodendrocyte progenitor cells 12,138,0.46,46.0,5,0,0.0,NA,5,100.0,4.33 (4.33-4.33)
oligodendrocytes 10,806,0.077,16.0,261,0,0.0,NA,261,100.0,4.36 (4.12-4.61)
connective tissue cells 21,118,0.205,6.0,4,0,0.0,NA,4,100.0,1.60 (-1.03-4.24)
astrocytes 15,1768,0.174,97.0,105,9,8.57,2.06 (1.23-2.88),96,91.43,3.33 (2.98-3.68)
oligodendrocytes 16,82,0.188,36.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,307,0.161,78.0,95,0,0.0,NA,95,100.0,4.85 (4.41-5.28)
astrocytes microglia 23,255,0.266,56.0,57,6,10.53,3.34 (2.64-4.05),51,89.47,2.56 (2.17-2.95)
astrocytes 4,752,0.155,52.0,96,3,3.12,4.11 (3.71-4.50),93,96.88,3.26 (2.92-3.60)
oligodendrocytes 0,613,0.22,94.0,127,2,1.57,3.29 (2.33-4.25),125,98.43,3.04 (2.62-3.47)
microglia 1,1615,0.099,34.0,161,17,10.56,2.55 (1.85-3.25),144,89.44,3.38 (3.09-3.67)
oligodendrocytes 3,681,0.238,98.0,87,7,8.05,2.70 (1.40-4.00),80,91.95,2.57 (2.30-2.85)
oligodendrocytes 2,921,0.199,99.0,200,1,0.5,2.80 (NA-NA),199,99.5,3.63 (3.36-3.89)
