tipo_celular,module_size,UBE4B_MM,UBE4B_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,401,0.243,86.0,19,1,5.26,4.44 (NA-NA),18,94.74,2.41 (1.69-3.14)
T cells 18,349,0.211,60.0,68,3,4.41,0.90 (0.75-1.04),65,95.59,4.58 (4.05-5.12)
astrocytes 5,932,0.135,82.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08)
oligodendrocyte progenitor cells 7,4285,0.121,28.0,353,46,13.03,2.53 (2.04-3.01),307,86.97,4.12 (3.93-4.30)
GABA neurons expressing GLU receptors 22,823,0.17,45.0,23,4,17.39,2.59 (1.55-3.63),19,82.61,2.34 (1.44-3.24)
GLU like neurons 17,1247,0.176,75.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20)
da like neurons 11,853,0.172,73.0,133,10,7.52,0.92 (0.39-1.46),123,92.48,3.48 (3.17-3.79)
GABA neurons expressing GABA receptors 13,288,0.19,58.0,93,3,3.23,0.90 (0.75-1.04),90,96.77,5.33 (4.87-5.80)
endothelial cells 9,450,0.175,41.0,74,0,0.0,NA,74,100.0,5.46 (4.91-6.02)
oligodendrocytes 20,676,0.606,89.0,110,3,2.73,0.90 (0.75-1.04),107,97.27,5.16 (4.73-5.58)
GABA like neurons 14,1300,0.275,80.0,306,13,4.25,1.93 (1.38-2.49),293,95.75,5.29 (5.03-5.54)
astrocytes 8,771,0.098,41.0,48,1,2.08,0.79 (NA-NA),47,97.92,4.53 (3.78-5.27)
oligodendrocyte progenitor cells 12,218,0.205,42.0,1,1,100.0,2.68 (NA-NA),0,0.0,NA
oligodendrocytes 10,236,0.482,49.0,82,0,0.0,NA,82,100.0,4.99 (4.48-5.51)
connective tissue cells 21,111,0.257,37.0,26,13,50.0,3.13 (2.60-3.66),13,50.0,2.12 (1.12-3.12)
astrocytes 15,458,0.028,4.0,36,0,0.0,NA,36,100.0,3.77 (2.68-4.85)
oligodendrocytes 16,153,0.447,85.0,14,0,0.0,NA,14,100.0,4.67 (3.94-5.40)
da neurons 6,398,0.176,59.0,138,10,7.25,1.59 (0.91-2.27),128,92.75,5.13 (4.78-5.47)
astrocytes microglia 23,229,0.241,30.0,99,0,0.0,NA,99,100.0,4.30 (3.96-4.63)
astrocytes 4,251,0.086,2.0,34,2,5.88,2.42 (2.37-2.47),32,94.12,5.49 (4.93-6.06)
oligodendrocytes 0,261,0.176,42.0,42,4,9.52,0.97 (0.80-1.14),38,90.48,4.50 (3.87-5.14)
microglia 1,1615,0.111,51.0,161,41,25.47,2.40 (1.87-2.93),120,74.53,3.58 (3.29-3.87)
oligodendrocytes 3,116,0.232,17.0,7,2,28.57,0.96 (0.79-1.12),5,71.43,5.55 (4.15-6.96)
oligodendrocytes 2,407,0.222,93.0,122,15,12.3,1.03 (0.63-1.44),107,87.7,3.76 (3.37-4.14)
