tipo_celular,module_size,CCT3_MM,CCT3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,206,0.237,68.0,10,0,0.0,NA,10,100.0,1.83 (0.82-2.85)
T cells 18,506,0.162,42.0,225,21,9.33,2.62 (1.76-3.48),204,90.67,3.73 (3.47-3.98)
astrocytes 5,1656,0.115,49.0,136,8,5.88,1.95 (1.20-2.71),128,94.12,3.30 (3.02-3.58)
oligodendrocyte progenitor cells 7,628,0.225,77.0,164,2,1.22,4.11 (3.81-4.41),162,98.78,4.08 (3.75-4.42)
GABA neurons expressing GLU receptors 22,703,0.19,53.0,23,0,0.0,NA,23,100.0,2.09 (1.38-2.80)
GLU like neurons 17,1316,0.162,79.0,101,0,0.0,NA,101,100.0,3.05 (2.70-3.40)
da like neurons 11,1220,0.266,74.0,410,55,13.41,4.51 (3.82-5.21),355,86.59,4.22 (4.02-4.41)
GABA neurons expressing GABA receptors 13,265,0.124,30.0,78,6,7.69,4.08 (2.46-5.69),72,92.31,4.39 (3.96-4.82)
endothelial cells 9,385,0.184,88.0,275,99,36.0,3.37 (2.87-3.87),176,64.0,4.29 (4.02-4.57)
oligodendrocytes 20,938,0.177,73.0,169,19,11.24,3.12 (2.28-3.95),150,88.76,3.52 (3.30-3.75)
GABA like neurons 14,2402,0.47,86.0,455,57,12.53,3.43 (2.75-4.12),398,87.47,4.47 (4.29-4.66)
astrocytes 8,520,0.123,53.0,288,28,9.72,3.74 (3.11-4.37),260,90.28,4.22 (4.01-4.43)
oligodendrocyte progenitor cells 12,1049,0.195,84.0,235,21,8.94,5.23 (4.36-6.10),214,91.06,3.74 (3.51-3.98)
oligodendrocytes 10,735,0.235,94.0,277,33,11.91,6.44 (5.79-7.09),244,88.09,3.76 (3.52-4.00)
connective tissue cells 21,142,0.482,99.0,55,15,27.27,3.36 (2.07-4.65),40,72.73,3.47 (2.33-4.61)
astrocytes 15,1768,0.127,82.0,105,21,20.0,1.83 (1.36-2.29),84,80.0,3.60 (3.23-3.96)
oligodendrocytes 16,51,0.245,64.0,1,0,0.0,NA,1,100.0,3.22 (NA-NA)
da neurons 6,409,0.212,81.0,235,52,22.13,4.98 (4.35-5.61),183,77.87,3.75 (3.50-4.01)
astrocytes microglia 23,135,0.319,50.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807,0.141,44.0,104,20,19.23,1.69 (1.24-2.13),84,80.77,3.17 (2.87-3.47)
oligodendrocytes 0,613,0.217,94.0,127,44,34.65,3.00 (2.38-3.62),83,65.35,3.07 (2.55-3.59)
microglia 1,406,0.121,26.0,278,3,1.08,4.05 (1.83-6.28),275,98.92,4.36 (4.09-4.64)
oligodendrocytes 3,743,0.079,45.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55)
oligodendrocytes 2,528,0.275,80.0,175,53,30.29,5.21 (4.56-5.87),122,69.71,4.12 (3.72-4.51)
