tipo_celular,module_size,PAK2_MM,PAK2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,125,0.142,10.0,1,0,0.0,NA,1,100.0,0.55 (NA-NA)
T cells 18,518,0.167,59.0,131,0,0.0,NA,131,100.0,3.07 (2.80-3.35)
astrocytes 5,1141,0.106,19.0,166,31,18.67,2.59 (2.11-3.08),135,81.33,3.60 (3.32-3.88)
oligodendrocyte progenitor cells 7,666,0.188,65.0,127,40,31.5,3.88 (3.32-4.43),87,68.5,3.80 (3.37-4.23)
GABA neurons expressing GLU receptors 22,848,0.11,9.0,262,36,13.74,4.69 (3.83-5.55),226,86.26,4.05 (3.81-4.29)
GLU like neurons 17,637,0.121,33.0,91,29,31.87,2.95 (2.28-3.62),62,68.13,5.74 (5.24-6.25)
da like neurons 11,289,0.128,25.0,6,0,0.0,NA,6,100.0,2.89 (2.54-3.24)
GABA neurons expressing GABA receptors 13,200,0.085,4.0,34,2,5.88,3.54 (3.28-3.81),32,94.12,3.92 (2.96-4.88)
endothelial cells 9,559,0.078,12.0,155,5,3.23,3.91 (2.65-5.17),150,96.77,4.35 (3.98-4.72)
oligodendrocytes 20,271,0.14,34.0,8,0,0.0,NA,8,100.0,3.49 (2.00-4.99)
GABA like neurons 14,2090,0.184,71.0,74,2,2.7,2.22 (1.63-2.82),72,97.3,2.96 (2.58-3.35)
astrocytes 8,354,0.119,48.0,8,0,0.0,NA,8,100.0,0.78 (0.08-1.47)
oligodendrocyte progenitor cells 12,1049,0.047,14.0,235,4,1.7,4.48 (1.56-7.40),231,98.3,3.81 (3.58-4.04)
oligodendrocytes 10,2107,0.174,60.0,358,54,15.08,2.26 (1.90-2.62),304,84.92,4.22 (4.03-4.42)
connective tissue cells 21,102,0.311,57.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,377,0.142,44.0,14,3,21.43,0.49 (0.40-0.58),11,78.57,2.84 (1.34-4.34)
oligodendrocytes 16,107,0.2,33.0,11,2,18.18,0.85 (0.21-1.49),9,81.82,1.63 (0.84-2.42)
da neurons 6,448,0.096,43.0,43,2,4.65,3.73 (3.62-3.83),41,95.35,3.25 (2.70-3.81)
astrocytes microglia 23,255,0.336,94.0,57,13,22.81,3.17 (2.73-3.61),44,77.19,2.49 (2.05-2.93)
astrocytes 4,721,0.155,56.0,61,4,6.56,2.61 (1.52-3.70),57,93.44,2.99 (2.56-3.43)
oligodendrocytes 0,613,0.163,69.0,127,9,7.09,2.54 (1.92-3.16),118,92.91,3.12 (2.66-3.57)
microglia 1,813,0.094,21.0,79,0,0.0,NA,79,100.0,3.10 (2.70-3.50)
oligodendrocytes 3,681,0.13,77.0,87,19,21.84,1.89 (1.39-2.39),68,78.16,2.78 (2.48-3.09)
oligodendrocytes 2,528,0.131,12.0,175,12,6.86,3.49 (2.76-4.23),163,93.14,4.47 (4.10-4.85)
