tipo_celular,module_size,ZCCHC17_MM,ZCCHC17_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,351,0.164,58.0,71,3,4.23,1.05 (0.22-1.88),68,95.77,2.70 (2.28-3.12)
T cells 18,518,0.133,33.0,131,1,0.76,2.25 (NA-NA),130,99.24,3.08 (2.80-3.36)
astrocytes 5,1656,0.147,92.0,136,6,4.41,2.01 (0.80-3.23),130,95.59,3.27 (3.00-3.55)
oligodendrocyte progenitor cells 7,4285,0.098,9.0,353,36,10.2,2.62 (2.09-3.14),317,89.8,4.08 (3.89-4.27)
GABA neurons expressing GLU receptors 22,823,0.181,51.0,23,1,4.35,1.01 (NA-NA),22,95.65,2.48 (1.73-3.23)
GLU like neurons 17,300,0.202,64.0,16,0,0.0,NA,16,100.0,2.08 (1.23-2.93)
da like neurons 11,1220,0.099,14.0,410,5,1.22,3.16 (1.72-4.60),405,98.78,4.27 (4.08-4.45)
GABA neurons expressing GABA receptors 13,80,0.173,55.0,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,559,0.068,9.0,155,1,0.65,NA,154,99.35,4.34 (3.97-4.70)
oligodendrocytes 20,271,0.19,58.0,8,0,0.0,NA,8,100.0,3.49 (2.00-4.99)
GABA like neurons 14,2402,0.23,50.0,455,13,2.86,2.21 (1.36-3.05),442,97.14,4.43 (4.24-4.61)
astrocytes 8,520,0.077,29.0,288,6,2.08,3.04 (1.96-4.12),282,97.92,4.20 (4.00-4.41)
oligodendrocyte progenitor cells 12,708,0.207,75.0,32,2,6.25,2.64 (2.44-2.84),30,93.75,3.29 (2.42-4.16)
oligodendrocytes 10,806,0.089,23.0,261,0,0.0,NA,261,100.0,4.36 (4.12-4.61)
connective tissue cells 21,145,0.389,90.0,1,0,0.0,NA,1,100.0,NA
astrocytes 15,1401,0.093,57.0,96,2,2.08,2.76 (0.97-4.55),94,97.92,3.63 (3.18-4.09)
oligodendrocytes 16,151,0.136,11.0,7,0,0.0,NA,7,100.0,1.31 (0.28-2.35)
da neurons 6,729,0.138,42.0,182,4,2.2,1.44 (1.34-1.53),178,97.8,3.70 (3.45-3.95)
astrocytes microglia 23,115,0.324,60.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807,0.123,15.0,104,18,17.31,1.80 (1.23-2.38),86,82.69,3.11 (2.81-3.40)
oligodendrocytes 0,2078,0.099,20.0,238,10,4.2,3.50 (2.34-4.67),228,95.8,3.64 (3.42-3.87)
microglia 1,1615,0.073,5.0,161,27,16.77,1.99 (1.58-2.40),134,83.23,3.60 (3.31-3.89)
oligodendrocytes 3,457,0.054,9.0,345,2,0.58,3.07 (2.78-3.36),343,99.42,4.28 (4.07-4.49)
oligodendrocytes 2,347,0.147,22.0,15,0,0.0,NA,15,100.0,4.87 (4.10-5.63)
