tipo_celular,module_size,STRAP_MM,STRAP_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,172,0.109,17.0,140,0,0.0,NA,140,100.0,4.51 (4.08-4.93)
T cells 18,282,0.098,20.0,241,0,0.0,NA,241,100.0,4.05 (3.80-4.31)
astrocytes 5,1656,0.104,31.0,136,9,6.62,2.12 (1.46-2.78),127,93.38,3.30 (3.01-3.58)
oligodendrocyte progenitor cells 7,666,0.157,42.0,127,13,10.24,2.62 (1.93-3.30),114,89.76,4.05 (3.69-4.41)
GABA neurons expressing GLU receptors 22,848,0.241,62.0,262,9,3.44,1.69 (0.98-2.41),253,96.56,4.28 (4.04-4.53)
GLU like neurons 17,1316,0.091,19.0,101,2,1.98,2.84 (2.81-2.86),99,98.02,3.06 (2.70-3.42)
da like neurons 11,1220,0.223,64.0,410,9,2.2,2.84 (1.97-3.71),401,97.8,4.29 (4.10-4.48)
GABA neurons expressing GABA receptors 13,73,0.107,7.0,16,3,18.75,3.22 (3.22-3.22),13,81.25,1.97 (0.83-3.12)
endothelial cells 9,559,0.115,32.0,155,2,1.29,NA,153,98.71,4.34 (3.97-4.70)
oligodendrocytes 20,330,0.089,18.0,36,6,16.67,1.72 (1.15-2.28),30,83.33,1.96 (1.56-2.37)
GABA like neurons 14,2402,0.33,71.0,455,27,5.93,2.41 (1.92-2.89),428,94.07,4.52 (4.33-4.70)
astrocytes 8,520,0.152,61.0,288,6,2.08,2.25 (1.26-3.25),282,97.92,4.23 (4.03-4.42)
oligodendrocyte progenitor cells 12,3303,0.108,81.0,276,23,8.33,1.70 (1.37-2.03),253,91.67,3.77 (3.55-3.99)
oligodendrocytes 10,735,0.23,93.0,277,0,0.0,NA,277,100.0,3.89 (3.65-4.14)
connective tissue cells 21,125,0.351,72.0,10,0,0.0,NA,10,100.0,1.32 (0.64-1.99)
astrocytes 15,261,0.232,83.0,8,2,25.0,1.89 (-1.31-5.09),6,75.0,4.39 (1.96-6.83)
oligodendrocytes 16,74,0.268,84.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,409,0.18,74.0,235,5,2.13,1.95 (0.79-3.11),230,97.87,4.04 (3.79-4.29)
astrocytes microglia 23,108,0.38,78.0,2,0,0.0,NA,2,100.0,NA
astrocytes 4,514,0.144,23.0,95,4,4.21,1.16 (0.64-1.68),91,95.79,3.50 (3.07-3.92)
oligodendrocytes 0,2078,0.081,4.0,238,4,1.68,1.70 (0.57-2.84),234,98.32,3.68 (3.45-3.90)
microglia 1,214,0.124,22.0,227,0,0.0,NA,227,100.0,4.09 (3.86-4.33)
oligodendrocytes 3,457,0.119,54.0,345,8,2.32,2.87 (2.34-3.40),337,97.68,4.32 (4.11-4.53)
oligodendrocytes 2,1630,0.171,95.0,154,1,0.65,4.17 (NA-NA),153,99.35,3.24 (2.97-3.50)
