tipo_celular,module_size,SPOP_MM,SPOP_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,178,0.204,39.0,13,0,0.0,NA,13,100.0,1.68 (1.03-2.33)
T cells 18,610,0.128,32.0,98,39,39.8,2.19 (1.77-2.62),59,60.2,3.76 (3.40-4.12)
astrocytes 5,499,0.136,34.0,32,0,0.0,NA,32,100.0,5.02 (4.53-5.52)
oligodendrocyte progenitor cells 7,4285,0.15,72.0,353,47,13.31,2.50 (2.07-2.93),306,86.69,4.17 (3.98-4.35)
GABA neurons expressing GLU receptors 22,400,0.154,25.0,24,11,45.83,1.34 (0.63-2.05),13,54.17,2.85 (2.37-3.32)
GLU like neurons 17,380,0.242,90.0,39,11,28.21,3.52 (3.07-3.98),28,71.79,2.72 (1.97-3.48)
da like neurons 11,853,0.158,66.0,133,16,12.03,1.39 (0.92-1.86),117,87.97,3.56 (3.25-3.88)
GABA neurons expressing GABA receptors 13,65,0.184,60.0,2,0,0.0,NA,2,100.0,4.02 (3.45-4.59)
endothelial cells 9,658,0.07,5.0,120,3,2.5,2.71 (2.01-3.41),117,97.5,4.66 (4.35-4.98)
oligodendrocytes 20,676,0.035,11.0,110,3,2.73,0.90 (0.75-1.04),107,97.27,5.16 (4.73-5.58)
GABA like neurons 14,3052,0.159,66.0,125,4,3.2,3.54 (2.65-4.43),121,96.8,3.35 (3.01-3.68)
astrocytes 8,1266,0.051,15.0,66,14,21.21,1.48 (0.91-2.05),52,78.79,3.79 (3.40-4.19)
oligodendrocyte progenitor cells 12,3303,0.061,27.0,276,44,15.94,2.80 (2.40-3.21),232,84.06,3.72 (3.47-3.97)
oligodendrocytes 10,2107,0.055,7.0,358,49,13.69,2.41 (1.98-2.83),309,86.31,4.17 (3.98-4.37)
connective tissue cells 21,96,0.252,25.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,367,0.054,13.0,17,0,0.0,NA,17,100.0,2.08 (1.12-3.04)
oligodendrocytes 16,107,0.19,24.0,11,3,27.27,1.55 (0.13-2.97),8,72.73,1.46 (0.64-2.28)
da neurons 6,448,0.095,41.0,43,1,2.33,3.17 (NA-NA),42,97.67,3.28 (2.75-3.82)
astrocytes microglia 23,37,0.301,39.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,721,0.139,27.0,61,7,11.48,4.13 (3.90-4.36),54,88.52,2.80 (2.35-3.25)
oligodendrocytes 0,1186,0.116,13.0,300,0,0.0,NA,300,100.0,3.79 (3.59-4.00)
microglia 1,1615,0.125,71.0,161,41,25.47,2.39 (1.92-2.87),120,74.53,3.64 (3.35-3.94)
oligodendrocytes 3,681,0.071,27.0,87,25,28.74,2.01 (1.57-2.45),62,71.26,2.83 (2.51-3.15)
oligodendrocytes 2,921,0.153,77.0,200,5,2.5,3.06 (2.07-4.04),195,97.5,3.64 (3.37-3.91)
