tipo_celular,module_size,SUPT16H_MM,SUPT16H_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,178,0.335,93.0,13,0,0.0,NA,13,100.0,1.68 (1.03-2.33)
T cells 18,624,0.099,12.0,142,0,0.0,NA,142,100.0,3.21 (2.94-3.48)
astrocytes 5,1656,0.137,83.0,136,10,7.35,2.50 (1.53-3.48),126,92.65,3.27 (2.99-3.55)
oligodendrocyte progenitor cells 7,4285,0.152,75.0,353,61,17.28,2.15 (1.85-2.45),292,82.72,4.37 (4.20-4.55)
GABA neurons expressing GLU receptors 22,823,0.203,66.0,23,1,4.35,1.01 (NA-NA),22,95.65,2.48 (1.73-3.23)
GLU like neurons 17,489,0.131,44.0,42,0,0.0,NA,42,100.0,5.99 (5.44-6.55)
da like neurons 11,1220,0.124,27.0,410,8,1.95,3.08 (1.59-4.57),402,98.05,4.28 (4.09-4.47)
GABA neurons expressing GABA receptors 13,65,0.136,33.0,2,0,0.0,NA,2,100.0,4.02 (3.45-4.59)
endothelial cells 9,385,0.101,49.0,275,55,20.0,2.03 (1.76-2.30),220,80.0,4.71 (4.46-4.97)
oligodendrocytes 20,358,0.15,49.0,31,3,9.68,3.01 (2.80-3.22),28,90.32,2.31 (1.85-2.77)
GABA like neurons 14,2402,0.275,61.0,455,27,5.93,1.82 (1.34-2.30),428,94.07,4.57 (4.39-4.75)
astrocytes 8,520,0.092,37.0,288,7,2.43,3.02 (1.30-4.73),281,97.57,4.21 (4.01-4.41)
oligodendrocyte progenitor cells 12,3303,0.077,49.0,276,52,18.84,2.17 (1.91-2.42),224,81.16,3.98 (3.74-4.22)
oligodendrocytes 10,483,0.165,66.0,129,2,1.55,4.36 (2.78-5.94),127,98.45,3.41 (3.01-3.81)
connective tissue cells 21,104,0.303,62.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,418,0.042,20.0,54,0,0.0,NA,54,100.0,3.68 (3.24-4.12)
oligodendrocytes 16,107,0.259,77.0,11,3,27.27,1.55 (0.13-2.97),8,72.73,1.46 (0.64-2.28)
da neurons 6,518,0.076,12.0,122,10,8.2,1.63 (0.66-2.59),112,91.8,4.27 (3.89-4.66)
astrocytes microglia 23,118,0.257,12.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807,0.143,47.0,104,29,27.88,1.94 (1.51-2.37),75,72.12,3.26 (2.95-3.58)
oligodendrocytes 0,2078,0.114,50.0,238,21,8.82,3.05 (2.48-3.61),217,91.18,3.70 (3.46-3.93)
microglia 1,1615,0.088,19.0,161,52,32.3,1.94 (1.67-2.20),109,67.7,4.11 (3.84-4.39)
oligodendrocytes 3,743,0.056,15.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55)
oligodendrocytes 2,1630,0.135,36.0,154,5,3.25,4.03 (3.17-4.90),149,96.75,3.22 (2.95-3.49)
