tipo_celular,module_size,SETX_MM,SETX_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,395,0.28,92.0,97,3,3.09,3.32 (1.50-5.13),94,96.91,3.04 (2.64-3.45)
T cells 18,727,0.238,97.0,49,2,4.08,2.79 (2.27-3.31),47,95.92,2.41 (2.00-2.82)
astrocytes 5,1141,0.136,57.0,166,45,27.11,2.22 (1.97-2.47),121,72.89,3.93 (3.63-4.22)
oligodendrocyte progenitor cells 7,4285,0.153,77.0,353,77,21.81,2.30 (2.05-2.54),276,78.19,4.48 (4.29-4.66)
GABA neurons expressing GLU receptors 22,823,0.115,14.0,23,3,13.04,2.03 (0.03-4.04),20,86.96,2.44 (1.65-3.24)
GLU like neurons 17,1247,0.066,8.0,51,1,1.96,NA,50,98.04,3.62 (3.05-4.20)
da like neurons 11,853,0.079,10.0,133,52,39.1,2.07 (1.83-2.32),81,60.9,4.22 (3.83-4.62)
GABA neurons expressing GABA receptors 13,65,0.111,10.0,2,0,0.0,NA,2,100.0,4.02 (3.45-4.59)
endothelial cells 9,412,0.165,45.0,141,12,8.51,2.98 (2.00-3.95),129,91.49,2.96 (2.71-3.20)
oligodendrocytes 20,358,0.089,27.0,31,4,12.9,3.17 (2.70-3.64),27,87.1,2.23 (1.76-2.71)
GABA like neurons 14,3052,0.127,39.0,125,4,3.2,3.81 (2.47-5.14),121,96.8,3.34 (3.01-3.67)
astrocytes 8,771,0.061,19.0,48,5,10.42,5.16 (2.28-8.04),43,89.58,4.35 (3.56-5.13)
oligodendrocyte progenitor cells 12,3303,0.121,90.0,276,56,20.29,2.25 (2.02-2.49),220,79.71,4.00 (3.75-4.24)
oligodendrocytes 10,2107,0.2,69.0,358,85,23.74,2.26 (2.03-2.49),273,76.26,4.58 (4.40-4.76)
connective tissue cells 21,114,0.178,6.0,11,2,18.18,0.79 (0.03-1.55),9,81.82,1.81 (0.52-3.10)
astrocytes 15,261,0.118,31.0,8,3,37.5,0.32 (0.20-0.45),5,62.5,5.02 (3.40-6.64)
oligodendrocytes 16,86,0.214,72.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,448,0.094,40.0,43,0,0.0,NA,43,100.0,3.28 (2.76-3.80)
astrocytes microglia 23,253,0.193,18.0,47,6,12.77,2.16 (1.58-2.73),41,87.23,2.96 (2.60-3.32)
astrocytes 4,721,0.142,32.0,61,6,9.84,2.60 (2.06-3.15),55,90.16,3.01 (2.55-3.46)
oligodendrocytes 0,1186,0.145,49.0,300,13,4.33,3.32 (2.91-3.73),287,95.67,3.82 (3.60-4.03)
microglia 1,958,0.125,69.0,290,24,8.28,2.51 (2.11-2.91),266,91.72,3.97 (3.72-4.21)
oligodendrocytes 3,357,0.136,76.0,127,9,7.09,3.12 (2.76-3.48),118,92.91,3.12 (2.76-3.48)
oligodendrocytes 2,804,0.141,36.0,84,6,7.14,1.33 (0.67-1.99),78,92.86,2.82 (2.48-3.17)
