tipo_celular,module_size,U2SURP_MM,U2SURP_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,360,0.134,23.0,102,3,2.94,2.85 (1.88-3.82),99,97.06,3.52 (3.15-3.89)
T cells 18,624,0.136,36.0,142,0,0.0,NA,142,100.0,3.21 (2.94-3.48)
astrocytes 5,1141,0.14,64.0,166,8,4.82,1.97 (1.19-2.75),158,95.18,3.48 (3.22-3.73)
oligodendrocyte progenitor cells 7,4285,0.13,42.0,353,16,4.53,1.58 (1.03-2.13),337,95.47,4.03 (3.85-4.21)
GABA neurons expressing GLU receptors 22,714,0.069,2.0,17,5,29.41,2.70 (2.17-3.23),12,70.59,2.15 (1.35-2.94)
GLU like neurons 17,1316,0.086,16.0,101,0,0.0,NA,101,100.0,3.05 (2.70-3.40)
da like neurons 11,289,0.138,31.0,6,0,0.0,NA,6,100.0,2.89 (2.54-3.24)
GABA neurons expressing GABA receptors 13,77,0.167,44.0,2,0,0.0,NA,2,100.0,NA
endothelial cells 9,1653,0.11,36.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88)
oligodendrocytes 20,279,0.188,43.0,16,0,0.0,NA,16,100.0,2.38 (1.63-3.13)
GABA like neurons 14,3052,0.14,51.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,354,0.13,56.0,8,0,0.0,NA,8,100.0,0.78 (0.08-1.47)
oligodendrocyte progenitor cells 12,3303,0.071,40.0,276,11,3.99,2.11 (1.55-2.66),265,96.01,3.62 (3.40-3.84)
oligodendrocytes 10,2107,0.209,71.0,358,16,4.47,1.58 (1.03-2.13),342,95.53,4.01 (3.82-4.20)
connective tissue cells 21,95,0.355,81.0,4,0,0.0,NA,4,100.0,3.47 (2.36-4.59)
astrocytes 15,1768,0.08,44.0,105,9,8.57,1.84 (1.32-2.36),96,91.43,3.35 (3.00-3.71)
oligodendrocytes 16,64,0.223,70.0,1,0,0.0,NA,1,100.0,2.12 (NA-NA)
da neurons 6,518,0.1,39.0,122,5,4.1,1.32 (0.24-2.41),117,95.9,4.14 (3.75-4.53)
astrocytes microglia 23,108,0.229,13.0,2,0,0.0,NA,2,100.0,NA
astrocytes 4,752,0.17,75.0,96,0,0.0,NA,96,100.0,3.29 (2.96-3.62)
oligodendrocytes 0,1186,0.12,16.0,300,0,0.0,NA,300,100.0,3.79 (3.59-4.00)
microglia 1,1615,0.091,24.0,161,15,9.32,1.47 (0.93-2.01),146,90.68,3.50 (3.24-3.77)
oligodendrocytes 3,854,0.082,40.0,76,2,2.63,1.39 (1.08-1.71),74,97.37,2.82 (2.49-3.15)
oligodendrocytes 2,921,0.048,0.0,200,1,0.5,3.22 (NA-NA),199,99.5,3.62 (3.36-3.89)
